"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map00380","Tryptophan metabolism","",14,53,0.0462046204620462,2.21782178217822,0.00268109272090363,"Mycgr3G32667;Mycgr3G84797;Mycgr3G100958;Mycgr3G73819;Mycgr3G67250;Mycgr3G70343;Mycgr3G105409;Mycgr3G41337;Mycgr3G109704;Mycgr3G48122;Mycgr3G74561;Mycgr3G75056;Mycgr3G97358;Mycgr3G70271",0.0548405329275743
"map00190","Oxidative phosphorylation","",19,84,0.0627062706270627,1.8991041961339,0.00357207829412315,"Mycgr3G60824;Mycgr3G59052;Mycgr3G53658;Mycgr3G104956;Mycgr3G73335;Mycgr3G99175;Mycgr3G108469;Mycgr3G99503;Mycgr3G75376;Mycgr3G76293;Mycgr3G101464;Mycgr3G101715;Mycgr3G74581;Mycgr3G76276;Mycgr3G110313;Mycgr3G70478;Mycgr3G103595;Mycgr3G66030;Mycgr3G74146",0.066976468014809
"map00626","Naphthalene degradation","",6,15,0.0198019801980198,3.35841584158416,0.00532624325447164,"Mycgr3G54449;Mycgr3G67342;Mycgr3G75791;Mycgr3G16314;Mycgr3G111077;Mycgr3G60749",0.0921849794043168
"map01210","2-Oxocarboxylic acid metabolism","",11,41,0.0363036303630363,2.25259599130645,0.006654224908155,"Mycgr3G106055;Mycgr3G109538;Mycgr3G43729;Mycgr3G99408;Mycgr3G68535;Mycgr3G108333;Mycgr3G88201;Mycgr3G103221;Mycgr3G36032;Mycgr3G40731;Mycgr3G100271",0.106942900309634
"map00625","Chloroalkane and chloroalkene degradation","",7,22,0.0231023102310231,2.67146714671467,0.0110547991595526,"Mycgr3G69862;Mycgr3G54449;Mycgr3G67342;Mycgr3G41337;Mycgr3G109704;Mycgr3G48122;Mycgr3G60749",0.165821987393288
"map00360","Phenylalanine metabolism","",10,39,0.033003300330033,2.15283066768215,0.0132704203536758,"Mycgr3G84797;Mycgr3G100958;Mycgr3G73819;Mycgr3G67250;Mycgr3G105409;Mycgr3G109704;Mycgr3G74561;Mycgr3G97358;Mycgr3G70271;Mycgr3G100271",0.177866967336241
"map00627","Aminobenzoate degradation","",8,28,0.0264026402640264,2.3988684582744,0.0134388375320715,"Mycgr3G84797;Mycgr3G100958;Mycgr3G73819;Mycgr3G104169;Mycgr3G70343;Mycgr3G74561;Mycgr3G97358;Mycgr3G70271",0.177866967336241
"map03013","Nucleocytoplasmic transport","",17,84,0.0561056105610561,1.6991984912777,0.0177449986221541,"Mycgr3G70061;Mycgr3G56466;Mycgr3G74048;Mycgr3G108627;Mycgr3G107402;Mycgr3G66037;Mycgr3G108776;Mycgr3G63945;Mycgr3G65878;Mycgr3G98830;Mycgr3G50692;Mycgr3G100330;Mycgr3G101997;Mycgr3G55565;Mycgr3G110850;Mycgr3G70159;Mycgr3G100162",0.221812482776926
"map00982","Drug metabolism - cytochrome P450","",8,30,0.0264026402640264,2.23894389438944,0.0204799325593095,"Mycgr3G105101;Mycgr3G54449;Mycgr3G67342;Mycgr3G100643;Mycgr3G109704;Mycgr3G105887;Mycgr3G60749;Mycgr3G103891",0.232727665162472
"map00980","Metabolism of xenobiotics by cytochrome P450","",9,36,0.0297029702970297,2.0990099009901,0.0217212487484974,"Mycgr3G67531;Mycgr3G105101;Mycgr3G54449;Mycgr3G67342;Mycgr3G100643;Mycgr3G109704;Mycgr3G105887;Mycgr3G60749;Mycgr3G103891",0.232727665162472
"map01220","Degradation of aromatic compounds","",9,36,0.0297029702970297,2.0990099009901,0.0217212487484974,"Mycgr3G54449;Mycgr3G67342;Mycgr3G43103;Mycgr3G75791;Mycgr3G71361;Mycgr3G16314;Mycgr3G31826;Mycgr3G111077;Mycgr3G60749",0.232727665162472
"map00330","Arginine and proline metabolism","",12,55,0.0396039603960396,1.83186318631863,0.0250791463995802,"Mycgr3G84797;Mycgr3G100958;Mycgr3G73819;Mycgr3G74043;Mycgr3G41337;Mycgr3G109704;Mycgr3G48122;Mycgr3G74561;Mycgr3G97358;Mycgr3G67317;Mycgr3G70271;Mycgr3G100271",0.256491269995706
"map00643","Styrene degradation","",6,21,0.0198019801980198,2.3988684582744,0.0311673453581395,"Mycgr3G84797;Mycgr3G100958;Mycgr3G73819;Mycgr3G74561;Mycgr3G97358;Mycgr3G70271",0.30489794372093
"map04622","RIG-I-like receptor signaling pathway","",4,11,0.0132013201320132,3.05310531053105,0.032952173410952,"Mycgr3G54399;Mycgr3G41900;Mycgr3G76425;Mycgr3G100728",0.30767052875264
