"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"GO:0071944","cell periphery","cellular_component",15,524,0.384615384615385,2.61230182031709,0.00022190676957674,"Mycgr3G50464;Mycgr3G88011;Mycgr3G67183;Mycgr3G107391;Mycgr3G104351;Mycgr3G98274;Mycgr3G73144;Mycgr3G70577;Mycgr3G89942;Mycgr3G107427;Mycgr3G98741;Mycgr3G109621;Mycgr3G75460;Mycgr3G67327;Mycgr3G41235",0.0762855068853437
"GO:0044262","","",7,117,0.17948717948718,5.459785229016,0.000222666676927046,"Mycgr3G68483;Mycgr3G108567;Mycgr3G98274;Mycgr3G107427;Mycgr3G109621;Mycgr3G75460;Mycgr3G70756",0.0762855068853437
"GO:0015696","","",3,12,0.0769230769230769,22.8141025641026,0.000250091252872379,"Mycgr3G104351;Mycgr3G73144;Mycgr3G89942",0.0762855068853437
"GO:0005886","plasma membrane","cellular_component",11,333,0.282051282051282,3.01447601447601,0.000618526825302324,"Mycgr3G50464;Mycgr3G88011;Mycgr3G107391;Mycgr3G104351;Mycgr3G98274;Mycgr3G73144;Mycgr3G70577;Mycgr3G89942;Mycgr3G98741;Mycgr3G75460;Mycgr3G41235",0.0762855068853437
"GO:0009277","fungal-type cell wall","cellular_component",5,67,0.128205128205128,6.81017986988136,0.000713428409193935,"Mycgr3G67183;Mycgr3G107391;Mycgr3G107427;Mycgr3G109621;Mycgr3G75460",0.0762855068853437
"GO:0016042","lipid catabolic process","biological_process",4,39,0.102564102564103,9.35963182117028,0.000769018938715659,"Mycgr3G107391;Mycgr3G68483;Mycgr3G65177;Mycgr3G98741",0.0762855068853437
"GO:0005618","cell wall","cellular_component",5,70,0.128205128205128,6.51831501831502,0.000872867632896793,"Mycgr3G67183;Mycgr3G107391;Mycgr3G107427;Mycgr3G109621;Mycgr3G75460",0.0762855068853437
"GO:0030312","","",5,70,0.128205128205128,6.51831501831502,0.000872867632896793,"Mycgr3G67183;Mycgr3G107391;Mycgr3G107427;Mycgr3G109621;Mycgr3G75460",0.0762855068853437
"GO:0000322","","",9,248,0.230769230769231,3.31172456575682,0.00111232753924285,"Mycgr3G50464;Mycgr3G107391;Mycgr3G40642;Mycgr3G104351;Mycgr3G33832;Mycgr3G89942;Mycgr3G109621;Mycgr3G75460;Mycgr3G67327",0.0762855068853437
"GO:0000324","fungal-type vacuole","cellular_component",9,248,0.230769230769231,3.31172456575682,0.00111232753924285,"Mycgr3G50464;Mycgr3G107391;Mycgr3G40642;Mycgr3G104351;Mycgr3G33832;Mycgr3G89942;Mycgr3G109621;Mycgr3G75460;Mycgr3G67327",0.0762855068853437
"GO:0042895","","",2,5,0.0512820512820513,36.5025641025641,0.00114618244030187,"Mycgr3G50464;Mycgr3G104351",0.0762855068853437
"GO:1990961","","",2,5,0.0512820512820513,36.5025641025641,0.00114618244030187,"Mycgr3G50464;Mycgr3G88011",0.0762855068853437
"GO:0000323","lytic vacuole","cellular_component",9,250,0.230769230769231,3.28523076923077,0.00117827679799473,"Mycgr3G50464;Mycgr3G107391;Mycgr3G40642;Mycgr3G104351;Mycgr3G33832;Mycgr3G89942;Mycgr3G109621;Mycgr3G75460;Mycgr3G67327",0.0762855068853437
"GO:0046618","","",3,20,0.0769230769230769,13.6884615384615,0.00121954400659143,"Mycgr3G50464;Mycgr3G88011;Mycgr3G40642",0.0762855068853437
"GO:0009986","cell surface","cellular_component",4,44,0.102564102564103,8.2960372960373,0.00122022503693507,"Mycgr3G50464;Mycgr3G107391;Mycgr3G107427;Mycgr3G75460",0.0762855068853437
"GO:0005773","vacuole","cellular_component",9,258,0.230769230769231,3.18336314847943,0.00147483264285269,"Mycgr3G50464;Mycgr3G107391;Mycgr3G40642;Mycgr3G104351;Mycgr3G33832;Mycgr3G89942;Mycgr3G109621;Mycgr3G75460;Mycgr3G67327",0.0762855068853437
"GO:0034637","","",4,47,0.102564102564103,7.76650300054555,0.00156585871365203,"Mycgr3G98274;Mycgr3G107427;Mycgr3G109621;Mycgr3G75460",0.0762855068853437
"GO:0005975","carbohydrate metabolic process","biological_process",7,163,0.17948717948718,3.91898694352682,0.00165210387938271,"Mycgr3G68483;Mycgr3G108567;Mycgr3G98274;Mycgr3G107427;Mycgr3G109621;Mycgr3G75460;Mycgr3G70756",0.0762855068853437
"GO:0031226","","",5,81,0.128205128205128,5.63311174422285,0.00169218067242429,"Mycgr3G107391;Mycgr3G73144;Mycgr3G70577;Mycgr3G75460;Mycgr3G41235",0.0762855068853437
"GO:0019740","","",2,6,0.0512820512820513,30.4188034188034,0.0017073748183828,"Mycgr3G104351;Mycgr3G73144",0.0762855068853437
"GO:0034407","","",2,6,0.0512820512820513,30.4188034188034,0.0017073748183828,"Mycgr3G109621;Mycgr3G75460",0.0762855068853437
"GO:0034410","","",2,6,0.0512820512820513,30.4188034188034,0.0017073748183828,"Mycgr3G109621;Mycgr3G75460",0.0762855068853437
"GO:0034411","cell wall (1->3)-beta-D-glucan biosynthetic process","biological_process",2,6,0.0512820512820513,30.4188034188034,0.0017073748183828,"Mycgr3G109621;Mycgr3G75460",0.0762855068853437
"GO:0071969","","",2,6,0.0512820512820513,30.4188034188034,0.0017073748183828,"Mycgr3G109621;Mycgr3G75460",0.0762855068853437
"GO:0071970","fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process","biological_process",2,6,0.0512820512820513,30.4188034188034,0.0017073748183828,"Mycgr3G109621;Mycgr3G75460",0.0762855068853437
"GO:0043492","","",4,50,0.102564102564103,7.30051282051282,0.00197463613684878,"Mycgr3G50464;Mycgr3G88011;Mycgr3G89942;Mycgr3G41235",0.0848334063407726
"GO:0070592","","",3,25,0.0769230769230769,10.9507692307692,0.00236899416523323,"Mycgr3G98274;Mycgr3G109621;Mycgr3G75460",0.0914319480170893
"GO:0006075","(1->3)-beta-D-glucan biosynthetic process","biological_process",2,7,0.0512820512820513,26.0732600732601,0.00237379274171494,"Mycgr3G109621;Mycgr3G75460",0.0914319480170893
"GO:0009395","phospholipid catabolic process","biological_process",2,7,0.0512820512820513,26.0732600732601,0.00237379274171494,"Mycgr3G107391;Mycgr3G65177",0.0914319480170893
"GO:0006074","","",2,8,0.0512820512820513,22.8141025641026,0.00314318149000638,"Mycgr3G109621;Mycgr3G75460",0.109716678885535
"GO:0008519","ammonium channel activity","molecular_function",2,8,0.0512820512820513,22.8141025641026,0.00314318149000638,"Mycgr3G104351;Mycgr3G73144",0.109716678885535
"GO:0072488","ammonium transmembrane transport","biological_process",2,8,0.0512820512820513,22.8141025641026,0.00314318149000638,"Mycgr3G104351;Mycgr3G73144",0.109716678885535
"GO:0019751","","",3,28,0.0769230769230769,9.77747252747253,0.00329851643723505,"Mycgr3G108567;Mycgr3G107427;Mycgr3G70756",0.111649783648229
"GO:0042891","","",2,9,0.0512820512820513,20.2792022792023,0.00401332094738133,"Mycgr3G50464;Mycgr3G104351",0.13097325323614
"GO:0016051","","",4,61,0.102564102564103,5.98402690205969,0.00410390677105185,"Mycgr3G98274;Mycgr3G107427;Mycgr3G109621;Mycgr3G75460",0.13097325323614
"GO:0052689","carboxylic ester hydrolase activity","molecular_function",3,32,0.0769230769230769,8.55528846153846,0.00484532299533878,"Mycgr3G107391;Mycgr3G68483;Mycgr3G65177",0.14269030993373
"GO:0015893","","",4,64,0.102564102564103,5.70352564102564,0.00488033081714532,"Mycgr3G50464;Mycgr3G88011;Mycgr3G40642;Mycgr3G104351",0.14269030993373
"GO:0004012","","",2,10,0.0512820512820513,18.251282051282,0.00498202514540329,"Mycgr3G50464;Mycgr3G89942",0.14269030993373
"GO:0070880","fungal-type cell wall beta-glucan biosynthetic process","biological_process",2,10,0.0512820512820513,18.251282051282,0.00498202514540329,"Mycgr3G109621;Mycgr3G75460",0.14269030993373
"GO:0048468","","",5,105,0.128205128205128,4.34554334554335,0.00526402891673835,"Mycgr3G67183;Mycgr3G40642;Mycgr3G98274;Mycgr3G98741;Mycgr3G75460",0.144113274663934
"GO:0010383","","",3,33,0.0769230769230769,8.2960372960373,0.00528974419088747,"Mycgr3G98274;Mycgr3G109621;Mycgr3G75460",0.144113274663934
