temperature,slope,slope_lower,slope_upper,a,a_lower,a_upper
15,0.11878338609756409,0.011282501753713191,0.22296999851116697,0.043509044479082236,0.03511814177051375,0.05351052166895929
18,0.0375619279214561,-0.06892337473403744,0.14429313270182523,0.05528082245212532,0.045078185291068724,0.06822899416548213
21,0.12121876658139896,0.015399472402791707,0.22506077094817362,0.07583339538394912,0.06184464796625425,0.093514938355888
24,0.24594556867088535,0.14281041510022488,0.35361425006092567,0.07877682786345397,0.06379088877398727,0.09625695002034798
26,0.008642379533649137,-0.09797131930168589,0.11655623739005899,0.16061158114899962,0.12950840195636798,0.2013546114490722
27,0.1113432833769655,-0.015169639367691855,0.23714643172784008,0.125491602518299,0.10072821620331592,0.1559647187213995
28,0.09064467190517903,-0.020559881723613865,0.20179975135340783,0.12181149367346517,0.09614658112238318,0.1544558911548406
