parameter,Estimate,Est.Error,Q2.5,Q97.5
Intercept,-3.1359182992146706,0.10745857253067473,-3.349037422737712,-2.927876977757182
conc,0.11850478112685695,0.05342224641488806,0.01128250175371318,0.22296999851116697
temperature18,0.24126949601427178,0.15295374845061258,-0.05953366683728299,0.5477741336229073
temperature21,0.5561686911899104,0.14992407621421638,0.255711920519187,0.8482651749287842
temperature24,0.5934443701147248,0.1494295724095602,0.30111081133184,0.8842723850227829
temperature26,1.3088338782420836,0.15519308206583496,1.0082410258360537,1.6194227045581733
temperature27,1.059928688666883,0.15461838916508866,0.7530219108194843,1.3581589706920483
temperature28,1.0304132010387759,0.15968109779026277,0.7134102053015651,1.35330655440919
conc:temperature18,-0.08088876702476631,0.07575457799703339,-0.22823404646822498,0.0686555620371004
conc:temperature21,0.0019804392059682655,0.0759315444376799,-0.14679480332690684,0.14982910526288343
conc:temperature24,0.12769470498148244,0.07624220675149097,-0.021259558316457466,0.2793643689002681
conc:temperature26,-0.10996872823112727,0.07617516887867466,-0.26021630064191303,0.041441394978316774
conc:temperature27,-0.006652599434232654,0.08445072937908407,-0.17221264335068853,0.15799444990795722
conc:temperature28,-0.0277708842624119,0.077238940606999415,-0.17864169655949283,0.1257744192006402
