temperature,slope_mean,slope_sd,slope_median,slope_lower,slope_upper,baseline_mean,baseline_sd,baseline_median,baseline_lower,baseline_upper
15,0.11850478112685695,0.05342224641488806,0.11878338609756409,0.01128250175371318,0.22296999851116697,0.04371106196515416,0.0046999983043734496,0.043509044479082236,0.03511814177051375,0.05351052166895929
18,0.037616014102090645,0.054338299955027286,0.0375619279214561,-0.06892337473403744,0.14429313270182523,0.055633560554127645,0.0059483129163816085,0.05528082245212532,0.04507818529106872,0.06822899416548213
21,0.12048522033282522,0.054314348552233147,0.12121876658139896,0.015399472402791672,0.22506077094817362,0.07621043952826273,0.00801995599038332,0.07583339538394912,0.061844647966254246,0.093514938355888
24,0.2461994861083394,0.05401345417380876,0.24594556867088535,0.14281041510022488,0.35361425006092567,0.07909776526214188,0.008235117514404465,0.07877682786345397,0.06379088877398727,0.09625695002034798
26,0.0085360528957296785,0.054300920635838676,0.008642379533649137,-0.09797131930168591,0.11655623739005899,0.16188795824570554,0.018257458035543222,0.16061158114899962,0.12950840195636798,0.2013546114490722
27,0.11185218169262429,0.06411995301950846,0.1113432833769655,-0.01516963936769188,0.23714643172784008,0.12622034226066262,0.014105038015678742,0.125491602518299,0.1007282162033159,0.1559647187213995
28,0.09073389686444504,0.057161380515527306,0.09064467190517903,-0.02055988172361388,0.20179975135340783,0.12265282796314327,0.014688031417124998,0.12181149367346517,0.09614658112238318,0.1544558911548406
