band,early_mean_hours,recent_mean_hours,change_hours,pct_change,sites_increasing,n_sites,paired_t,paired_p
below_assayed,1767.5,1582.3,-185.2,-10.5,0,10,-8.984,8.663518123121123e-06
synergy_15_20,570.5,675.7,105.2,18.4,10,10,12.21,6.639738611390944e-07
neutral_20_24,157.4,207.4,50.0,31.7,10,10,5.665,0.00030749204467002146
antagonism_24_28,41.6,63.5,21.9,52.5,9,10,4.216,0.002251245778206981
above_assayed,7.0,15.2,8.2,118.0,9,10,2.679,0.02524100366608137
mean_C,12.3,13.4,1.1,8.9,10,10,11.497,1.108204099485925e-06
