Topt_C,rmax,CTmin_C,CTmax_C,niche_width_C,B80_C,Ea_eV,Ea_kJmol,skewness
32.0,0.43060048674612045,10.2399264156056,46.82351368344442,36.583587267838816,16.666790655879105,0.9210813880128237,88.8705377224173,-0.5277916829561234
32.0,0.4306004867461204,15.99266681641995,46.82388400683499,30.83121719041504,15.751887962392413,1.3517911167831758,130.4275659028247,-0.42140020941201245
32.0,0.43060048674612034,9.714563917575992,46.849099964445585,37.13453604686959,18.599963044025127,1.022501990147255,98.6561045193579,-0.4597004870323903
36.0,0.43060048674612045,11.792848703932286,46.9416901923464,35.148841488414114,13.44622961249307,0.8556049985123743,82.55304828146643,-0.6605005888079156
32.0,0.4306004867461204,15.104584558043703,46.80429955159237,31.699714993548668,16.50706330489846,1.3638177162619005,131.58795235352946,-0.39895519511416655
36.0,0.43060048674612045,15.588715129061836,46.75871014976277,31.169995020700934,13.309580313180685,1.0714174481313663,103.37571248295488,-0.5345298992142875
46.0,0.06489637184423941,43.042601634478565,49.779171167697264,6.736569533218699,2.6990819978612706,,,-4.908296232971696
29.0,0.4306004867461204,9.719552764747245,46.80946162402411,37.08990885927686,19.31111759828761,1.072367097545526,103.46733940668007,-0.41012506560202633
44.0,0.3719485144028316,39.28731667138313,48.59303699321574,9.30572032183261,2.9035735572998504,6.255212512427109,603.5341792615296,-0.16636378537198868
35.0,0.43060048674612034,5.675711202549746,46.80807468100494,41.13236347845519,17.78626880558457,0.7485091557179069,72.21990588944224,-0.5136637380489423
39.0,0.43060048674612034,13.319296383030817,46.8204901153349,33.50119373230408,12.35846265448005,0.8475539099532429,81.77623900183863,-0.641184020029649
39.0,0.42860591784528734,17.164470609550424,46.72653429192614,29.56206368237572,11.807674768766667,1.078678351051105,104.07628070116587,-0.5399588877354202
20.0,0.4306004867461205,5.0,46.83307665569758,41.83307665569758,29.508308514785515,0.5186518464146526,50.04212340131775,-0.14933604672239803
41.0,0.4306004867461204,15.978960163491934,46.95957045847945,30.980610294987514,12.799188746345678,1.0586987879814644,102.1485525583916,-0.6252183037992192
44.0,0.36290199044358085,40.40257628344865,48.77287110523383,8.37029482178518,2.7783161383374235,,,-0.20983185675145408
39.0,0.43060048674612045,19.42727882971984,46.87751106906953,27.45023223934969,8.923760952605633,0.9541656011339515,92.06266802540931,-0.7794598878073836
45.0,0.2151527743715335,42.3695600809207,48.96886053737996,6.599300456459261,2.4567262462861024,,,-0.1736572874974156
28.0,0.43060048674612034,5.3427437745926385,46.718179893901095,41.37543611930845,21.128459251647772,0.8966044410035326,86.50887949022585,-0.37141184070148586
33.0,0.43060048674612034,11.021892366592109,46.774629012369616,35.7527366457775,16.469041022744836,0.9726890439617764,93.84990240665199,-0.5018171107713324
20.0,0.43060048674612034,5.0,46.793168251793794,41.793168251793794,29.251772462714957,0.6851740519092676,66.10901839846568,-0.14961563031549624
31.0,0.43060048674612034,12.113200172920697,46.62341190499811,34.51021173207741,17.146530374456006,1.1357316167971723,109.58106504667516,-0.38104820019545765
45.0,0.2641319485713561,42.19916316632739,48.95805028571411,6.758887119386721,2.495001208411196,,,-0.24538321522165318
45.0,0.3986807128645087,41.28980145836799,48.85853163719865,7.568730178830663,2.7676619986265223,,,-0.14140243929878785
43.0,0.4306004867461204,10.800212020630891,46.855951904418305,36.05573988378741,15.908151005313503,0.9201377238410099,88.77948828479984,-0.5662402079423989
42.0,0.43060048674612034,16.133125246350378,46.848583327081656,30.715458080731278,10.850160109327554,0.916893387314908,88.4664584750789,-0.6635628974222121
48.0,0.000433399806117969,43.10595791148659,54.4957987296383,11.389840818151711,4.7064253726011245,4.486879654809211,432.9165834942668,-2.0109474364533706
45.0,0.2239102168711712,42.31852960101293,48.97414638068141,6.6556167796684775,2.5311194565041646,,,-0.36121992922466345
31.0,0.43060048674612034,8.748042102017925,46.827888834201694,38.07984673218377,18.680903881531357,0.9565082496631934,92.28869846875321,-0.4638881794542982
29.0,0.4306004867461204,5.0,46.84496659599718,41.84496659599718,21.215333301563565,0.7620244883649885,73.52393275989591,-0.40586514259154716
35.0,0.43060048674612034,14.817915011947093,46.92389693153547,32.10598191958837,15.396589928678022,1.1679028037852603,112.68510202322085,-0.5141987898384925
36.0,0.39866999776959017,10.628917172529867,46.683429404381414,36.05451223185155,15.229505237614344,0.8397701408886378,81.02522204364021,-0.4940427056229103
36.0,0.4306004867461204,21.520491182897587,46.936481943345434,25.415990760447848,11.75367954359595,1.4441661913119122,139.34037496872983,-0.5412263230055856
33.0,0.43060048674612034,5.0,46.70504360541998,41.70504360541998,19.49034414028935,0.6584246851236905,63.52810574415928,-0.40517236141171636
38.0,0.40324418775182547,11.03997463178232,46.749199609886105,35.709224978103784,14.063626854017471,0.8146012130191733,78.59679803815494,-0.5697832328953286
37.0,0.42797975895831214,12.15175929137494,46.68494960308348,34.53319031170854,14.435208537898227,0.8915813734254139,86.02422881495106,-0.5055224471721026
39.0,0.43060048674612045,12.177633991762082,46.83026111942305,34.65262712766096,12.229824157228506,0.7878807720483798,76.01867629108793,-0.6668167355792067
38.0,0.4213302267232021,9.842285128862967,46.7461601987006,36.90387506983763,14.707429883070624,0.795604103212349,76.7638618984435,-0.5612711619780085
41.0,0.4064001997925401,12.002651065758764,46.79933143874156,34.7966803729828,12.978383465072323,0.7490055142839038,72.26779704568246,-0.6071038704310282
47.0,0.02318020510966365,43.08818135083615,49.93029379808946,6.842112447253307,3.0711225298470737,,,-0.5316615609742872
31.0,0.4306004867461205,5.0,46.82874503184883,41.82874503184883,20.66816476024927,0.5659760081731043,54.60819514858197,-0.4045956779823594
46.0,0.041835882083617826,43.0420087328274,49.7971086132089,6.7550998803815006,2.7290272919895457,,,-3.415932021897216
45.0,0.4171040472114255,42.01431026623738,48.90128262253119,6.8869723562938105,2.6163757982233733,,,-0.4691227470390995
37.0,0.4306004867461204,8.502884202880496,46.83672706073224,38.33384285785174,18.950291199487765,0.9432241752912004,91.00698455297147,-0.4592516498921212
34.0,0.43060048674612034,13.306259865715479,46.85732206725016,33.55106220153468,16.81108617581312,1.1549488640832264,111.4352411510701,-0.4583261445039561
41.0,0.4184993122170338,18.76989756695788,46.79844932690127,28.02855175994339,9.688658165758845,0.9715442302356233,93.73944505428412,-0.635565720500659
41.0,0.41389260226845426,11.849524134457349,46.79880796491343,34.94928383045608,12.187579188724975,0.7777581662636704,75.04199667195024,-0.6448737596938048
