temp_C,growth
5.0,0.006772190137507915
6.0,0.01055253840920672
7.0,0.01457571237119657
8.0,0.01967847331162669
9.0,0.02567883599314609
10.0,0.03270440394895044
11.0,0.04102894683745846
12.0,0.050704041516802564
13.0,0.06175863132404544
14.0,0.07423555604826587
15.0,0.08817336181035436
16.0,0.10359068330276977
17.0,0.12048118752480227
18.0,0.1388114704105385
19.0,0.15852179512056475
20.0,0.17951963830820078
21.0,0.20171140107013685
22.0,0.22495815142353756
23.0,0.24922782484429742
24.0,0.27446121495105963
25.0,0.300211379287757
26.0,0.3263169060830003
27.0,0.35239132433783377
28.0,0.3781446951048414
29.0,0.4032906688137228
30.0,0.42754161531495255
31.0,0.4306004867461203
32.0,0.4306004867461203
33.0,0.4306004867461203
34.0,0.43060048674612034
35.0,0.43060048674612034
36.0,0.43060048674612034
37.0,0.4306004867461204
38.0,0.4306004867461203
39.0,0.4306004867461203
40.0,0.43060048674612034
41.0,0.4306004867461203
42.0,0.4306004867461203
43.0,0.43060048674612034
44.0,0.4306004867461203
45.0,0.3686934210457027
46.0,0.101071533481676
47.0,0.009587400060629485
48.0,0.0009558615569026035
49.0,7.487971321429421e-05
50.0,1.3174737491867039e-05
51.0,1.3105207558292536e-05
52.0,1.255648420482784e-05
53.0,1.117792800574911e-05
54.0,7.787816821075063e-06
55.0,5.562610734395565e-06
56.0,3.4288442429376687e-06
57.0,5.687049571936308e-06
58.0,5.316037709823639e-06
59.0,2.812608681399345e-06
60.0,2.485526073061958e-06
