module,trait,r_full,r_loo_min,r_loo_max,r_wo_15_0,r_wo_15_2,r_wo_21_0,r_wo_21_2,r_wo_27_0,r_wo_27_2
Ribosome,growth,0.93,0.875,0.98,0.98,0.9,0.875,0.927,0.956,0.926
AOX,CUE,-0.983,-0.988,-0.978,-0.988,-0.982,-0.987,-0.986,-0.985,-0.978
