"model","fold_median","fold_lo","fold_hi","p_fold_gt1"
"Hill (log-logistic)",4.55433330142659,2.36696803821769,11.0901897652105,1
"Weibull-1",3.85923522269986,2.22604016966726,7.94643244581388,1
"Exponential",2.70302271517689,1.39885905496156,6.1964992528393,1
