"model","temperature","EC50_median","EC50_lo","EC50_hi"
"Hill (log-logistic)","15",1.12161988704027,0.69084226584788,1.70122240937477
"Hill (log-logistic)","18",3.41986346317084,1.79455175683297,7.12208761094165
"Hill (log-logistic)","21",2.04292208246476,1.28471944159493,3.610614081158
"Hill (log-logistic)","24",1.40364567911142,0.985889018657127,2.01704629268797
"Hill (log-logistic)","26",1.84807353871393,1.13117202644178,3.36224768816863
"Hill (log-logistic)","27",4.99736018662336,3.19927259773716,11.1673065404274
"Hill (log-logistic)","28",2.65922872663849,1.64423903034583,4.58946478241024
"Weibull-1","15",1.05980608430291,0.633960678828188,1.58884411065352
"Weibull-1","18",3.26235841996586,1.85427669422798,5.97826857053714
"Weibull-1","21",2.13610561703103,1.39120309445075,3.43776987366531
"Weibull-1","24",1.69369733724347,1.17895850536953,2.3734344115723
"Weibull-1","26",2.10945383218612,1.34739600455712,3.53200107529291
"Weibull-1","27",4.01899462433969,2.7960800683801,6.77519390145761
"Weibull-1","28",2.68790749264179,1.71538857719667,4.23966655890941
"Exponential","15",1.59073042388811,1.07542537969914,2.20055096298161
"Exponential","18",3.56366476937288,2.31726316696469,6.49828867471083
"Exponential","21",2.49964839229517,1.78953832239434,3.86230958409598
"Exponential","24",1.83623701821567,1.35995703931278,2.47533197805406
"Exponential","26",2.54676487417532,1.77747804026788,4.04736831847029
"Exponential","27",4.2469374161565,2.55236547881302,8.77055736751754
"Exponential","28",2.69347538559756,1.83198598820762,4.53558451556418
