"label","I15","I27","P27","diff","lo","hi","P","sm15","sm27","background"
"0 h / 0 h",-0.0830753061100905,-1.12187710308235,0.00792471207716153,-1.03880179697226,-1.83931803078634,-0.238285563158178,0.0306123091195016,0,0,"as measured"
"0 h / 2 h",-0.0830753061100905,-1.12184188629751,0.00778136154861201,-1.03876658018742,-1.8425976297057,-0.234935530669135,0.0308567147732324,0,2,"as measured"
"0 h / 4 h",-0.0830753061100905,-1.11200614317465,0.00807901176571115,-1.02893083706456,-1.8445900279867,-0.213271646142425,0.0323086809520229,0,4,"as measured"
"0 h / 8 h",-0.0830753061100905,-1.05199262407629,0.00998330255880127,-0.968917317966196,-1.81603553865568,-0.121799097276713,0.0388966091532675,0,8,"as measured"
"0 h / 12 h",-0.0830753061100905,-0.960889327563922,0.0140077432712714,-0.877814021453832,-1.75861931360328,0.00299127069561185,0.050316012318527,0,12,"as measured"
"12 h / 12 h",-0.0132502288219354,-0.960889327563922,0.0140077432712714,-0.947639098741987,-1.73009652967728,-0.165181667806696,0.0349097132955479,12,12,"as measured"
"0 h / 12 h",-0.0829276651651261,-0.932986059331584,0.0167182723190972,-0.850058394166458,-1.76982257968575,0.0697057913528367,0.0578094119723647,0,12,"added back"
