"temp","replicate","well","condition","drug_mgL","sham_mM","r_per_h","K","R2","RMSE","n_pts","r_per_h_raw","smooth_h","fit_start","fit_end","o2_used","rule","rule_fallback","overridden","step_shift_mgL","excluded"
27,3,"C1","S",0,0.2,0.0258463405125488,0.00142751125831602,0.99892528419165,0.0794402460781087,2942,0.0256453020586539,12,399.4,3350.8,7.90934812760061,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
27,3,"C2","S",0,0.2,0.0638110750557204,0.000668969950431238,0.997305633864016,0.0791325823103158,2133,0.0692465938480389,12,399.4,2538.4,5.01157420249653,"manual (03_trim_selector.R)",FALSE,FALSE,1.325,FALSE
27,3,"C3","S",0,0.2,0.0460344451102732,0.00107145989864494,0.99825554534182,0.0796871978268984,2295,0.0492123400705636,12,399.4,2700.9,6.30039528432733,"manual (03_trim_selector.R)",FALSE,FALSE,0.905,FALSE
27,3,"C4","S",0,0.2,0.0495423184784338,0.00104847306178564,0.998253869318406,0.0785951648203029,2216,0.0545394440412812,12,399.4,2622.6,6.230319001387,"manual (03_trim_selector.R)",FALSE,FALSE,1.36,FALSE
27,3,"C5","S",0,0.2,0.0739055263668749,0.000636709638079755,0.997936763435551,0.0789171977255003,2091,0.0860336304583924,12,399.4,2495.7,5.87862690707352,"manual (03_trim_selector.R)",FALSE,FALSE,1.88,FALSE
27,3,"B1","P2",2,0,0.058246468964424,0.00120732967233648,0.998512934708227,0.0781381123565671,1970,0.0701718081741455,12,399.4,2375.3,6.77895284327325,"manual (03_trim_selector.R)",FALSE,FALSE,0.425,FALSE
27,3,"B2","P2",2,0,0.0582641093022111,0.00120286739893469,0.998403841195042,0.0786438465324644,1947,0.0692958005454351,12,399.4,2351.3,6.50108183079059,"manual (03_trim_selector.R)",FALSE,FALSE,-0.19,FALSE
27,3,"B3","P2",2,0,0.0529543140262775,0.000882271720307139,0.997129631667068,0.0787748357568626,2066,0.0594943364745113,12,389.4,2461.6,4.84496532593626,"manual (03_trim_selector.R)",FALSE,FALSE,0.36,FALSE
27,3,"D1","P2S",2,0.2,0.0161353214169462,0.00138570593612458,0.999232531641356,0.0538508584276631,3110,0.015304706508866,12,399.4,3519.2,6.71418169209434,"manual (03_trim_selector.R)",FALSE,FALSE,-0.025,FALSE
27,3,"D2","P2S",2,0.2,0.0108945001315126,0.00154877063903936,0.998637722473306,0.0691151302159136,3110,0.0112281954082575,12,399.4,3519.2,6.07209431345355,"manual (03_trim_selector.R)",FALSE,FALSE,-0.09,FALSE
27,3,"D3","P2S",2,0.2,0.0107685563407399,0.00156230255837224,0.998203716230965,0.0797943622145201,3110,0.0105539748262423,12,399.4,3519.2,6.04623439667129,"manual (03_trim_selector.R)",FALSE,FALSE,-0.125,FALSE
27,3,"B4","P4",4,0,0.0644491866923773,0.000986036934034843,0.998285102688298,0.0796955444399521,1989,0.0812090415525379,12,399.4,2393.4,6.51784327323159,"manual (03_trim_selector.R)",FALSE,FALSE,1.335,FALSE
27,3,"B5","P4",4,0,0.0604580243325976,0.000993000884430446,0.998269012557573,0.0782989188981292,2037,0.0759956139893452,12,391.4,2433.5,6.37375866851597,"manual (03_trim_selector.R)",FALSE,FALSE,1.32,FALSE
27,3,"B6","P4",4,0,0.0691847577704208,0.000892684630489093,0.998549787810492,0.0790393833824536,2049,0.0834773426253571,12,399.4,2453.6,7.11808599167823,"manual (03_trim_selector.R)",FALSE,FALSE,2.48,FALSE
27,3,"D4","P4S",4,0.2,0.00772993231656153,0.00152523895499973,0.998167147804585,0.0723494499289308,3110,0.00746237260201621,12,399.4,3519.2,5.42554785020808,"manual (03_trim_selector.R)",FALSE,FALSE,-0.1,FALSE
27,3,"D5","P4S",4,0.2,0.0100230008547869,0.00150743288881457,0.998077791172308,0.0780126165892956,3110,0.00985135846308852,12,399.4,3519.2,5.71500693481275,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
27,3,"D6","P4S",4,0.2,0.0117458822636664,0.00151078133228696,0.998137565599418,0.079309615580322,3068,0.0119978955217027,12,444.6,3522.3,5.91323855755892,"manual (03_trim_selector.R)",FALSE,FALSE,-0.005,FALSE
