"temp","replicate","well","condition","drug_mgL","sham_mM","r_per_h","K","R2","RMSE","n_pts","r_per_h_raw","smooth_h","fit_start","fit_end","o2_used","rule","rule_fallback","overridden","step_shift_mgL","excluded"
15,2,"A3","V",0,0,0.0588984096848239,0.000229440264089835,0.998931168099605,0.0782260235038399,3745,0.0588984096848239,0,25.1,3783,9.35,"manual (03_trim_selector.R)",FALSE,FALSE,-0.16,FALSE
15,2,"A4","V",0,0,0.0611139798068018,0.000195455727779686,0.99872476356978,0.0766904130420533,3698,0.0611139798068018,0,25.1,3734.9,8.48,"manual (03_trim_selector.R)",FALSE,FALSE,-0.11,FALSE
15,2,"A5","V",0,0,0.0610709745640263,0.000233113710834303,0.998890011137597,0.0797976366116468,3633,0.0610709745640263,0,40.1,3683.8,9.09,"manual (03_trim_selector.R)",FALSE,FALSE,-0.18,FALSE
15,2,"C1","S",0,0.2,0.0510140905769525,0.00025253830238964,0.999440092850796,0.0367365529779425,3533,0.0510140905769525,0,338.3,3882.3,5.61,"manual (03_trim_selector.R)",FALSE,FALSE,-0.11,FALSE
15,2,"C2","S",0,0.2,0.0601871222166138,0.000202679633613546,0.999340657824786,0.0295805812188713,3080,0.0601871222166138,0,494.6,3584.4,4.19,"manual (03_trim_selector.R)",FALSE,FALSE,-0.1,FALSE
15,2,"C3","S",0,0.2,0.0642825634731269,0.000168196589833779,0.999310193720021,0.0416016445812118,3418,0.0642825634731269,0,450.2,3879.2,6.04,"manual (03_trim_selector.R)",FALSE,FALSE,-0.1,FALSE
15,2,"C4","S",0,0.2,0.0622952308095713,0.000215514013610844,0.99763714768667,0.101159349036405,3520,0.0622952308095713,0,347.7,3879.2,7.8,"manual (03_trim_selector.R)",FALSE,FALSE,-0.16,FALSE
15,2,"C5","S",0,0.2,0.0625646080750565,0.000228449177837505,0.999190849977477,0.049490903370915,3280,0.0625646080750565,0,589,3879.2,6.47,"manual (03_trim_selector.R)",FALSE,FALSE,-0.11,FALSE
15,2,"B1","P2",2,0,0.021094333373771,0.000482260251431329,0.999039451427244,0.0320155643708418,3666,0.021094333373771,0,205.6,3882.3,3.52,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,2,"B2","P2",2,0,0.0238017556383525,0.00044869647765706,0.997367223096964,0.0458785065021819,3338,0.0238017556383525,0,527.8,3876.2,2.95,"manual (03_trim_selector.R)",FALSE,FALSE,-0.05,FALSE
15,2,"B3","P2",2,0,0.0375615910872311,0.000333771946987504,0.998393360153178,0.0517768437056515,3623,0.0375615910872311,0,244.6,3879.2,4.43,"manual (03_trim_selector.R)",FALSE,FALSE,-0.05,FALSE
15,2,"D1","P2S",2,0.2,0.0175646205044162,0.000406486540629185,0.997843064221121,0.0323254396139598,3444,0.0175646205044162,0,428.3,3882.3,2.32,"manual (03_trim_selector.R)",FALSE,FALSE,-0.05,FALSE
15,2,"D2","P2S",2,0.2,0.0182077433611441,0.000400659549607637,0.998034143233653,0.0312775606830038,3459,0.0182077433611441,0,409.3,3879.2,2.345,"manual (03_trim_selector.R)",FALSE,FALSE,-0.045,FALSE
15,2,"D3","P2S",2,0.2,0.0295690889090654,0.000400084041830272,0.996256625892221,0.0610015593890408,3390,0.0295690889090654,0,428.3,3828.1,3.22,"manual (03_trim_selector.R)",FALSE,FALSE,-0.1,FALSE
15,2,"B4","P4",4,0,0.0399277176705697,0.000337245078334285,0.996147463942752,0.0736237797800868,3359,0.0399277176705697,0,287.6,3656.7,3.94,"manual (03_trim_selector.R)",FALSE,FALSE,-0.09,FALSE
15,2,"B5","P4",4,0,0.0480068658220654,0.000282987767963127,0.996363904969833,0.0735013947573348,3247,0.0480068658220654,0,257.7,3515.2,4.11,"manual (03_trim_selector.R)",FALSE,FALSE,-0.16,FALSE
15,2,"B6","P4",4,0,0.0224332965825301,0.000463561391688621,0.998197154727863,0.0403665947610209,3482,0.0224332965825301,0,385.6,3879.2,3.17,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
15,2,"D4","P4S",4,0.2,0.0295146285611749,0.000333502917993218,0.998637490050397,0.0285301139193945,3274,0.0295146285611749,0,594.1,3879.2,2.66,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,2,"D5","P4S",4,0.2,0.0203451419783434,0.000412704512362251,0.997449350598394,0.0357187059305727,3260,0.0203451419783434,0,613,3882.3,2.34,"manual (03_trim_selector.R)",FALSE,FALSE,-0.07,FALSE
15,2,"D6","P4S",4,0.2,0.0210819538671862,0.00034456067823778,0.998157180991456,0.0256789699068869,3241,0.0210819538671862,0,632,3882.3,2,"manual (03_trim_selector.R)",FALSE,FALSE,-0.05,FALSE
15,3,"A1","V",0,0,0.0553063184013125,0.000257875947246185,0.999194447756815,0.0710736900156907,3841,0.0553063184013125,0,25.1,3879.2,9.44,"manual (03_trim_selector.R)",FALSE,FALSE,-0.16,FALSE
15,3,"A2","V",0,0,0.0557842856115793,0.000254468161213934,0.998980432854115,0.0780137123567646,3805,0.0557842856115793,0,25.1,3843.1,9.315,"manual (03_trim_selector.R)",FALSE,FALSE,-0.165,FALSE
15,3,"A3","V",0,0,0.0567834901202219,0.000224081317280633,0.999085004167489,0.0703958633334164,3841,0.0567834901202219,0,25.1,3879.2,8.92,"manual (03_trim_selector.R)",FALSE,FALSE,-0.15,FALSE
15,3,"A4","V",0,0,0.0568241269474489,0.000232005096456089,0.998853995646532,0.0791717933213646,3807,0.0568241269474489,0,40.1,3858.2,8.64,"manual (03_trim_selector.R)",FALSE,FALSE,-0.15,FALSE
15,3,"A5","V",0,0,0.0592634578837687,0.000183787137786833,0.999295598849711,0.0567465520882078,3841,0.0592634578837687,0,25.1,3879.2,8.46,"manual (03_trim_selector.R)",FALSE,FALSE,-0.13,FALSE
15,3,"C1","S",0,0.2,0.0558466123630156,0.00021014670339869,0.999677545771806,0.0251861605564875,3411,0.0558466123630156,0,456.7,3879.2,5.23,"manual (03_trim_selector.R)",FALSE,FALSE,-0.06,FALSE
15,3,"C2","S",0,0.2,0.0561623245976503,0.000243098248844337,0.999610674692129,0.0294136151368378,3308,0.0561623245976503,0,560.9,3879.2,5.59,"manual (03_trim_selector.R)",FALSE,FALSE,-0.1,FALSE
