"T","replicate","well","condition","step_time_h","step_mgL"
15,1,"A1","V",40.81,-0.12
15,1,"B1","P2",40.58,-0.06
15,1,"C1","S",40.27,-0.07
15,1,"D1","P2S",41.14,-0.06
15,1,"A2","V",41.21,-0.13
15,1,"B2","P2",42.31,-0.07
15,1,"C2","S",41.96,-0.08
15,1,"D2","P2S",40.68,-0.05
15,1,"A3","V",41.59,-0.15
15,1,"B3","P2",42.84,-0.06
15,1,"C3","S",41.48,-0.07
15,1,"D3","P2S",40.56,-0.03
15,1,"A4","V",41.31,-0.14
15,1,"B4","P4",40.06,-0.05
15,1,"C4","S",40.83,-0.08
15,1,"D4","P4S",42.71,-0.05
15,1,"A5","V",41.31,-0.13
15,1,"B5","P4",42.46,-0.07
15,1,"C5","S",41.18,-0.07
15,1,"D5","P4S",41.06,-0.05
15,1,"A6","bV",41.58,0
15,1,"B6","P4",41.58,-0.07
15,1,"C6","bS",41.64,0
15,1,"D6","P4S",40.11,-0.04
15,2,"A1","V",42.96,-0.17
15,2,"B1","P2",40.81,-0.06
15,2,"C1","S",42.47,-0.11
15,2,"D1","P2S",42.37,-0.05
15,2,"A2","V",41.21,-0.16
15,2,"B2","P2",42.29,-0.05
15,2,"C2","S",41.86,-0.1
15,2,"D2","P2S",40.21,-0.045
15,2,"A3","V",40.24,-0.16
15,2,"B3","P2",41.21,-0.05
15,2,"C3","S",41.93,-0.1
15,2,"D3","P2S",40.58,-0.1
15,2,"A4","V",40.96,-0.11
15,2,"B4","P4",41.61,-0.09
15,2,"C4","S",41.93,-0.16
15,2,"D4","P4S",40.98,-0.06
15,2,"A5","V",42.89,-0.18
15,2,"B5","P4",40.58,-0.16
15,2,"C5","S",42.17,-0.11
15,2,"D5","P4S",42.14,-0.07
15,2,"A6","bV",41.61,0
15,2,"B6","P4",42.37,-0.07
15,2,"C6","bS",42.14,0
15,2,"D6","P4S",40.12,-0.05
15,3,"A1","V",40.74,-0.16
15,3,"B1","P2",41.85,-0.08
15,3,"C1","S",40.96,-0.06
15,3,"D1","P2S",42.47,-0.06
15,3,"A2","V",42.47,-0.165
15,3,"B2","P2",42.62,-0.08
15,3,"C2","S",40.71,-0.1
15,3,"D2","P2S",42.24,-0.06
15,3,"A3","V",40.04,-0.15
15,3,"B3","P2",41.43,-0.08
15,3,"C3","S",41.85,-0.1
15,3,"D3","P2S",42.76,-0.08
15,3,"A4","V",41.46,-0.15
15,3,"B4","P4",40.44,-0.07
15,3,"C4","S",40.52,-0.09
15,3,"D4","P4S",40.16,-0.04
15,3,"A5","V",41.11,-0.13
15,3,"B5","P4",41.34,-0.06
15,3,"C5","S",40.71,-0.08
15,3,"D5","P4S",41.11,-0.06
15,3,"A6","bV",40.22,0
15,3,"B6","P4",41.11,-0.05
15,3,"C6","bS",41.85,-0.01
15,3,"D6","P4S",42.62,-0.06
27,1,"A1","V",40.94,1.39
27,1,"B1","P2",41.9,0
27,1,"C1","S",40.89,-0.14
27,1,"D1","P2S",42.81,-0.015
27,1,"A2","V",41.24,-0.03
27,1,"B2","P2",41.21,0.4
27,1,"C2","S",40.56,0.57
27,1,"D2","P2S",40.21,-0.14
27,1,"A3","V",40.42,0.56
27,1,"B3","P2",41.14,0.895
27,1,"C3","S",40.37,0.095
27,1,"D3","P2S",42.72,-0.11
27,1,"A4","V",40.69,1.24
27,1,"B4","P4",41.21,1.035
27,1,"C4","S",41.23,1.325
27,1,"D4","P4S",40.24,-0.12
27,1,"A5","V",41.28,0.54
27,1,"B5","P4",41.04,1.845
27,1,"C5","S",40.76,0.43
27,1,"D5","P4S",42.24,-0.045
27,1,"A6","bV",42.49,-0.04
27,1,"B6","P4",40.83,0.97
27,1,"C6","bS",40.64,-0.07
27,1,"D6","P4S",42.69,0.13
27,2,"A1","V",40.98,-0.33
27,2,"B1","P2",40.98,1.065
27,2,"C1","S",40.98,-0.265
27,2,"D1","P2S",40.98,-0.065
27,2,"A2","V",40.98,-0.09
27,2,"B2","P2",40.98,2.455
27,2,"C2","S",40.96,0.59
27,2,"D2","P2S",40.98,-0.1
27,2,"A3","V",40.98,1.86
27,2,"B3","P2",40.98,2.56
27,2,"C3","S",40.96,0.895
27,2,"D3","P2S",40.96,-0.1
27,2,"A4","V",40.98,1.81
27,2,"B4","P4",40.98,2.415
27,2,"C4","S",40.96,1
27,2,"D4","P4S",40.98,-0.08
27,2,"A5","V",40.96,1.945
27,2,"B5","P4",40.96,2.56
27,2,"C5","S",40.96,1.985
27,2,"D5","P4S",40.96,-0.01
27,2,"A6","bV",41.91,0.03
27,2,"B6","P4",40.98,0.145
27,2,"C6","bS",42.36,0.03
27,2,"D6","P4S",40.98,-0.09
27,3,"A1","V",41.01,1.47
27,3,"B1","P2",41.04,0.425
27,3,"C1","S",41.01,-0.06
27,3,"D1","P2S",40.96,-0.025
27,3,"A2","V",41.04,0.97
27,3,"B2","P2",40.69,-0.19
27,3,"C2","S",41.01,1.325
27,3,"D2","P2S",40.96,-0.09
27,3,"A3","V",41.04,1.01
27,3,"B3","P2",42.86,0.36
27,3,"C3","S",40.99,0.905
27,3,"D3","P2S",40.98,-0.125
27,3,"A4","V",41.04,0.775
27,3,"B4","P4",41.01,1.335
27,3,"C4","S",40.98,1.36
27,3,"D4","P4S",40.96,-0.1
27,3,"A5","V",40.99,1.53
27,3,"B5","P4",40.99,1.32
27,3,"C5","S",40.98,1.88
27,3,"D5","P4S",40.98,-0.07
27,3,"A6","bV",41.16,-0.09
27,3,"B6","P4",40.98,2.48
27,3,"C6","bS",40.48,-0.05
27,3,"D6","P4S",40.96,-0.005
