"replicate","d_2","d_4","d_pooled"
1,-0.845629770654003,-1.03147626030938,-0.938553015481693
2,-0.540440689358221,-0.19308210086757,-0.366761395112895
3,-1.24722779767835,-1.72350836254174,-1.48536808011004
