"plate","well","condition","rate_mgL_h","r2","window_start_h","window_end_h"
1,"A2","blank",0.0395866569741228,0.938136642633997,2.605,12.6036666666667
1,"A4","blank",0.0420086275945892,0.941484768588047,3.39,13.3886666666667
1,"A5","blank",0.0751702004256668,0.981511531998545,2.488,12.4866666666667
1,"B3","blank",0.0231083171385898,0.913016636339677,5.993,15.992
1,"B6","blank",0.0704303548024583,0.95435363311696,1.503,11.5021666666667
1,"C1","blank",0.0170393760227685,0.836214314393117,6.7105,16.71
1,"C3","blank",0.0289355235933302,0.91565076649483,3.82416666666667,13.8225
1,"D2","blank",0.0221378257793365,0.960370463459088,5.45916666666667,15.458
1,"D5","blank",0.0296940185080014,0.940926485099081,2.18783333333333,12.1863333333333
1,"D6","blank",0.0272013677250965,0.90328788020725,3.37333333333333,13.372
1,"A6","azide",0.0628668584237237,0.976236388770767,1.31916666666667,11.3186666666667
1,"B1","azide",0.0602205677831231,0.934378766598859,1.0855,11.085
1,"B2","azide",0.0897526368793048,0.964012047954906,1.38616666666667,11.3853333333333
1,"B4","azide",0.123478235219392,0.968293466322299,1.48633333333333,11.4853333333333
1,"C4","azide",0.120890692677929,0.972044307617651,1.26916666666667,11.2686666666667
1,"C5","azide",0.0958863858583106,0.975110352927413,1.3525,11.352
1,"D3","azide",0.083488094612889,0.923556725088913,0.952166666666667,10.9513333333333
1,"A1","azide+SHAM",0.0282416440713736,0.962108667669094,1.97083333333333,11.9695
1,"A3","azide+SHAM",0.0143269225966379,0.847086023480422,2.18783333333333,12.1863333333333
1,"B5","azide+SHAM",0.0297911717703715,0.935694319578722,2.27116666666667,12.2696666666667
1,"C2","azide+SHAM",0.0362096289738955,0.950094551803881,2.15416666666667,12.153
1,"C6","azide+SHAM",0.0210380219396412,0.932405512303972,1.7705,11.7691666666667
1,"D1","azide+SHAM",0.034027595584139,0.985353538614697,1.48633333333333,11.4853333333333
1,"D4","azide+SHAM",0.0471098315121514,0.969075048782228,2.0375,12.0361666666667
2,"A2","blank",0.0313607118409174,0.982983651458181,1.80383333333333,11.8025
2,"A4","blank",0.0343787149059612,0.988909488159742,3.10616666666667,13.1046666666667
2,"A5","blank",0.0236799105244775,0.973728124432094,2.02083333333333,12.0195
2,"B3","blank",0.0271302700487471,0.977047510425094,1.75366666666667,11.7521666666667
2,"B6","blank",0.0281832631833523,0.977012374576221,2.58833333333333,12.587
2,"C1","blank",0.028115203623751,0.973733992654275,2.22116666666667,12.2196666666667
2,"C3","blank",0.0276805327781316,0.976567979705656,2.27116666666667,12.2696666666667
2,"D2","blank",0.0326828606043425,0.9751567199189,0.117166666666667,10.1005
2,"D5","blank",0.0242703166051081,0.975563608372474,3.05616666666667,13.0546666666667
2,"D6","blank",0.0387796475234097,0.987356232715772,3.00616666666667,13.0045
2,"A6","azide",0.0858226341336522,0.96625375062139,1.45283333333333,11.452
2,"B1","azide",0.0851725649550787,0.965125011384064,1.33583333333333,11.3353333333333
2,"B2","azide",0.116663772990151,0.968777408008552,1.57,11.5688333333333
2,"B4","azide",0.119538757870295,0.965482688193133,1.2025,11.2016666666667
2,"C4","azide",0.107387495433801,0.970865278847612,1.4695,11.4686666666667
2,"C5","azide",0.10687391410156,0.974285420741914,1.05216666666667,11.0516666666667
2,"D3","azide",0.114518709335316,0.96788365313752,1.28583333333333,11.2853333333333
2,"A1","azide+SHAM",0.0382907494168506,0.987562026176962,1.90383333333333,11.9025
2,"A3","azide+SHAM",0.0253944048851595,0.976600000655148,1.95416666666667,11.9528333333333
2,"B5","azide+SHAM",0.0330470347210563,0.985323506136626,2.00416666666667,12.0028333333333
2,"C2","azide+SHAM",0.0344218803106739,0.986748690081572,2.1375,12.1363333333333
2,"C6","azide+SHAM",0.0219190891225633,0.962835481980022,1.78716666666667,11.7858333333333
2,"D1","azide+SHAM",0.021694168790021,0.971074931208939,2.00416666666667,12.0028333333333
2,"D4","azide+SHAM",0.0255063728075574,0.978444716217464,2.3545,12.3533333333333
3,"A2","blank",0.0211428041570403,0.95984540865587,2.88883333333333,12.8875
3,"A4","blank",0.0280937934864183,0.968975167335134,2.58833333333333,12.587
3,"A5","blank",0.0260860434634918,0.964184842928423,2.18783333333333,12.1863333333333
3,"B3","blank",0.0186988911381827,0.939101915219087,1.48633333333333,11.4853333333333
3,"B6","blank",0.033532327194814,0.98298876368024,2.9725,12.9711666666667
3,"C1","blank",0.0324714480559591,0.981749490270916,2.95583333333333,12.9545
3,"C3","blank",0.0296429837386418,0.967794598685601,3.00616666666667,13.0045
3,"D2","blank",0.0295092009290452,0.968919812042834,2.12083333333333,12.1195
3,"D5","blank",0.0391332591638796,0.986280571395884,1.7705,11.7691666666667
3,"D6","blank",0.0274542318154446,0.965249135256216,1.72033333333333,11.7188333333333
3,"A6","azide",0.132839676347967,0.969143589898428,1.57,11.5688333333333
3,"B1","azide",0.11909154079174,0.967717149831602,1.72033333333333,11.7188333333333
3,"B2","azide",0.111025498018966,0.969302088252208,1.53633333333333,11.5355
3,"B4","azide",0.110537243131316,0.956163603184873,1.38616666666667,11.3853333333333
3,"C4","azide",0.120411336786018,0.973853032807104,1.31916666666667,11.3186666666667
3,"C5","azide",0.107342105722451,0.975481838625492,1.62,11.6188333333333
3,"D3","azide",0.107827481945954,0.973972456305659,1.0855,11.085
3,"A1","azide+SHAM",0.0210661542576591,0.964023319082316,2.02083333333333,12.0195
3,"A3","azide+SHAM",0.0284883950197063,0.970375979636828,1.85383333333333,11.8525
3,"B5","azide+SHAM",0.0288848613562235,0.975000104011874,1.85383333333333,11.8525
3,"C2","azide+SHAM",0.0297848394785539,0.976844266401963,2.18783333333333,12.1863333333333
3,"C6","azide+SHAM",0.0245247822033689,0.974075539232098,1.8705,11.8691666666667
3,"D1","azide+SHAM",0.02863786198761,0.975097890155491,2.2545,12.253
3,"D4","azide+SHAM",0.0222504509426389,0.956972924734519,2.32116666666667,12.3196666666667
