"inhibitor","rule","min_O2","n15","n27","n_curves","s15","s27","diff","p"
"npg","drawdown 10-90%",0,3,3,30,-0.0104378287004568,0.00665042724668572,0.0170882559471425,0.238702086035581
"npg","drawdown 5-85%",0,3,3,30,-0.0108485988774966,0.00060640537959106,0.0114550042570876,0.45586019590296
"npg","drawdown 5-95%",0,3,3,30,-0.00988482869662284,0.00732085628223943,0.0172056849788623,0.182720292241655
"npg","fixed 300-2500",0,3,3,30,-0.00875990863464527,-0.0143964875964319,-0.00563657896178664,0.759547785912588
"npg","fixed 400-3200",0,3,3,30,-0.0091539297956775,0.00700831867640019,0.0161622484720777,0.183473327289761
"npg","fixed 600-3200",0,3,3,30,-0.00905264030424367,0.00881410370665875,0.0178667440109024,0.171891627257763
"npg","fixed 800-3600",0,3,3,30,-0.00960612114069638,0.00239783789814201,0.0120039590388384,0.386460318976505
"npg","drawdown 10-90%",3,3,3,30,-0.0104378287004568,0.00665042724668572,0.0170882559471425,0.238702086035581
"npg","drawdown 5-85%",3,3,3,30,-0.0108485988774966,0.00060640537959106,0.0114550042570876,0.45586019590296
"npg","drawdown 5-95%",3,3,3,30,-0.00988482869662284,0.00732085628223943,0.0172056849788623,0.182720292241655
"npg","fixed 400-3200",3,3,3,27,-0.000129633766249756,0.00700831867640019,0.00713795244264994,0.342457720353068
"npg","fixed 600-3200",3,3,3,26,0.00181201905830138,0.00881410370665875,0.00700208464835736,0.440284647413763
"npg","fixed 800-3600",3,3,3,28,-0.00107598320394359,0.00239783789814201,0.0034738211020856,0.731039961293363
"npg","drawdown 10-90%",4,3,3,30,-0.0104378287004568,0.00665042724668572,0.0170882559471425,0.238702086035581
"npg","drawdown 5-85%",4,3,3,30,-0.0108485988774966,0.00060640537959106,0.0114550042570876,0.45586019590296
"npg","drawdown 5-95%",4,3,3,30,-0.00988482869662284,0.00732085628223943,0.0172056849788623,0.182720292241655
"npg","fixed 800-3600",4,2,3,24,-0.0034776692266058,0.00239783789814201,0.00587550712474781,0.570391895362204
"npg","drawdown 10-90%",5,3,3,30,-0.0104378287004568,0.00665042724668572,0.0170882559471425,0.238702086035581
"npg","drawdown 5-85%",5,3,3,30,-0.0108485988774966,0.00060640537959106,0.0114550042570876,0.45586019590296
"npg","drawdown 5-95%",5,3,3,30,-0.00988482869662284,0.00732085628223943,0.0172056849788623,0.182720292241655
"npg","drawdown 10-90%",6,2,3,25,-0.00180482833520677,0.00665042724668572,0.00845525558189249,0.444264148710928
"npg","drawdown 5-85%",6,2,3,25,-0.00209333218208067,0.00060640537959106,0.00269973756167173,0.828651456912161
"npg","drawdown 5-95%",6,3,3,28,-0.00120365200723051,0.00732085628223943,0.00852450828946994,0.282051412080209
"sham","drawdown 10-90%",0,3,3,30,0.00528299709207999,-0.0126530592215437,-0.0179360563136237,0.00725687664424162
"sham","drawdown 5-85%",0,3,3,30,0.00506702563700191,-0.0171195651795495,-0.0221865908165514,6.22552369077474e-05
"sham","drawdown 5-95%",0,3,3,30,0.00483114723744745,-0.00736556078113707,-0.0121967080185845,0.0194787591613171
"sham","fixed 300-2500",0,3,3,30,0.00953996916111186,-0.0117773692765827,-0.0213173384376945,0.0147630624386928
"sham","fixed 400-3200",0,3,3,30,0.00549012227765015,-0.0170160815473259,-0.022506203824976,0.00142202304583572
"sham","fixed 600-3200",0,3,3,30,0.00480360386680534,-0.0184059560215749,-0.0232095598883803,0.00223281623219767
"sham","fixed 800-3600",0,3,3,30,0.00330367787899566,-0.00772679256454975,-0.0110304704435454,0.112629414421478
"sham","drawdown 10-90%",3,3,3,30,0.00528299709207999,-0.0126530592215437,-0.0179360563136237,0.00725687664424162
"sham","drawdown 5-85%",3,3,3,30,0.00506702563700191,-0.0171195651795495,-0.0221865908165514,6.22552369077474e-05
"sham","drawdown 5-95%",3,3,3,30,0.00483114723744745,-0.00736556078113707,-0.0121967080185845,0.0194787591613171
"sham","fixed 400-3200",3,3,3,30,0.00549012227765015,-0.0170160815473259,-0.022506203824976,0.00142202304583572
"sham","fixed 600-3200",3,3,3,29,0.00453807800915765,-0.0184059560215749,-0.0229440340307326,0.00214346865934541
"sham","fixed 800-3600",3,3,3,30,0.00330367787899566,-0.00772679256454975,-0.0110304704435454,0.112629414421478
"sham","drawdown 10-90%",4,3,3,30,0.00528299709207999,-0.0126530592215437,-0.0179360563136237,0.00725687664424162
"sham","drawdown 5-85%",4,3,3,30,0.00506702563700191,-0.0171195651795495,-0.0221865908165514,6.22552369077474e-05
"sham","drawdown 5-95%",4,3,3,30,0.00483114723744745,-0.00736556078113707,-0.0121967080185845,0.0194787591613171
"sham","fixed 800-3600",4,3,3,29,0.00282442337192219,-0.00772679256454975,-0.0105512159364719,0.119989170226127
"sham","drawdown 10-90%",5,3,3,30,0.00528299709207999,-0.0126530592215437,-0.0179360563136237,0.00725687664424162
"sham","drawdown 5-85%",5,3,3,30,0.00506702563700191,-0.0171195651795495,-0.0221865908165514,6.22552369077474e-05
"sham","drawdown 5-95%",5,3,3,30,0.00483114723744745,-0.00736556078113707,-0.0121967080185845,0.0194787591613171
"sham","drawdown 10-90%",6,3,3,30,0.00528299709207999,-0.0126530592215437,-0.0179360563136237,0.00725687664424162
"sham","drawdown 5-85%",6,3,3,30,0.00506702563700191,-0.0171195651795495,-0.0221865908165514,6.22552369077474e-05
"sham","drawdown 5-95%",6,3,3,30,0.00483114723744745,-0.00736556078113707,-0.0121967080185845,0.0194787591613171
