"inhibitor","temp","dose_mM","dose_label","culture","r_per_h","K","R2","RMSE","n_pts","fit_start","fit_end","used_in_slope"
"SHAM",15,0.35,"0.3500",3,0.033893,0.00055,0.9995,0.0335,3358,519.8,3886.8,FALSE
"SHAM",27,0,"solvent control",1,0.056912,0.00104,0.9654,0.3793,2127,729.2,2861.5,FALSE
"SHAM",27,0,"solvent control",2,0.027072,0.0014,0.9981,0.0704,2283,955.9,3243.2,FALSE
"SHAM",27,0,"solvent control",3,0.037507,0.00138,0.9876,0.2002,2150,650.9,2807.4,FALSE
"SHAM",27,0.0125,"0.0125",1,0.03568,0.00123,0.9823,0.3026,2647,375,3027.8,TRUE
"SHAM",27,0.0125,"0.0125",2,0.034555,0.00167,0.9922,0.193,2240,908.7,3153,TRUE
"SHAM",27,0.0125,"0.0125",3,0.029386,0.00161,0.9869,0.2091,2194,1247.9,3447.4,TRUE
"SHAM",27,0.025,"0.0250",1,0.048367,0.00099,0.9834,0.2259,2228,391.1,2625,TRUE
"SHAM",27,0.025,"0.0250",2,0.024893,0.00138,0.994,0.1884,3047,443.2,3497.8,TRUE
"SHAM",27,0.025,"0.0250",3,0.037821,0.00141,0.9902,0.225,2406,648.9,3061.8,TRUE
"SHAM",27,0.05,"0.0500",1,0.030323,0.00132,0.9732,0.3977,2850,384.1,3241.2,TRUE
"SHAM",27,0.05,"0.0500",2,0.015177,0.00164,0.9815,0.255,2725,971,3703.4,TRUE
"SHAM",27,0.05,"0.0500",3,0.025224,0.00146,0.9821,0.3359,2978,382.1,3368.5,TRUE
"SHAM",27,0.1,"0.1000",1,0.01213,0.00131,0.9768,0.2628,3211,583.7,3802.7,TRUE
"SHAM",27,0.1,"0.1000",2,0.025394,0.00095,0.9753,0.3199,3364,590.7,3962,TRUE
"SHAM",27,0.1,"0.1000",3,0.004553,0.00161,0.9842,0.2558,3753,310.9,4074.2,TRUE
"SHAM",27,0.2,"0.2000",1,0.015641,0.00191,0.9783,0.3445,2838,706.1,3551,TRUE
"SHAM",27,0.2,"0.2000",2,0.016772,0.00152,0.973,0.3066,2774,938.8,3718.5,TRUE
"SHAM",27,0.2,"0.2000",3,0.013755,0.00187,0.9766,0.3509,2946,579.7,3533,TRUE
"SHAM",27,0.35,"0.3500",1,0.009351,0.00136,0.982,0.2399,3411,316.9,3737.5,FALSE
"SHAM",27,0.35,"0.3500",2,6e-05,0.00145,0.9864,0.1053,2235,217.6,2458.7,FALSE
"SHAM",27,0.35,"0.3500",3,0.000447,0.00143,0.9894,0.1314,3033,113.3,3155,FALSE
