"temp","dose_mM","culture","r_raw","r_dn_2h","r_dn_4h","r_dn_12h","pct_change_2h","pct_change_4h","pct_change_12h"
15,0,1,0.0473416531595696,0.0473402054069557,0.0472530711494532,0.0460038040694981,-0.0030580947586234,-0.18711220290053,-2.82594502047107
15,0,2,0.0473745149857349,0.047326870616094,0.0471750856968673,0.0468036360361134,-0.100569619879554,-0.420963230816584,-1.20503386640153
15,0,3,0.0467139352494844,0.0467002465341557,0.046580960496459,0.0453112300831044,-0.029303280178794,-0.28465757019881,-3.00275529965217
15,0.0125,1,0.0388684910801396,0.0388657265346935,0.0384424722482963,0.0363700112031901,-0.0071125617929213,-1.09605189191656,-6.42803414158306
15,0.0125,2,0.0391159780306873,0.0391208151692391,0.0388119244251859,0.0370501315341265,0.0123661449751733,-0.777313059289741,-5.28133668277481
15,0.0125,3,0.0382153051695945,0.038222053017368,0.0378887167837652,0.0360545328124029,0.0176574483535363,-0.854601014907252,-5.65420673105296
15,0.025,1,0.0384729519316671,0.038454581749972,0.0382376644710021,0.0364633712800011,-0.0477483030876025,-0.611565915406997,-5.22335966118559
15,0.025,2,0.0408900600170303,0.0408828461248209,0.0408591242004075,0.0397809209683132,-0.0176421658621195,-0.0756560802550155,-2.71249063526707
15,0.025,3,0.0407247186182187,0.0407089633799579,0.0404276680288091,0.0386430632069546,-0.0386871629696084,-0.729411029685134,-5.11152803971193
15,0.05,1,0.0462076607082902,0.0461897626148999,0.0458303226894836,0.0433691157384422,-0.0387340391526325,-0.81661355070245,-6.14301811937148
15,0.05,2,0.0463015730658681,0.0463136111677493,0.0456576754876704,0.0422821785199392,0.0259993367052402,-1.39066026392179,-8.68090278533499
15,0.05,3,0.0430787924830575,0.0430234299786412,0.0428294040180344,0.0411197487073465,-0.128514522402567,-0.578912385070307,-4.54758284248922
15,0.1,1,0.0432182523611005,0.0430696582605648,0.0428083333073797,0.0410471513630775,-0.343822557409745,-0.948485955183409,-5.02357425256998
15,0.1,2,0.0517515077546296,0.0516387144748092,0.0512518477559771,0.0462674187687456,-0.217951678538897,-0.965498437304568,-10.5969646563455
15,0.1,3,0.0416740002542441,0.0416640903890457,0.0414075730737799,0.039672794934762,-0.0237794911406408,-0.639312710176088,-4.80204757708199
