"inhibitor","rule","temp","dose_mM","culture","r_per_h","K","R2","O2_used","n_pts","win_start","win_end"
"sham","fixed 400-3200",15,0,1,0.039622914175514,0.00044484198866585,0.998965657397998,3.78,2793,400.12,3199.12
"sham","fixed 400-3200",15,0,2,0.0413026997404607,0.00050450763860804,0.999068967445852,4.52,2793,400.12,3199.12
"sham","fixed 400-3200",15,0,3,0.0377604171169277,0.000508546499349089,0.999000814541739,4.1,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.0125,1,0.0305689688522751,0.000515242153588608,0.999202472388914,3.35,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.0125,2,0.0309809624061217,0.000468879923649432,0.999162900388137,3.08,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.0125,3,0.0287050382023819,0.000585201425723321,0.999029566348202,3.63,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.025,1,0.0299244842017532,0.000512327599792647,0.999230021083047,3.28,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.025,2,0.0326501722812508,0.000577502786597784,0.998958678195122,4.02,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.025,3,0.0301984216075938,0.000590923471791096,0.998795074476991,3.86,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.05,1,0.0338709437606297,0.000531628070446233,0.999148953679935,3.81,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.05,2,0.0318469255491742,0.000558089754686797,0.999270162940169,3.75,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.05,3,0.0326536286854327,0.000553081655326708,0.999075519523996,3.84,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.1,1,0.0353625325976212,0.000454591802910749,0.999082246195855,3.4,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.1,2,0.0345692079007656,0.000646002744671809,0.99089112981372,4.54,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.1,3,0.0318658531606263,0.000568786509246865,0.999088880723204,3.86,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.2,1,0.0347058914398213,0.000494439932069722,0.999271280923238,3.62,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.2,2,0.0346091669556638,0.000663015675213521,0.998217111986938,4.77,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.2,3,0.0412180255626223,0.000573038812019679,0.999215843309323,4.85,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.35,1,0.0310181798978723,0.000503526426227666,0.999554461081814,3.27,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.35,2,0.0190779881888451,0.000947833460400595,0.996888363192788,4.69,2793,400.12,3199.12
"sham","fixed 400-3200",15,0.35,3,0.0304872983792585,0.000569572531154874,0.999175154346507,3.71,2793,400.12,3199.12
"sham","fixed 400-3200",27,0,1,0.0355201992862195,0.00124383326467649,0.965310465841058,8.39,2793,400.12,3199.12
"sham","fixed 400-3200",27,0,2,0.0282102491900414,0.00105562464132503,0.998683594884855,6.28,2793,400.12,3199.12
"sham","fixed 400-3200",27,0,3,0.0362105325095538,0.00123098457560104,0.984008814349375,8.71,2793,400.12,3199.12
"sham","fixed 400-3200",27,0.0125,1,0.0306778861609804,0.00139875652864383,0.981824997640533,8.65,2793,400.12,3199.12
"sham","fixed 400-3200",27,0.0125,2,0.0311025679172519,0.00137472573068566,0.99373369117923,8.93,2793,400.12,3199.12
"sham","fixed 400-3200",27,0.0125,3,0.0249170206023999,0.00121872973239394,0.994490168712326,7.14,2793,400.12,3199.12
"sham","fixed 400-3200",27,0.025,1,0.0290746125778032,0.00152651457060303,0.969945092678821,8.62,2793,400.12,3199.12
