"rates","slope15","slope27","diff","welch_P","n27_negative","ctrl_CV15","ctrl_CV27"
"r_raw",0.00379623452826283,-0.017968894563567,-0.0217651290918299,0.0187082233919274,3,0.789638722149824,37.9384528493912
"r_dn_2h",0.00371827661303105,-0.0182238762831037,-0.0219421528961348,0.0202102774338371,3,0.77604594389529,35.7529952341844
"r_dn_4h",0.00379866152888967,-0.0183284385328558,-0.0221271000617455,0.0184517939355055,3,0.782087050477291,33.6052375150456
"r_dn_12h",0.00391422586929676,-0.0145318603060623,-0.0184460861753591,0.0170567783974391,3,1.62218129759317,30.4453409456405
