"temp","replicate","condition","n_wells","r_per_h","K","r_rel","K_rel"
15,1,"V",5,0.0613421866346893,0.000315958676457315,1,1
15,1,"S",5,0.0555917879361356,0.000235199928171246,0.90625703102501,0.744400915994536
15,1,"P2",3,0.0264169443151996,0.000427188446472657,0.430648885611468,1.35203897947195
15,1,"P2S",3,0.0217296228533798,0.000370871186990482,0.354236196091054,1.17379649500015
15,1,"P4",3,0.0276667474663723,0.000387373820040749,0.451023169929299,1.22602684751113
15,1,"P4S",3,0.0216942550668227,0.00035996455266473,0.35365963062286,1.13927731531487
15,2,"V",5,0.0600162314240002,0.000273190240693901,1,1
15,2,"S",5,0.0585865813265628,0.000300956281203101,0.976178942537441,1.10163628260905
15,2,"P2",3,0.0271745774860187,0.000432384875343537,0.452787135100785,1.5827244569399
15,2,"P2S",3,0.021224865500666,0.000416699957233972,0.35365208706154,1.52531055346471
15,2,"P4",3,0.0309101108914191,0.000451699797432449,0.515029187238477,1.65342581889138
15,2,"P4S",3,0.0226614842371936,0.000390721848118179,0.377589257097729,1.43021890945206
15,3,"V",5,0.056154083487965,0.000286060345417579,1,1
15,3,"S",5,0.0557399161458636,0.00026451438125354,0.992624448368209,0.924680353256978
15,3,"P2",3,0.0240348390857997,0.000488456973873149,0.428015873341621,1.70753123142643
15,3,"P2S",3,0.0260811891117429,0.00036992813289449,0.464457569097938,1.29318215132015
15,3,"P4",3,0.0228432385904542,0.000418461980669247,0.406795680234902,1.46284512122221
15,3,"P4S",3,0.0249849491252368,0.000406659211398787,0.444935569656151,1.42158540291616
27,1,"V",5,0.0579194744810125,0.000873856954163474,1,1
27,1,"S",5,0.0733450677405715,0.000632572177212582,1.26632826692196,0.723885270007528
27,1,"P2",3,0.0497204399935208,0.000877097255837529,0.858440799731711,1.0037080458748
27,1,"P2S",3,0.0523491250790023,0.00072638609090659,0.903825967829935,0.831241414794192
27,1,"P4",3,0.0501396648701594,0.000864612459830946,0.865678863964771,0.989421043926603
27,1,"P4S",3,0.0551121077664112,0.00070420014490505,0.951529831032537,0.805852881927531
27,2,"V",5,0.0674006499072129,0.000874089837536539,1,1
27,2,"S",5,0.0469018800258426,0.000962485092533309,0.695866880963464,1.10112834081894
27,2,"P2",3,0.060239654303915,0.000988453320420594,0.89375479890541,1.13083721829597
27,2,"P2S",3,0.0168470256227777,0.00130985642716015,0.249953459587856,1.49853753116698
27,2,"P4",3,0.0653566284507219,0.000808782791519736,0.969673564582762,0.925285659193957
27,2,"P4S",3,0.0221245967545657,0.00111498734680404,0.328254946874006,1.27559811237072
27,3,"V",5,0.0837322436295475,0.000719061196251751,1,1
27,3,"S",5,0.0634928545100927,0.000759390017358646,0.758284404643461,1.05608538093436
27,3,"P2",3,0.0649426698458401,0.000779446948189056,0.77559930357489,1.08397859911239
27,3,"P2S",3,0.0189818535194766,0.00126663736176233,0.22669706073394,1.7615153875149
27,3,"P4",3,0.0758515884955982,0.000628379978038312,0.905882670852397,0.87388942876332
27,3,"P4S",3,0.0261606325059964,0.00103780389015064,0.31243200196256,1.44327617115261
