"","med","lo95.2.5%","hi95.97.5%","lo66.17%","hi66.83%"
"b_E_Dose_keyD1",0.3635,0.1295,0.5767,0.2517,0.474
"b_E_Dose_keyD2",0.4154,0.1782,0.6346,0.3013,0.5259
"b_E_Dose_keyD3",0.3494,0.1076,0.5802,0.2241,0.4654
"b_E_Dose_keyD4",0.3299,0.1009,0.5658,0.2115,0.4485
"b_E_Dose_keyD5",0.4902,0.238,0.7199,0.3676,0.6049
"b_E_Dose_keyD6",0.6248,0.3612,0.8798,0.496,0.7545
"b_E_Dose_keyD7",0.4232,0.1799,0.6554,0.3011,0.5406
"b_E_Dose_keyD8",0.3705,0.1239,0.612,0.2487,0.4961
