"","med","lo95.2.5%","hi95.97.5%","lo66.17%","hi66.83%"
"b_E_Dose_keyD1",0.7624,0.5018,1.0506,0.6316,0.9051
"b_E_Dose_keyD2",0.6894,0.4008,0.9909,0.5474,0.8373
"b_E_Dose_keyD3",0.7631,0.4802,1.0711,0.6261,0.9099
"b_E_Dose_keyD4",0.7954,0.4919,1.0943,0.6505,0.9381
"b_E_Dose_keyD5",0.6735,0.4007,0.9725,0.5436,0.8175
"b_E_Dose_keyD6",0.6758,0.3747,0.9918,0.5229,0.827
"b_E_Dose_keyD7",0.8555,0.5711,1.1514,0.7131,1
"b_E_Dose_keyD8",0.8767,0.5853,1.2082,0.7337,1.0288
