temperature,conc,rate
15,0.06,0.0358213740361971
15,0.06,0.0291155617271921
15,0.06,0.0345397454990908
15,0.12,0.0408691026302526
15,0.12,0.0354152673670974
15,0.12,0.029790470588434
15,0.25,0.0325313045865058
15,0.25,0.0422781407999237
15,0.25,0.0344455779164448
15,0.5,0.0279243266722254
15,0.5,0.031250024807746
15,0.5,0.0114232986327644
15,1,0.00986743532687624
15,1,0.0212223776673009
15,2,0.0195073646685648
15,2,0.00912974623756947
15,2,0.0171674977200365
15,4,0.0171075056762789
15,4,0.00525117465764876
15,4,0.0105006447961485
15,0,0.051386641281416
15,0,0.0364607810881276
15,0,0.0384235495690751
18,0.06,0.043461571757832
18,0.06,0.0408057479986246
18,0.06,0.0438343382623818
18,0.12,0.040763316430886
18,0.12,0.0417325412861136
18,0.12,0.0467640237806269
18,0.25,0.0364940423552842
18,0.25,0.038529849315676
18,0.25,0.0415017972722044
18,0.5,0.0370668912603927
18,0.5,0.0340647512927644
18,0.5,0.0358927352876424
18,1,0.0302829868816222
18,1,0.0269159079354145
18,1,0.0355216813047933
18,2,0.0276698873578221
18,2,0.0369734970892905
18,2,0.0283615889370838
18,4,0.0216881875430666
18,4,0.0264048650060002
18,4,0.027098274879795
18,0,0.0512846537447378
18,0,0.0462324308339898
18,0,0.0441164917457907
21,0.06,0.0491606993770539
21,0.06,0.0578025780753547
21,0.06,0.048724344885983
21,0.12,0.0454167579689474
21,0.12,0.0437640969315819
21,0.12,0.0422721588466433
21,0.25,0.0425074007948732
21,0.25,0.0386096511536525
21,0.25,0.0443265917979495
21,0.5,0.0396715146887611
21,0.5,0.0311117471209686
21,0.5,0.0395431933065342
21,1,0.0358452224342139
21,1,0.0359460215654497
21,1,0.0263132047549741
21,2,0.0252152164805915
21,2,0.0268246170792738
21,2,0.0274427075885873
21,4,0.0234195413018509
21,4,0.0189548041390375
21,4,0.025884043191825
21,0,0.0449187902322781
21,0,0.0549916696789411
21,0,0.0572282561196197
24,0.06,0.0593980974518426
24,0.06,0.0620384576305262
24,0.06,0.057617469493359
24,0.12,0.050517160494208
24,0.12,0.0520475432569409
24,0.12,0.0917516037855396
24,0.25,0.0523842523706009
24,0.25,0.0467361705277713
24,0.25,0.0460999844164944
24,0.5,0.040693481461077
24,0.5,0.036048004538795
24,0.5,0.0378036640000094
24,1,0.0423786161750801
24,1,0.0398938551168846
24,1,0.0328978563087455
24,2,0.0182139553927577
24,2,0.0248041223184722
24,2,0.0198977041913848
24,4,0.0191601105096249
24,4,0.0184241276722878
24,4,0.0169059755298612
24,0,0.0602993678098467
24,0,0.0698441601123311
24,0,0.0635221187265035
26,0.06,0.0519875939203678
26,0.06,0.0384990808906178
26,0.12,0.0413109439301629
26,0.12,0.0446927362712539
26,0.12,0.0257076154191989
26,0.25,0.0479700661211526
26,0.25,0.0287134519964354
26,0.25,0.053141207394677
26,0.5,0.037105145816899
26,0.5,0.0225817247647154
26,1,0.0289220405752316
26,1,0.0325620642159397
26,1,0.0297572528003161
26,2,0.0196961718626774
26,2,0.0225075031873215
26,2,0.0218075173933065
26,4,0.0210938179549107
26,4,0.0229304042474569
26,4,0.0290726834418052
26,0,0.0613010657592278
26,0,0.0571610150496948
26,0,0.0433510079932272
27,0.06,0.0201549840864198
27,0.06,0.0488908461246531
27,0.12,0.0362183860231823
27,0.12,0.041522189172355
27,0.12,0.0386160331233535
27,0.25,0.0371199331720432
27,0.25,0.0386287822264564
27,0.25,0.0196870874952474
27,0.5,0.0312085069367842
27,0.5,0.0381031177725723
27,0.5,0.0315343521700328
27,1,0.0486291302374664
27,1,0.0333565255003169
27,2,0.021301828339198
27,2,0.0327524043740097
27,2,0.0456367029526049
27,4,0.0165196752797619
27,4,0.0338970757191722
27,0,0.0383665603501097
27,0,0.0448751233217358
27,0,0.0409947160074825
28,0.06,0.0384889482884906
28,0.12,0.0318776058821303
28,0.12,0.0411673137479213
28,0.25,0.0324240207573062
28,0.25,0.0413988340887439
28,0.5,0.0311326216732776
28,0.5,0.0387252233624396
28,0.5,0.0318475416824127
28,1,0.0326494394268549
28,1,0.0285630384276505
28,2,0.0274190174019984
28,2,0.0176525228754777
28,2,0.023066312650354
28,4,0.0182845000000487
28,4,0.0138101644181161
28,4,0.0185607252560301
28,0,0.0336011935888473
28,0,0.0372479541102883
28,0,0.0357501312412191
