rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
1,PGK,,grp2,0.03766361110630744,0.0,-0.0,0.06353059506119152,0.07362392494001944,0.06353059506119152,0.07362392494001944
2,ENO,,grp3,0.009931140522421748,0.0,-0.0,0.013002318777477484,0.00973180246679774,-0.09744792709409644,0.08477741299817629
3,H2Ot,,grp1,0.008719050494948435,0.0,-0.0,0.02418462695220569,0.00663535753897613,-0.09978803758050603,0.09791904358714612
4,CO2t,,grp3,0.007351708482822217,0.0,-0.0,0.00992200664566667,0.0072771183742514544,-0.021002783115420698,0.02694585160615806
5,PTAr,,grp2,0.007076586356725643,0.0,-0.0,0.010958957926948898,0.009659592153268476,0.010958957926948898,0.009659592153268476
6,CYTBD,,grp0,0.007023340032699321,0.0,-0.0,0.010941436429526163,0.018965238334012167,0.010941436429526163,0.018965238334008237
7,NADH16,,grp3,0.005816149062784642,0.0,-0.0,0.006496159775139176,0.005437554763544226,-0.0034731600364104054,0.006148220465958101
8,GND,,grp1,0.005373234273540353,0.0,-0.0,0.00989284537612889,0.013285917969390326,0.004960561624750781,0.010059623007673203
9,GLCpts,,grp2,0.005326550340182377,0.0,-0.0,0.008169847387737406,0.00411920702025952,0.008169847387737406,0.00411920702025952
10,TKT2,,grp0,0.0028267645440285772,0.0,-0.0,0.004287940910923993,0.004418096856979353,0.004287940910923993,0.004418096856979353
11,NADTRHD,,grp2,0.0023598768994479535,0.0,-0.0,0.0034923372239923367,0.0026440175175200986,0.0034923372239923367,0.0026440175175200986
12,TKT1,,grp2,0.0020571176764709225,0.0,-0.0,0.0030652284125594065,0.0016379213291835286,0.0030652284125594065,0.0016379213291835286
13,RPE,,grp2,0.0018635960059440846,0.0,-0.0,0.002783506120234591,0.0018180357302766672,0.0027835061202363676,0.0018180357302787714
14,PYK,,grp2,0.001729162845834251,0.0,-0.0,0.002735507436643303,0.0017137441165719217,0.002735507436643303,0.0017137441165719217
15,ACKr,,grp2,0.0015246945666415154,0.0,-0.0,0.0022878157995904758,0.00077609776960998,0.0022878157995904758,0.00077609776960998
