rxn_id,enzyme_id,group,FCC_sub_29.2C,FCC_opt_39.2C,FCC_supra_47.2C
ENO,,grp3,1.73160882127541,0.7793492094926191,0.5715683466732013
PGK,,grp2,4.440892098500626e-14,0.0,0.6494214813903998
H2Ot,,grp1,1.257393358465142,0.4456274011121142,0.9156829323434978
CO2t,,grp3,0.49517382906558716,0.2966883590427405,0.4043393099320447
CYTBD,,grp0,1.1102230246251565e-14,0.0,0.32519743919842137
GLCpts,,grp2,-9.992007221626409e-14,0.0,0.18919574597753286
FBA,,grp3,0.42282453460550373,0.05340611690196617,0.01711444980331267
NADH16,,grp3,0.1341630914605818,0.09878181873591574,0.16220847389072368
PTAr,,grp2,4.440892098500626e-14,0.0,0.14045328008581714
GND,,grp1,0.06981013351972098,0.0794267460459297,0.2215714159985671
PGI,,grp0,5.551115123125783e-14,0.0,0.046873448113027294
ATPS4r,,grp1,0.1900766274989807,0.04716222411245141,0.05703277187777411
NADTRHD,,grp2,-1.2212453270876722e-13,0.0,0.08652772847798085
TKT2,,grp0,-7.771561172376096e-14,0.0,0.08199352342542765
GAPD,,grp0,-8.881784197001252e-14,0.0,0.021765690523589676
