contrast,gene,log2FC,fold_change,padj,pct_of_genomewide_effects,significant_at_0.05
21 vs 15 C (control),Mycgr3G110231,0.0574623911822191,1.0406337415463685,0.837766881191798,27.386252578998803,FALSE
27 vs 15 C (control),Mycgr3G110231,-0.524239595959159,0.6953254998999202,0.0473874662605012,59.30068411336736,TRUE
