model,label,rmse_median,rmse_p05,rmse_p95,e27_median,e27_p05,e27_p95,e27_interval_includes_zero,sign_consistency_s,p_within_tol
M0,constant log10 EC50,0.27530116000219185,0.1808248658835593,0.3757393205128881,-0.45323308279866964,-0.7356593553598682,-0.2770943857770496,False,1.0,0.0
M1,linear in T,0.2809437868433622,0.17611959412625844,0.4084856787985152,-0.3819777418845195,-0.6845054683944726,-0.19331345381240572,False,1.0,0.004
M2,linear in 1/kT,0.28125717243038906,0.17585889653002892,0.4099732016205133,-0.38231416302708654,-0.6844902112688842,-0.19429111223184525,False,1.0,0.004
M3,control-growth only,0.3346194677932872,0.2187920718336117,0.4614449178760274,-0.43966706071582806,-0.7332997370149652,-0.25935458684404955,False,1.0,0.0
M4,quadratic in T,0.49546758823907255,0.288805178232707,0.7531078070539686,-0.38050924948110443,-0.7009809961985846,-0.19490551441353132,False,1.0,0.006
M5,safety-margin (published),0.31610175104022187,0.19715353521082643,0.4423644181870166,-0.24425418697732418,-0.5478500698856873,-0.05080051475180799,False,0.982,0.09
