model,T_C,obs_log10,pred_log10,err_log10,obs,pred,in_95_interval
M0,15.0,0.04984570101067455,0.33301231326451003,0.2831666122538355,1.1216198870402725,2.15284277198784,True
M0,18.0,0.5340087673499435,0.2627848270897715,-0.271223940260172,3.4198634631708393,1.8314068198357494,True
M0,21.0,0.31025180285324744,0.2791957569611611,-0.031056045892086326,2.042922082464762,1.9019353785228084,True
M0,24.0,0.1472574931022354,0.33347114712289494,0.18621365402065954,1.40364567911142,2.1551184609187057,True
M0,26.0,0.26671924871429786,0.28563788654095607,0.018918637826658202,1.8480735387139289,1.9303581189106602,True
M0,27.0,0.6987406525095424,0.2412872231070468,-0.4574534294024956,4.997360186623364,1.742959208208787,False
M0,28.0,0.42475569364778754,0.2616651337205046,-0.16309055992728294,2.659228726638492,1.8266911879485312,True
M1,15.0,0.04984570101067455,0.268317922618862,0.21847222160818747,1.1216198870402725,1.854888986665642,True
M1,18.0,0.5340087673499435,0.11658635231632905,-0.41742241503361444,3.4198634631708393,1.30793557454919,True
M1,21.0,0.31025180285324744,0.23696231706210874,-0.0732894857911387,2.042922082464762,1.7256881506892725,True
M1,24.0,0.1472574931022354,0.3833530911524936,0.2360955980502582,1.40364567911142,2.417425456800917,True
M1,26.0,0.26671924871429786,0.3787569159879608,0.11203766727366293,1.8480735387139289,2.3919765406561067,True
M1,27.0,0.6987406525095424,0.30810075371831225,-0.3906398987912302,4.997360186623364,2.0328285602848317,True
M1,28.0,0.42475569364778754,0.3893396136497241,-0.035416079998063454,2.659228726638492,2.4509791321668444,True
M2,15.0,0.04984570101067455,0.27147490108199623,0.2216292000713217,1.1216198870402725,1.868421693572059,True
M2,18.0,0.5340087673499435,0.11851332723908901,-0.4154954401108545,3.4198634631708393,1.3137518095773486,True
M2,21.0,0.31025180285324744,0.23907280533374164,-0.0711789975195058,2.042922082464762,1.7340946778460902,True
M2,24.0,0.1472574931022354,0.3853107725914476,0.23805327948921218,1.40364567911142,2.4283471509779124,True
M2,26.0,0.26671924871429786,0.37841210546396986,0.111692856749672,1.8480735387139289,2.390078171262687,True
M2,27.0,0.6987406525095424,0.30751708462100513,-0.3912235678885373,4.997360186623364,2.0300983799101227,True
M2,28.0,0.42475569364778754,0.38662425278174,-0.03813144086604753,2.659228726638492,2.4357025611175436,True
M3,15.0,0.04984570101067455,0.6061441663387638,0.5562984653280892,1.1216198870402725,4.037794074221753,False
M3,18.0,0.5340087673499435,0.2728429121818213,-0.26116585516812224,3.4198634631708393,1.874316430066125,True
M3,21.0,0.31025180285324744,0.25002088201169564,-0.060230920841551794,2.042922082464762,1.7783649164078759,True
M3,24.0,0.1472574931022354,0.40496205665291807,0.25770456355068266,1.40364567911142,2.5407507160888425,True
M3,26.0,0.26671924871429786,0.27130573916324024,0.004586490448942382,1.8480735387139289,1.867694066893527,True
M3,27.0,0.6987406525095424,0.2568456052292653,-0.4418950472802771,4.997360186623364,1.8065317769692446,True
M3,28.0,0.42475569364778754,0.30321621914291175,-0.12153947450487579,2.659228726638492,2.01009331456982,True
M4,15.0,0.04984570101067455,1.1250237156939649,1.0751780146832903,1.1216198870402725,13.335942542943997,False
M4,18.0,0.5340087673499435,0.08348274610601515,-0.4505260212439284,3.4198634631708393,1.2119445390082422,True
M4,21.0,0.31025180285324744,0.1647673177585771,-0.14548448509467035,2.042922082464762,1.4613939926478363,True
M4,24.0,0.1472574931022354,0.44080732198042916,0.29354982887819375,1.40364567911142,2.7593533766966605,True
M4,26.0,0.26671924871429786,0.3798844191186164,0.11316517040431856,1.8480735387139289,2.39819459100997,True
M4,27.0,0.6987406525095424,0.30564989229886796,-0.39309076021067446,4.997360186623364,2.0213889733419603,True
M4,28.0,0.42475569364778754,0.4430271444940852,0.018271450846297665,2.659228726638492,2.7734934495294965,True
M5,15.0,0.04984570101067455,0.5811528819974763,0.5313071809868017,1.1216198870402725,3.811999912499204,False
M5,18.0,0.5340087673499435,0.10598327936969215,-0.42802548798025136,3.4198634631708393,1.2763896660027887,True
M5,21.0,0.31025180285324744,0.17980792138585688,-0.13044388146739055,2.042922082464762,1.5128919825841993,True
M5,24.0,0.1472574931022354,0.22732413882425928,0.08006664572202388,1.40364567911142,1.6878122662875648,True
M5,26.0,0.26671924871429786,0.37647057642873744,0.10975132771443957,1.8480735387139289,2.3794170893295106,True
M5,27.0,0.6987406525095424,0.44308963675683666,-0.25565101575270577,4.997360186623364,2.7738925666244083,True
M5,28.0,0.42475569364778754,0.5822633349437334,0.15750764129594585,2.659228726638492,3.8217593340221265,True
