"well","condition"
"A1","V"
"B1","P2"
"C1","S"
"D1","P2S"
"A2","V"
"B2","P2"
"C2","S"
"D2","P2S"
"A3","V"
"B3","P2"
"C3","S"
"D3","P2S"
"A4","V"
"B4","P4"
"C4","S"
"D4","P4S"
"A5","V"
"B5","P4"
"C5","S"
"D5","P4S"
"A6","bV"
"B6","P4"
"C6","bS"
"D6","P4S"
