"well","dose","replicate"
"A1","Control",1
"B1","Control",2
"C1","Control",3
"A2","0.0125",1
"A3","0.025",1
"A4","0.05",1
"A5","0.075",1
"A6","0.1",1
"B2","0.0125",2
"B3","0.025",2
"B4","0.05",2
"B5","0.075",2
"B6","0.1",2
"C2","0.0125",3
"C3","0.025",3
"C4","0.05",3
"C5","0.075",3
"C6","0.1",3
