k_Temp,k_dose,edf,F,p,dAIC,loo_rmse
3,3,1,4.399,0.0377,2.66,NA
3,4,2.31,2.193,0.069,3.03,NA
4,3,2.77,4.29,0.00565,9.07,0.22722343319419677
4,4,2.77,4.29,0.00565,9.07,NA
5,3,4.82,5.271,8.07e-5,22.37,NA
5,4,5.5,4.615,1.15e-4,22.09,0.21618142335434629
