Tr,median_delta,frac_dose_positive,frac_credibly_nonzero
15,-0.042,0.43,0
16,-0.021,0.32,0
17,-0.007,0.34,0
18,0.005,0.57,0
19,0.009,0.57,0
20,0.007,0.57,0
21,-0,0.49,0
22,-0.002,0.43,0
23,-0.004,0.43,0.29
24,-0.004,0.43,0.2
25,-0.005,0.43,0
26,0,0.51,0
27,0.018,0.57,0
28,0.036,0.62,0
