setting,E_prior,Th_prior,E_mean,lnB0_mean,Th_mean_C,Topt_C
baseline,"N(0.65,0.30)","N(maxT+1,1.5)",0.419,-3.333,28.57,24.28
E_wide,"N(0.65,0.60)","N(maxT+1,1.5)",0.387,-3.335,28.72,24.3
E_neutral,"N(0.00,1.00)","N(maxT+1,1.5)",0.367,-3.338,28.83,24.32
Th_offset_0,"N(0.65,0.30)","N(maxT+0,1.5)",0.451,-3.32,28.2,24.08
Th_offset_3,"N(0.65,0.30)","N(maxT+3,1.5)",0.342,-3.364,29.77,24.92
Th_wide,"N(0.65,0.30)","N(maxT+1,3.0)",0.421,-3.332,28.65,24.36
