Rate,Dose,E,E_lo,E_hi,Eh,Eh_lo,Eh_hi,Topt_C,Topt_lo,Topt_hi,lnB0,lnB0_lo,lnB0_hi
Growth,Control,0.3619692807485149,0.12953460884752405,0.5766636234776986,4.371746717226751,2.233477681578509,6.713835083422623,23.63400197914973,21.793746513255044,24.835067477719488,-2.9464335445117427,-3.0831159000668804,-2.810570752885455
Growth,0.06,0.4132037763338019,0.17820333333062416,0.6345828245683622,4.086424549110205,2.0714291638793516,6.411101264794658,23.77807663710564,22.150200021671544,25.20658286067334,-3.060255531802598,-3.202547081766914,-2.916418644408789
Growth,0.12,0.34617499504609667,0.10760393550469832,0.5802231679995314,3.667672762021469,1.7163227879012124,6.1717541463609,23.512637248406747,21.25798477540439,25.095811709329684,-3.0845114885094684,-3.228563958762332,-2.931565633157101
Growth,0.25,0.33025217567417264,0.10087983966714308,0.5657680401438842,3.669655953180237,1.2817059489929736,6.435236124177445,23.980811436767397,21.543310901775193,26.20713839390833,-3.1333497000251302,-3.286282892052788,-2.9353041101758537
Growth,0.5,0.4868393603025096,0.23802124488352025,0.7199240955317389,3.511406715144769,1.4905808021034428,6.107289051989794,24.694789945659068,23.308521085814508,26.70308507160571,-3.3687079746795625,-3.518483179262597,-3.1991065061435418
Growth,1,0.6244560996149076,0.3612168811057798,0.8797606302322737,3.7332042270982417,1.6441327755279582,6.274275166182236,25.258328573047294,24.060815469238463,27.696717877366446,-3.523356756091033,-3.679097228395556,-3.354700689861781
Growth,2,0.42094985819530983,0.17986243487498263,0.6554091116009261,3.1312061781172753,1.0367443330732553,6.147742495285971,24.725346983068334,22.808738257886027,27.644974575760315,-3.701343793410792,-3.872453767552312,-3.478330512725972
Growth,4,0.3709800558555166,0.12385795789939226,0.6120265372680824,3.663899660975432,1.487382385243025,6.4379965783364,24.0398331571306,21.863236270059637,25.864399997272685,-3.844309006013242,-4.00298270398339,-3.668593844460043
Respiration,Control,0.7666998329792666,0.501754631136055,1.050608498129751,4.0281866919558444,0.454099081950684,7.224313802064677,27.740646086390058,25.8775702254231,34.22944717260093,-2.7880235676585268,-3.0140113010958696,-2.38352300636605
Respiration,0.06,0.6923426573791246,0.40082580880696983,0.990866206514158,4.1082539219264405,0.7076034026717537,7.191004191261822,27.230730707799296,25.21809011843162,31.668978193722808,-2.730767935752904,-2.9499316133916427,-2.3979043453075737
Respiration,0.12,0.7676697860802166,0.48022451111761727,1.0710928837625469,4.204404925481305,1.2092053077502702,7.075563551044839,26.862909965238714,25.128539313345478,30.56468645525353,-2.657527216496434,-2.86290458091488,-2.404404816062999
Respiration,0.25,0.7957006060055286,0.4919420028930573,1.0943206373738308,4.157946553842819,1.0909765109639653,7.147213337140653,27.071092750838687,25.282419451159146,31.165449506838605,-2.5355783195460684,-2.751870004154656,-2.2614101197192458
Respiration,0.5,0.6779400313542809,0.4006683801172637,0.9725374821974636,4.012776111205084,0.7237745094607589,7.150333161275763,27.124672530283448,25.314125547768143,32.47073020444131,-2.408459784152942,-2.624153852672351,-2.0784735210821403
Respiration,1,0.6759537551139864,0.3747290084229947,0.9918004791544832,4.347763683612132,1.1229591001900412,7.2078059558717085,26.661705381545175,24.896505221263197,30.095524168589378,-2.3563474630813697,-2.5733483582034795,-2.0906766079322567
Respiration,2,0.8567945251659754,0.5710545894026523,1.1514391771558523,4.261209210506004,1.528765897086257,6.98661314392655,26.900110306479178,25.325651264948625,30.39984451618269,-2.3792597229965855,-2.581485210105926,-2.144253587828834
Respiration,4,0.8823873974020606,0.5852521846921318,1.2082293079632922,4.077900031111637,1.2299179292951523,7.053164120434615,27.300401768714664,25.52142221715883,32.202722322474735,-2.311297904266937,-2.528789340350323,-2.0475128197722037
