model,variable,rhat,ess_bulk,ess_tail,n_divergent
SS_TPC_growth,b_lnB0_Dose_keyD1,1.0002955128026936,10131.521923572807,5957.809225841524,0
SS_TPC_growth,b_lnB0_Dose_keyD2,1.0006948157617956,10643.319916912249,6150.2598899216555,0
SS_TPC_growth,b_lnB0_Dose_keyD3,1.000125626886087,7673.105532462713,4983.359977733884,0
SS_TPC_growth,b_lnB0_Dose_keyD4,1.0006926730243269,4740.568342915874,3280.97588936304,0
SS_TPC_growth,b_lnB0_Dose_keyD5,0.9998881946899353,7783.073916478477,4898.427196964019,0
SS_TPC_growth,b_lnB0_Dose_keyD6,1.0004174912085186,9584.647413713776,5021.713927369767,0
SS_TPC_growth,b_lnB0_Dose_keyD7,0.9999710269349399,5252.1242424251795,4139.865510422277,0
SS_TPC_growth,b_lnB0_Dose_keyD8,0.9999462928756876,7942.2002591118535,5070.570666370287,0
SS_TPC_growth,b_E_Dose_keyD1,1.0004198169655145,6941.7865269445065,3574.7404830138744,0
SS_TPC_growth,b_E_Dose_keyD2,1.0004113879202927,7636.164750874634,3920.096049721698,0
SS_TPC_growth,b_E_Dose_keyD3,1.0007341755802197,6844.9318161406045,4437.96617937481,0
SS_TPC_growth,b_E_Dose_keyD4,1.0005011152809415,6033.426319112248,4122.884380188429,0
SS_TPC_growth,b_E_Dose_keyD5,1.0002431597673842,6959.95504053102,4822.540233632648,0
SS_TPC_growth,b_E_Dose_keyD6,1.0017892826854422,8207.2088257921,5234.396899927863,0
SS_TPC_growth,b_E_Dose_keyD7,1.0006509942244914,6852.131624314965,4852.304409567492,0
SS_TPC_growth,b_E_Dose_keyD8,1.0013601304753146,5941.148505986431,3553.344095128965,0
SS_TPC_growth,b_Eh_Dose_keyD1,0.9996973678618589,13702.758277052542,5600.054557454802,0
SS_TPC_growth,b_Eh_Dose_keyD2,1.0011433180075449,10216.949912442455,5234.190732337264,0
SS_TPC_growth,b_Eh_Dose_keyD3,1.000608870164556,8489.242344080409,4083.3065869118414,0
SS_TPC_growth,b_Eh_Dose_keyD4,1.0004523492557378,6096.219995334453,3538.0180990852455,0
SS_TPC_growth,b_Eh_Dose_keyD5,1.000033178542962,8939.874903549184,4796.739415950533,0
SS_TPC_growth,b_Eh_Dose_keyD6,1.0015675211586528,10133.692266346925,4983.515658856463,0
SS_TPC_growth,b_Eh_Dose_keyD7,1.0004247200938334,5505.6535125169385,4368.237840943639,0
SS_TPC_growth,b_Eh_Dose_keyD8,1.000152374136638,8010.125462114765,4786.835388790411,0
SS_TPC_growth,b_Th_Dose_keyD1,1.000177297500264,6235.04595205284,4880.38779822891,0
SS_TPC_growth,b_Th_Dose_keyD2,1.0003895838572865,7078.763138397897,4623.169431388353,0
SS_TPC_growth,b_Th_Dose_keyD3,1.0004272181950313,6695.103845064863,4096.7750778362115,0
SS_TPC_growth,b_Th_Dose_keyD4,1.0006104827461189,6847.206343726181,4094.3098277638564,0
SS_TPC_growth,b_Th_Dose_keyD5,1.0002689515670609,6738.369925321806,4772.933105725103,0
SS_TPC_growth,b_Th_Dose_keyD6,1.0002424749480057,7308.652745395041,4056.2008027043134,0
SS_TPC_growth,b_Th_Dose_keyD7,1.0003773814833847,6214.078132302713,4001.6597456714167,0
SS_TPC_growth,b_Th_Dose_keyD8,1.0010453514077267,5998.267262260938,3710.8311184910663,0
SS_TPC_growth,sigma,0.9999663735541648,11830.633481910461,6209.320511231502,0
SS_TPC_growth,lprior,1.0001053048846582,4059.282777590125,4949.378886139236,0
SS_TPC_growth,lp__,1.001444854955515,2530.4220219262506,3927.6139870119514,0
SS_TPC_respiration,b_lnB0_Dose_keyD1,1.0010673335072944,2996.297953867198,1564.901445161834,0
SS_TPC_respiration,b_lnB0_Dose_keyD2,1.0003355179483517,4031.0781113452276,2114.6551589320743,0
SS_TPC_respiration,b_lnB0_Dose_keyD3,1.0001601300349452,4961.276616849374,2694.128873534737,0
SS_TPC_respiration,b_lnB0_Dose_keyD4,1.0008088873594947,3982.5234722715377,1681.3390640219868,0
SS_TPC_respiration,b_lnB0_Dose_keyD5,1.0012398802069684,4293.68625767045,2113.824952413224,0
SS_TPC_respiration,b_lnB0_Dose_keyD6,1.0003804733065995,4819.8567189692985,2297.1515478053398,0
SS_TPC_respiration,b_lnB0_Dose_keyD7,1.0005743234208295,4647.719195905535,2660.882267808704,0
SS_TPC_respiration,b_lnB0_Dose_keyD8,1.0001784862397927,5669.770445342189,3034.086874945758,0
SS_TPC_respiration,b_E_Dose_keyD1,0.9999414773293377,6882.703413447853,5562.387194103512,0
SS_TPC_respiration,b_E_Dose_keyD2,1.0004947551772871,7487.804961687193,5637.038906823111,0
SS_TPC_respiration,b_E_Dose_keyD3,0.9999061028351377,6933.604318849274,4771.477509498674,0
SS_TPC_respiration,b_E_Dose_keyD4,1.00120314780007,7225.705628000946,3380.8418198698914,0
SS_TPC_respiration,b_E_Dose_keyD5,1.0014620348207217,6788.625701287274,5211.206969487778,0
SS_TPC_respiration,b_E_Dose_keyD6,1.0000084426519944,7062.824350823882,4663.689304770039,0
SS_TPC_respiration,b_E_Dose_keyD7,1.0003157288888667,6676.14665683228,5834.83696370004,0
SS_TPC_respiration,b_E_Dose_keyD8,1.0001181283304037,7299.8632896964145,5442.668317940759,0
SS_TPC_respiration,b_Eh_Dose_keyD1,1.0012732609861843,3000.538998694792,1590.2269711544975,0
SS_TPC_respiration,b_Eh_Dose_keyD2,1.0009182263402707,3839.0282387351435,2136.7920613902534,0
SS_TPC_respiration,b_Eh_Dose_keyD3,1.0012013472954648,4742.295096713298,2030.45135785449,0
SS_TPC_respiration,b_Eh_Dose_keyD4,1.0004869821811966,3984.944183064302,1766.1060490954344,0
SS_TPC_respiration,b_Eh_Dose_keyD5,1.0010916243130104,3864.6596014429856,2316.432786189449,0
SS_TPC_respiration,b_Eh_Dose_keyD6,1.0002600333058587,5078.106358332266,2245.4214448450243,0
SS_TPC_respiration,b_Eh_Dose_keyD7,1.000673912687804,4679.837769461228,2243.3320204395213,0
SS_TPC_respiration,b_Eh_Dose_keyD8,1.0001973992642472,6008.402747695625,2552.506302039192,0
SS_TPC_respiration,b_Th_Dose_keyD1,1.0003824885962591,5133.107176154783,3687.2063947403044,0
SS_TPC_respiration,b_Th_Dose_keyD2,1.0002623394725403,6151.788545685703,3091.6394050895024,0
SS_TPC_respiration,b_Th_Dose_keyD3,1.0008727524655197,6414.246343746536,3958.575487039584,0
SS_TPC_respiration,b_Th_Dose_keyD4,1.0003432377342385,7156.612271357825,4436.463156366111,0
SS_TPC_respiration,b_Th_Dose_keyD5,1.000326188443924,6147.726576491632,3598.2423050145844,0
SS_TPC_respiration,b_Th_Dose_keyD6,0.9998581652792911,7499.097502793165,4571.688409866145,0
