param,slope,T,T_fac
b_T_fac15:log10_dose,-1.0241502249800893,15,15
b_T_fac18:log10_dose,-0.6115206312546654,18,18
b_T_fac21:log10_dose,-0.42618610809006763,21,21
b_T_fac24:log10_dose,-1.4924101606748867,24,24
b_T_fac26:log10_dose,-0.3546975211490312,26,26
b_T_fac27:log10_dose,-0.5440596111805728,27,27
b_T_fac28:log10_dose,-0.7057913939696862,28,28
b_T_fac15:log10_dose,-1.1463018296083074,15,15
b_T_fac18:log10_dose,-0.30544223339284177,18,18
b_T_fac21:log10_dose,-0.4663677672776345,21,21
b_T_fac24:log10_dose,-1.1224283473516712,24,24
b_T_fac26:log10_dose,-0.5962389998394237,26,26
b_T_fac27:log10_dose,-0.11970585591955786,27,27
b_T_fac28:log10_dose,-0.5185601726034368,28,28
b_T_fac15:log10_dose,-0.8643831598585203,15,15
b_T_fac18:log10_dose,-0.4670718545679207,18,18
b_T_fac21:log10_dose,-0.6263281471500959,21,21
b_T_fac24:log10_dose,-1.0317703705202486,24,24
b_T_fac26:log10_dose,-0.6137075599735734,26,26
b_T_fac27:log10_dose,-0.21964763613307373,27,27
b_T_fac28:log10_dose,-0.4995302856577046,28,28
b_T_fac15:log10_dose,-1.0586582996765137,15,15
b_T_fac18:log10_dose,-0.21899259532283072,18,18
b_T_fac21:log10_dose,-0.6441576998283027,21,21
b_T_fac24:log10_dose,-1.0410297643550526,24,24
b_T_fac26:log10_dose,-0.6999623066080733,26,26
b_T_fac27:log10_dose,-0.033736848487113474,27,27
b_T_fac28:log10_dose,-0.38445177416194026,28,28
b_T_fac15:log10_dose,-1.0363290288400628,15,15
b_T_fac18:log10_dose,-0.5791333541916651,18,18
b_T_fac21:log10_dose,-0.9062390112496134,21,21
b_T_fac24:log10_dose,-1.3961199338613568,24,24
b_T_fac26:log10_dose,-0.5806706889719981,26,26
b_T_fac27:log10_dose,-0.27724720764586397,27,27
b_T_fac28:log10_dose,-0.7806918999373812,28,28
b_T_fac15:log10_dose,-1.0003978858417972,15,15
b_T_fac18:log10_dose,-0.5023732186760603,18,18
b_T_fac21:log10_dose,-0.6297375250379721,21,21
b_T_fac24:log10_dose,-1.1327920583303082,24,24
b_T_fac26:log10_dose,-0.736608864296801,26,26
b_T_fac27:log10_dose,-0.3344077912330997,27,27
b_T_fac28:log10_dose,-0.6988750740163557,28,28
b_T_fac15:log10_dose,-0.9480038302835861,15,15
b_T_fac18:log10_dose,-0.2238719556245725,18,18
b_T_fac21:log10_dose,-0.3845271733232678,21,21
b_T_fac24:log10_dose,-1.0633051309583414,24,24
b_T_fac26:log10_dose,-0.4888377035912022,26,26
b_T_fac27:log10_dose,-0.26867460222972567,27,27
b_T_fac28:log10_dose,-0.4547012771282451,28,28
b_T_fac15:log10_dose,-0.8972487526543123,15,15
b_T_fac18:log10_dose,-0.40724153456394435,18,18
b_T_fac21:log10_dose,-0.5062812471128104,21,21
b_T_fac24:log10_dose,-1.0096863413216388,24,24
b_T_fac26:log10_dose,-0.26968102804068084,26,26
b_T_fac27:log10_dose,-0.017694803441745843,27,27
