T,Dose,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,cell_volume_um3,cell_carbon_fg,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
15,0.06,R1,5.992262893634349e-4,2.743161622538152e-4,8.40729262655555,3373,419.5,10000000,12857927.168154849,2.99725003678073,140489070571.12372,2.1334400068248358e-11,339.52108105202194,33952.10810520219,1220.6997453567908,1280.0640040949015,0.0359535773618061,0.0377020478412876,0.4881307742982266,1.0486313353991563
15,0.06,R2,4.8460353634806786e-4,3.325763210701672e-4,9.403438298764007,3420,427.2,10000000,12300104.074966198,2.913529276718841,107754855227.77756,2.7038496507281072e-11,339.52108105202194,33952.10810520219,987.1986992551728,1622.3097904368642,0.029076212180884072,0.047782299273142675,0.3783082918314926,1.6433467666244634
15,0.06,R3,5.751163399528598e-4,3.0342461618076814e-4,9.263360050286607,3263,234.4,10000000,11443162.191295361,2.918244037694579,110056791889.37314,2.6515801411219935e-11,339.52108105202194,33952.10810520219,1171.5847288288626,1590.9480846731963,0.03450698039717159,0.046858595046397986,0.4240980317419818,1.3579453927020173
15,0.12,R1,6.793881949047309e-4,2.1501292151772722e-4,9.146406933017474,3266,423.3,10000000,13332039.402140623,2.5942014165295646,160855427934.87253,1.6127534207797513e-11,339.52108105202194,33952.10810520219,1383.999686328216,967.6520524678508,0.04076329169428385,0.02850049986497262,0.5885223834362301,0.6991707166025843
15,0.12,R2,5.924365646662624e-4,2.8443898111927803e-4,10.419540120970693,3264,360.5,10000000,12380943.482320981,2.839959544153751,123616595973.88623,2.2973934217972537e-11,339.52108105202194,33952.10810520219,1206.8682173414131,1378.4360530783522,0.03554619387997575,0.04059942460147699,0.46681863761647635,1.1421595442416095
15,0.12,R3,4.973914026174694e-4,4.328301170841986e-4,9.584742643946885,3020,261.5,10000000,11389056.574841987,3.0380513155249798,79940228149.73445,3.800403608849435e-11,339.52108105202194,33952.10810520219,1013.2492003359881,2280.2421653096612,0.029843484157048163,0.06716054738763863,0.30765199839452223,2.2504258227428604
15,0.25,R1,5.396416887690034e-4,2.6967651840777146e-4,8.779608342816204,3264,357.8,10000000,12129844.327970916,2.4089732853332877,108353782946.53694,2.223247975127831e-11,339.52108105202194,33952.10810520219,1099.3183773095448,1333.9487850766984,0.0323785013261402,0.03928912988093098,0.45178696129342044,1.2134326257161139
15,0.25,R2,7.107274451202535e-4,3.03561162076224e-4,8.748608821527094,2901,284,10000000,12236602.773905236,2.9301105841137787,118113262764.53207,2.4807633923001354e-11,339.52108105202194,33952.10810520219,1447.8417030034202,1488.4580353800814,0.04264364670721521,0.04383992978486121,0.49308375574780017,1.0280530200866616
15,0.25,R3,5.711482399406563e-4,3.698566766065653e-4,8.882088341069236,2914,440.2,10000000,12858493.274440626,2.772953694816078,96404928423.27911,2.87636092901915e-11,339.52108105202194,33952.10810520219,1163.5012071936671,1725.81655741149,0.03426889439643937,0.05083091017688701,0.4026906356396098,1.4832958889437786
15,0.5,R1,4.589926875813983e-4,2.517217805217777e-4,8.20736373438608,3108,426.1,10000000,12160121.608323095,1.7353748380664376,83832114261.90515,2.0700597299083315e-11,339.52108105202194,33952.10810520219,935.0261608956558,1242.035837944999,0.0275395612548839,0.03658199467604465,0.42948990951731414,1.3283434088681116
15,0.5,R2,5.180381966049959e-4,4.61068502700495e-4,8.554513069021725,2778,321.4,10000000,11811605.550766606,2.8631680555653447,73348345202.10428,3.9035209965216825e-11,339.52108105202194,33952.10810520219,1055.3093312254084,2342.1125979130093,0.031082291796299753,0.06898283283782745,0.3106206274158693,2.219361213449506
