curve_code,series_id,T,Dose,Replicate
C001,T=15 | Dose=0.06 | Rep=R1,15,0.06,R1
C002,T=15 | Dose=0.06 | Rep=R2,15,0.06,R2
C003,T=15 | Dose=0.06 | Rep=R3,15,0.06,R3
C004,T=15 | Dose=0.12 | Rep=R1,15,0.12,R1
C005,T=15 | Dose=0.12 | Rep=R2,15,0.12,R2
C006,T=15 | Dose=0.12 | Rep=R3,15,0.12,R3
C007,T=15 | Dose=0.25 | Rep=R1,15,0.25,R1
C008,T=15 | Dose=0.25 | Rep=R2,15,0.25,R2
C009,T=15 | Dose=0.25 | Rep=R3,15,0.25,R3
C010,T=15 | Dose=0.5 | Rep=R1,15,0.5,R1
C011,T=15 | Dose=0.5 | Rep=R2,15,0.5,R2
C012,T=15 | Dose=0.5 | Rep=R3,15,0.5,R3
C013,T=15 | Dose=1 | Rep=R1,15,1,R1
C014,T=15 | Dose=1 | Rep=R3,15,1,R3
C015,T=15 | Dose=2 | Rep=R1,15,2,R1
C016,T=15 | Dose=2 | Rep=R2,15,2,R2
C017,T=15 | Dose=2 | Rep=R3,15,2,R3
C018,T=15 | Dose=4 | Rep=R1,15,4,R1
C019,T=15 | Dose=4 | Rep=R2,15,4,R2
C020,T=15 | Dose=4 | Rep=R3,15,4,R3
C021,T=15 | Dose=Control | Rep=R1,15,Control,R1
C022,T=15 | Dose=Control | Rep=R2,15,Control,R2
C023,T=15 | Dose=Control | Rep=R3,15,Control,R3
C024,T=18 | Dose=0.06 | Rep=R1,18,0.06,R1
C025,T=18 | Dose=0.06 | Rep=R2,18,0.06,R2
C026,T=18 | Dose=0.06 | Rep=R3,18,0.06,R3
C027,T=18 | Dose=0.12 | Rep=R1,18,0.12,R1
C028,T=18 | Dose=0.12 | Rep=R2,18,0.12,R2
C029,T=18 | Dose=0.12 | Rep=R3,18,0.12,R3
C030,T=18 | Dose=0.25 | Rep=R1,18,0.25,R1
C031,T=18 | Dose=0.25 | Rep=R2,18,0.25,R2
C032,T=18 | Dose=0.25 | Rep=R3,18,0.25,R3
C033,T=18 | Dose=0.5 | Rep=R1,18,0.5,R1
C034,T=18 | Dose=0.5 | Rep=R2,18,0.5,R2
C035,T=18 | Dose=0.5 | Rep=R3,18,0.5,R3
C036,T=18 | Dose=1 | Rep=R1,18,1,R1
C037,T=18 | Dose=1 | Rep=R2,18,1,R2
C038,T=18 | Dose=1 | Rep=R3,18,1,R3
C039,T=18 | Dose=2 | Rep=R1,18,2,R1
C040,T=18 | Dose=2 | Rep=R2,18,2,R2
C041,T=18 | Dose=2 | Rep=R3,18,2,R3
C042,T=18 | Dose=4 | Rep=R1,18,4,R1
C043,T=18 | Dose=4 | Rep=R2,18,4,R2
C044,T=18 | Dose=4 | Rep=R3,18,4,R3
C045,T=18 | Dose=Control | Rep=R1,18,Control,R1
C046,T=18 | Dose=Control | Rep=R2,18,Control,R2
C047,T=18 | Dose=Control | Rep=R3,18,Control,R3
C048,T=21 | Dose=0.06 | Rep=R1,21,0.06,R1
C049,T=21 | Dose=0.06 | Rep=R2,21,0.06,R2
C050,T=21 | Dose=0.06 | Rep=R3,21,0.06,R3
C051,T=21 | Dose=0.12 | Rep=R1,21,0.12,R1
C052,T=21 | Dose=0.12 | Rep=R2,21,0.12,R2
C053,T=21 | Dose=0.12 | Rep=R3,21,0.12,R3
C054,T=21 | Dose=0.25 | Rep=R1,21,0.25,R1
C055,T=21 | Dose=0.25 | Rep=R2,21,0.25,R2
C056,T=21 | Dose=0.25 | Rep=R3,21,0.25,R3
C057,T=21 | Dose=0.5 | Rep=R1,21,0.5,R1
C058,T=21 | Dose=0.5 | Rep=R2,21,0.5,R2
C059,T=21 | Dose=0.5 | Rep=R3,21,0.5,R3
C060,T=21 | Dose=1 | Rep=R1,21,1,R1
