response,predictor,term,estimate,std_error,t_value,p_value,n,r_squared,adj_r_squared,aic,bic
log10(growth_C_per_C_h),log10(dose + 1),(Intercept),-1.3536782789645025,0.013360346194374708,-101.32059897777653,7.488322259819942e-143,156,0.5251469030949092,0.5220634414266943,-217.5722052991357,-208.42263727738708
log10(growth_C_per_C_h),log10(dose + 1),log10_dose_plus1,-0.5347691289760309,0.040977475666530525,-13.050318992997859,1.0962663343459186e-26,156,0.5251469030949092,0.5220634414266943,-217.5722052991357,-208.42263727738708
