Dose,T,median_effect,q2.5,q97.5,Trait,p_synergy,p_antagonism
0.06,24,0.0040676963432848545,-0.24962131976004168,0.27699729345574137,Respiration,0.5135,0.4865
0.06,26,-0.026428378082236748,-0.3166957177418648,0.27138216374062657,Respiration,0.42975,0.57025
0.06,27,-0.046439361324629225,-0.3610323951259603,0.2750949911889135,Respiration,0.388875,0.611125
0.06,28,-0.06542485691351319,-0.4401382648050023,0.3058726905673227,Respiration,0.361125,0.638875
0.12,15,0.14067284557897874,-0.2845983702618876,0.5672085237664569,Respiration,0.742125,0.257875
0.12,18,0.1432245287290903,-0.1654122673367516,0.46052881716723865,Respiration,0.818,0.182
0.12,21,0.1498228161188626,-0.10587677216064337,0.40969617682654547,Respiration,0.87275,0.12725
0.12,24,0.14304178201479312,-0.12197452134649003,0.4005763199663954,Respiration,0.861125,0.138875
0.12,26,0.1127755258054246,-0.17609699644078575,0.3907107836061305,Respiration,0.786125,0.213875
0.12,27,0.08307557914216712,-0.22706496757866304,0.389714719514536,Respiration,0.701375,0.298625
0.12,28,0.04163926220272174,-0.35898133789877185,0.4125665340797651,Respiration,0.580375,0.419625
0.25,15,0.23204277596991973,-0.17719853376767425,0.6628307014852992,Respiration,0.86475,0.13525
0.25,18,0.2566333606819664,-0.04687447615798743,0.5733754833130579,Respiration,0.951,0.049
0.25,21,0.2790817151242879,0.02979265487799061,0.5388636805206493,Respiration,0.985375,0.014625
0.25,24,0.2912281973527797,0.03213079991301694,0.552571077588583,Respiration,0.98625,0.01375
0.25,26,0.28195915487935297,-0.004908074756185374,0.5638072160151932,Respiration,0.97225,0.02775
0.25,27,0.2612283930897723,-0.04930085372282273,0.5762543178689633,Respiration,0.9485,0.0515
0.25,28,0.2344851753193673,-0.15211853023358388,0.6150528607726454,Respiration,0.881,0.119
0.5,15,0.4498853901908637,0.03435200107482342,0.8779020725706965,Respiration,0.982375,0.017625
0.5,18,0.4107597989785212,0.09819357815931479,0.7331700338620001,Respiration,0.99475,0.00525
0.5,21,0.37235054620897623,0.12328052282714937,0.6304248340035014,Respiration,0.99825,0.00175
0.5,24,0.3299589780927219,0.07767543120804794,0.5981687685340009,Respiration,0.9955,0.0045
0.5,26,0.2981413915925728,0.02281325531159415,0.5790031589642496,Respiration,0.98375,0.01625
0.5,27,0.2766634232873386,-0.023861618013762822,0.5796936213540955,Respiration,0.96475,0.03525
0.5,28,0.2537271319787804,-0.10970835972339611,0.6185670374943765,Respiration,0.915,0.085
1,15,0.5099271822756295,0.05453577711492961,0.9525376317135372,Respiration,0.9855,0.0145
1,18,0.47439147101569956,0.14647768336825,0.8006803705154862,Respiration,0.997375,0.002625
1,21,0.4424838774426636,0.17643537143842078,0.7041195792053273,Respiration,0.999375,6.25e-4
1,24,0.40192329026068485,0.12972986569525477,0.6635910277332037,Respiration,0.998625,0.001375
1,26,0.35613913721655166,0.06275314326574405,0.6544242982563355,Respiration,0.991875,0.008125
1,27,0.31801131477161526,-0.0024961714943948707,0.6563245583725956,Respiration,0.974125,0.025875
1,28,0.2661926583193237,-0.13642984335125474,0.6747823915701503,Respiration,0.903,0.097
2,15,0.3639979300399361,-0.05726583700428978,0.7897747093833154,Respiration,0.954625,0.045375
2,18,0.4065240866875639,0.09397626196764804,0.7164208344365695,Respiration,0.995625,0.004375
2,21,0.44277568670088163,0.18954645172513676,0.6999715183371928,Respiration,0.999875,1.25e-4
2,24,0.46987665223479125,0.2091457063650311,0.731938728785166,Respiration,0.99975,2.5e-4
2,26,0.45774609472187233,0.1740357157493088,0.736131415494404,Respiration,0.999125,8.75e-4
2,27,0.4312107628097115,0.1252747449284691,0.7340737019211672,Respiration,0.997125,0.002875
2,28,0.39091119265398433,0.008140877557544534,0.7529789426118431,Respiration,0.977875,0.022125
4,15,0.5034790683013957,0.08479316703989401,0.9274043253090339,Respiration,0.990875,0.009125
4,18,0.5258211398919168,0.2193871882601194,0.8395555078248472,Respiration,0.999625,3.75e-4
4,21,0.5456091532170024,0.28998674518640577,0.8069674571262933,Respiration,1,0
4,24,0.5528111962470779,0.2922703089011966,0.8340842828594947,Respiration,1,0
4,26,0.5430690304879127,0.25359146157919976,0.8345119145382959,Respiration,1,0
4,27,0.5278523833747779,0.2134188217323827,0.8407628779746295,Respiration,0.9995,5e-4
4,28,0.5044495668016395,0.11817885788441235,0.8796976597910142,Respiration,0.995375,0.004625
0.06,15,0.23553648430226276,-0.4469441757483748,0.8942030840533011,Respiration / Growth,0.747875,0.252125
0.06,18,0.19722290477950888,-0.31261302580953215,0.7090031777166861,Respiration / Growth,0.779125,0.220875
0.06,21,0.1671132744961018,-0.2383319069476007,0.5836971693530748,Respiration / Growth,0.784375,0.215625
0.06,24,0.1366746816531793,-0.26866481048585633,0.5573592947714184,Respiration / Growth,0.746875,0.253125
0.06,26,0.11785054540945827,-0.3498300678276864,0.5965036166102426,Respiration / Growth,0.686875,0.313125
0.06,27,0.10642442589715512,-0.3982520890548889,0.620813742605933,Respiration / Growth,0.66125,0.33875
0.06,28,0.09756815572256539,-0.46384250896675755,0.6575597061376359,Respiration / Growth,0.635,0.365
0.12,15,0.2966305230278959,-0.37849341918911583,0.999694299605785,Respiration / Growth,0.80075,0.19925
0.12,18,0.28075454996637034,-0.23330926796895532,0.8172858439642379,Respiration / Growth,0.85525,0.14475
0.12,21,0.2656049766855144,-0.15197951756960257,0.6883439418798843,Respiration / Growth,0.89375,0.10625
0.12,24,0.24898874607541638,-0.1683621506237932,0.6645497440192312,Respiration / Growth,0.87975,0.12025
0.12,26,0.23799138002394937,-0.23226602555168946,0.7150376036135327,Respiration / Growth,0.833125,0.166875
0.12,27,0.2315838087894696,-0.27436729701068296,0.7500712827032594,Respiration / Growth,0.807875,0.192125
0.12,28,0.22708796731181907,-0.3248700096459506,0.7882280627036125,Respiration / Growth,0.781875,0.218125
0.25,15,0.4452394319115414,-0.22917847670057345,1.1091657971676,Respiration / Growth,0.898625,0.101375
0.25,18,0.4513445720091568,-0.04860139073502847,0.9548523328302376,Respiration / Growth,0.962625,0.037375
0.25,21,0.4594923242716755,0.06007194528407901,0.8662413917743669,Respiration / Growth,0.987375,0.012625
0.25,24,0.46795220979665153,0.0715387722150508,0.8799701544071558,Respiration / Growth,0.989125,0.010875
0.25,26,0.4705034034151849,0.01943973992890328,0.9406122904594519,Respiration / Growth,0.979875,0.020125
0.25,27,0.47135466804244575,-0.02187468849981421,0.9809112904462564,Respiration / Growth,0.97025,0.02975
0.25,28,0.47399068580953746,-0.06513467287128821,1.0356960486883364,Respiration / Growth,0.9575,0.0425
0.5,15,0.9258936965479183,0.2521387486071945,1.6124571002506525,Respiration / Growth,0.997125,0.002875
0.5,18,0.8361933709252491,0.326748639639562,1.3658045482096435,Respiration / Growth,0.9995,5e-4
0.5,21,0.7472443862462922,0.34524059913025174,1.1652766077603303,Respiration / Growth,0.999875,1.25e-4
0.5,24,0.6600195672955679,0.257712386990575,1.074138753670853,Respiration / Growth,0.999375,6.25e-4
0.5,26,0.6011876214339411,0.14170841488968264,1.0733517154120196,Respiration / Growth,0.99525,0.00475
0.5,27,0.5714393666708446,0.07405846706264371,1.0881313176459326,Respiration / Growth,0.98775,0.01225
0.5,28,0.5427523693206382,0.0015009207539866394,1.1033215172340334,Respiration / Growth,0.975125,0.024875
1,15,1.1574157749148473,0.4568584310428915,1.8328581681843183,Respiration / Growth,0.999625,3.75e-4
1,18,1.0345623264713377,0.5220904792196979,1.5577864878218912,Respiration / Growth,1,0
1,21,0.9163188604370915,0.5060421351781632,1.345494490051701,Respiration / Growth,0.999875,1.25e-4
1,24,0.8040974262311431,0.3925491083942618,1.2270687964547926,Respiration / Growth,0.999875,1.25e-4
1,26,0.7312610870255161,0.2703899733654447,1.1991276364862482,Respiration / Growth,0.99875,0.00125
1,27,0.6912949355122048,0.19929226601496694,1.1982046437408818,Respiration / Growth,0.996375,0.003625
1,28,0.6545295994278462,0.12107055981037398,1.210635021613436,Respiration / Growth,0.992,0.008
2,15,1.2059253875240503,0.5235362038969621,1.8902696442653866,Respiration / Growth,0.999875,1.25e-4
2,18,1.1732721060202806,0.6462855637667341,1.6945404403246902,Respiration / Growth,1,0
2,21,1.1451880831780512,0.7347412412414082,1.5480749037740908,Respiration / Growth,1,0
2,24,1.115135042709697,0.7090821679616266,1.5017691360591956,Respiration / Growth,1,0
2,26,1.0931203734090602,0.6474235701101012,1.5374524925359903,Respiration / Growth,1,0
2,27,1.082427260944067,0.597100133383822,1.5712077300732918,Respiration / Growth,1,0
2,28,1.0711957109544625,0.5455551424630861,1.605304447545498,Respiration / Growth,1,0
4,15,1.612555014351724,0.9310209029689233,2.309747186054636,Respiration / Growth,1,0
4,18,1.5508247640887836,1.0313845828885786,2.0830904348950052,Respiration / Growth,1,0
4,21,1.4907690184000757,1.0755900659506428,1.905901319356132,Respiration / Growth,1,0
4,24,1.4265103987003893,1.0249914460780303,1.8406716775260392,Respiration / Growth,1,0
4,26,1.385486580704136,0.936813384153938,1.859724441218067,Respiration / Growth,1,0
4,27,1.3661364369542948,0.877045979991941,1.877124737253117,Respiration / Growth,1,0
4,28,1.3448650942503266,0.813886874203441,1.8979025754692127,Respiration / Growth,1,0
0.06,15,-0.2709579450118593,-0.8440168865320622,0.2827728178318498,CUE,0.8295,0.1705
0.06,18,-0.20729100565668285,-0.6241707650705507,0.2026518613448137,CUE,0.84,0.16
0.06,21,-0.14405050563367328,-0.48820324229893924,0.19709858116803652,CUE,0.79475,0.20525
0.06,24,-0.0780425225743995,-0.45088527581502846,0.27964135837676357,CUE,0.666375,0.333625
0.06,26,-0.06629315735292335,-0.45965486285417706,0.3165850084059519,CUE,0.63475,0.36525
0.06,27,-0.08840653366194179,-0.49000029730897726,0.3120874303162319,CUE,0.67075,0.32925
0.06,28,-0.13983316316289085,-0.650767337832613,0.3874317976555635,CUE,0.700625,0.299375
0.12,15,-0.2781155960754984,-0.8545324407952125,0.2754033271087275,CUE,0.836,0.164
0.12,18,-0.29540789491934233,-0.7098495086015408,0.11478549828630934,CUE,0.9225,0.0775
0.12,21,-0.30845563549012184,-0.6435873586719637,0.0336189446158364,CUE,0.960375,0.039625
0.12,24,-0.3045984779196107,-0.6570566220695148,0.05945865483014606,CUE,0.952875,0.047125
0.12,26,-0.2629257647413209,-0.6274457448924646,0.12024163894296554,CUE,0.914,0.086
0.12,27,-0.20868163030589132,-0.6071906572311734,0.20698923085736096,CUE,0.842625,0.157375
0.12,28,-0.12757309099519137,-0.6564558586240803,0.40884922290277415,CUE,0.67025,0.32975
0.25,15,-0.40932027147747363,-0.9710400769376293,0.13778828215251926,CUE,0.92675,0.07325
0.25,18,-0.45434164028429685,-0.8679079800727219,-0.05252671950441981,CUE,0.9865,0.0135
0.25,21,-0.49846090983457214,-0.847109498872379,-0.16006743162930548,CUE,0.99775,0.00225
0.25,24,-0.53044118877692,-0.882929392394435,-0.1706150770752255,CUE,0.998,0.002
0.25,26,-0.5015416538291018,-0.8782813417243681,-0.12219895645056414,CUE,0.995875,0.004125
0.25,27,-0.45446668853676697,-0.8634620613505815,-0.04765435422521283,CUE,0.98675,0.01325
0.25,28,-0.3740598161264822,-0.9038666793837387,0.16145883331883384,CUE,0.916625,0.083375
0.5,15,-0.9639529698938374,-1.5276600272280287,-0.41260381959212405,CUE,0.999875,1.25e-4
0.5,18,-0.8801584600689949,-1.2963474372823955,-0.4793537637390225,CUE,1,0
0.5,21,-0.7978241276737494,-1.1381623643239724,-0.4650293391468066,CUE,1,0
0.5,24,-0.6988868404602414,-1.05613444837176,-0.3530117236908944,CUE,0.999875,1.25e-4
0.5,26,-0.5970585710485543,-0.9643655908503039,-0.23053275163267933,CUE,0.999125,8.75e-4
0.5,27,-0.518749418115901,-0.9131054930540001,-0.12121733137182984,CUE,0.994625,0.005375
0.5,28,-0.41139062059283055,-0.9134339383788919,0.09565399264405314,CUE,0.94575,0.05425
1,15,-1.2589776307124838,-1.8451631701154863,-0.6432989006057445,CUE,1,0
1,18,-1.1218030060492583,-1.5465216127813861,-0.6851095560791675,CUE,1,0
1,21,-0.9916903684171893,-1.338415917051611,-0.6359671318254653,CUE,1,0
1,24,-0.8450563014453558,-1.2104874934932768,-0.47906857212379333,CUE,1,0
1,26,-0.6998220753486426,-1.093618356386284,-0.3080528374639573,CUE,1,0
1,27,-0.5961997658669461,-1.03003486231773,-0.17237156329964134,CUE,0.997375,0.002625
1,28,-0.4570287536984747,-1.0238014377919027,0.09410037156612044,CUE,0.948125,0.051875
2,15,-1.1859825114449492,-1.753376210289549,-0.6259824444991997,CUE,1,0
2,18,-1.2050666784660486,-1.6112665533762158,-0.7849804044180334,CUE,1,0
2,21,-1.2242309258470003,-1.5586716776293763,-0.8806120227957068,CUE,1,0
2,24,-1.2138615693127224,-1.5650788018538382,-0.8593168034570098,CUE,1,0
2,26,-1.133065455749211,-1.5008430365694116,-0.7705109800800705,CUE,1,0
2,27,-1.0399669361772994,-1.4291353715818749,-0.6470182519965236,CUE,1,0
2,28,-0.8968483528415099,-1.3966146436507334,-0.3809272025704363,CUE,0.999625,3.75e-4
4,15,-1.6367228423243694,-2.1995023874886495,-1.0712613505723667,CUE,1,0
4,18,-1.5819717621783678,-1.9884076998925744,-1.1749884325679627,CUE,1,0
4,21,-1.5274012323035016,-1.8700019006723274,-1.1872557916480693,CUE,1,0
4,24,-1.464006272389148,-1.8252986825474047,-1.0899137649660489,CUE,1,0
4,26,-1.3834687591789798,-1.768693759332328,-0.9946504261847041,CUE,1,0
4,27,-1.3203885245574265,-1.7306737504594616,-0.9158058013315572,CUE,1,0
4,28,-1.2376840650067984,-1.759616162826036,-0.7151340570803868,CUE,1,0
