Dose,T,median_effect,q2.5,q97.5,Trait,p_synergy,p_antagonism
0.06,15,-0.15106147891723776,-0.5108489803998055,0.21534725363680246,Growth,0.79325,0.20675
0.06,18,-0.1252075225227891,-0.389408846190038,0.13395740636665726,Growth,0.82525,0.17475
0.06,21,-0.09467777361957852,-0.3205173028229327,0.12465605036687107,Growth,0.79625,0.20375
0.06,24,-0.07038926221405539,-0.3355380509791051,0.17974065670078584,Growth,0.7035,0.2965
0.06,26,-0.09152419397207012,-0.3488889858987213,0.1606869828223578,Growth,0.758625,0.241375
0.06,27,-0.13172175819290644,-0.3886253528657966,0.12379462549284338,Growth,0.851875,0.148125
0.06,28,-0.2055469693652121,-0.5679759753505558,0.16305559986960944,Growth,0.86425,0.13575
0.12,15,-0.13899185123185287,-0.4977388482800852,0.21267272101690363,Growth,0.778125,0.221875
0.12,18,-0.14651809123124027,-0.4053474340130399,0.11354227023838823,Growth,0.8675,0.1325
0.12,21,-0.15736481664774082,-0.3781868061749812,0.07364546099139783,Growth,0.91475,0.08525
0.12,24,-0.1622514268334294,-0.40113052038617136,0.08252741510653572,Growth,0.903,0.097
0.12,26,-0.1476381297680729,-0.3893118119682463,0.09839764841572071,Growth,0.883,0.117
0.12,27,-0.12357673847869366,-0.38526544645784905,0.13998786591485665,Growth,0.822625,0.177375
0.12,28,-0.0808358832400935,-0.45690878994420836,0.2798328310637513,Growth,0.666375,0.333625
0.25,15,-0.17445422636319563,-0.5359237446699044,0.18061902756000722,Growth,0.833,0.167
0.25,18,-0.19496307131326684,-0.46286178035276077,0.06700315711746435,Growth,0.926375,0.073625
0.25,21,-0.22073861816835239,-0.4472880425002677,0.009333199283450028,Growth,0.968375,0.031625
0.25,24,-0.23801984505838414,-0.48343902452781173,0.015811432786680134,Growth,0.96875,0.03125
0.25,26,-0.22079955576410004,-0.4632264245818389,0.03134400290966748,Growth,0.959375,0.040625
0.25,27,-0.19269953784203775,-0.4497038914456209,0.07425746751243383,Growth,0.925,0.075
0.25,28,-0.14345828790866122,-0.5027945673808946,0.22714605622876521,Growth,0.779625,0.220375
0.5,15,-0.5163134606953812,-0.8672732696577664,-0.1508627355484083,Growth,0.99775,0.00225
0.5,18,-0.4671188941235829,-0.7307033624927289,-0.2075987262154179,Growth,0.9995,5e-4
0.5,21,-0.4235042998588483,-0.6462134525589058,-0.20120635615179555,Growth,0.999625,3.75e-4
0.5,24,-0.3698710229208446,-0.607408483026442,-0.12784947696355045,Growth,0.999,0.001
0.5,26,-0.2989215046714171,-0.5407133877499632,-0.06320434755738395,Growth,0.993375,0.006625
0.5,27,-0.24093615907687216,-0.49434132228701877,0.00980552581435294,Growth,0.97,0.03
0.5,28,-0.16158402269880057,-0.5115100705278627,0.19234496108352123,Growth,0.82075,0.17925
1,15,-0.7489603224895891,-1.1325335662595477,-0.361855078683799,Growth,1,0
1,18,-0.6489373625372457,-0.9294637029500334,-0.3726056393899956,Growth,1,0
1,21,-0.5489751250312707,-0.7861125639133768,-0.3237445585983433,Growth,1,0
1,24,-0.4432268839070983,-0.6958592264291277,-0.19709779084052273,Growth,0.99975,2.5e-4
1,26,-0.34553905708540844,-0.6053732547686548,-0.0965580205009516,Growth,0.9965,0.0035
1,27,-0.27679715600796273,-0.5505394124543155,-0.010183575759360245,Growth,0.97975,0.02025
1,28,-0.18965429056046634,-0.5763621160798688,0.1782070826293947,Growth,0.838,0.162
2,15,-0.8209747935698739,-1.1768363926225025,-0.46965943713072733,Growth,1,0
2,18,-0.7980222446648808,-1.0612247775088053,-0.5379063970259346,Growth,1,0
2,21,-0.7788061520840386,-1.004377096640527,-0.561009754789876,Growth,1,0
2,24,-0.7466259919848826,-0.9848913766396818,-0.5127038496262871,Growth,1,0
2,26,-0.6768345344573419,-0.914053893288138,-0.44176228021008007,Growth,1,0
2,27,-0.6071337791066136,-0.8601439763273007,-0.36460354105251014,Growth,1,0
2,28,-0.5081565271169026,-0.8454503933529802,-0.17859741895341982,Growth,0.99825,0.00175
4,15,-1.1340315804824472,-1.487140939322339,-0.7741177809459254,Growth,1,0
4,18,-1.0562416963315049,-1.3132103580020484,-0.7950505525192839,Growth,1,0
4,21,-0.9822813539514339,-1.2048639936000176,-0.7602303037275379,Growth,1,0
4,24,-0.9060027547392036,-1.1497767692272816,-0.6529538358765503,Growth,1,0
4,26,-0.8398249636281507,-1.094159592233498,-0.5879918974754741,Growth,1,0
4,27,-0.7920207954642384,-1.0568070534825078,-0.5295179269763626,Growth,1,0
4,28,-0.7316511718829459,-1.094295749490774,-0.37145362456856384,Growth,0.99975,2.5e-4
0.06,15,0.1202596930727804,-0.3065145329379648,0.5477778367834891,Respiration,0.70925,0.29075
0.06,18,0.08371706639779442,-0.228921226035038,0.402971805052147,Respiration,0.703,0.297
0.06,21,0.045205548108916194,-0.20521510735151022,0.30871669624802683,Respiration,0.642125,0.357875
