held_out_T,a_GAM,b_NGAM,a_lo,a_hi,b_lo,b_hi,n_train
15,0.0,6.75450753058435,0.0,0.0,5.411791330386931,8.388574977596265,18
18,0.0,6.790043416692339,0.0,0.0,5.417642526608736,8.418168537432399,18
21,0.0,6.476240623524683,0.0,0.0,5.163250378224257,8.15700198807372,18
24,0.0,6.70427768649854,0.0,0.0,5.316657950016462,8.44254363184399,18
26,0.0,5.36245308938085,0.0,0.0,4.528915556832174,6.186670714080719,18
27,0.0,5.363455585821658,0.0,0.0,3.9432124812264076,7.07903476302007,18
28,0.0,4.997060124933817,0.0,0.0,3.605025679170587,6.615432128054018,18
