lam,E_phys,E_phys_N0,dE_net
1.0,18.90621174811345,11.128709473699251,-7.777502274414198
1.5,35.17550750180501,18.122455489843567,-17.05305201196144
2.0,47.005245174337546,24.102860552447837,-22.90238462188971
4.0,75.40615754855823,38.78145470882475,-36.62470283973348
8.0,103.68761359596812,53.28690015843901,-50.400713437529106
16.0,131.93734042277842,67.63969054300327,-64.29764987977515
