T,mu_pred,mu_obs,dlog_mu,R_pred,R_obs,dlog_R,R_pred_N0,dlog_R_N0
15,0.032100124175601416,0.04202404510516294,-0.26938205844292407,4.817094150552942,1.7123967269104305,1.0342768890500127,5.335959486995585,1.1365747323103355
21,0.0523,0.0524414378929281,-0.002700707222316634,5.6500849741301264,2.5099791272258813,0.8113961474514506,2.572025837356238,0.02441941469046005
27,0.04837017457713835,0.041350658784883,0.15679504276858536,4.9061956188041425,4.3038904567147105,0.13097944739297196,2.6263756579308146,-0.493914552092647
