UniqueCount	AmbigCount
777	0
1052	0
109	0
87	0
557	0
198	0
144	0
0	0
142	0
258	0
264	0
45	0
2716	0
0	0
65	0
774	0
773	0
82	0
84	0
42	0
81	0
193	0
12	0
4	0
48	0
3	0
4028	0
27	0
3	0
13	0
69	0
109	0
3510	1
123	0
24	0
40	0
11	0
896	0
173	0
27	0
154	0
13	0
257	0
1682	1
1086	0
68	0
141	0
8	0
1809	0
470	0
3453	3
399	0
42	0
88	0
79	0
247	0
210	0
59	0
994	0
239	0
827	0
661	0
6	0
1125	0
3	0
41	0
249	0
392	2
133	0
3	0
0	0
134	0
963	0
539	0
2179	0
585	0
107	0
139	0
1	0
877	0
41885	11
0	0
1173	0
622	0
3076	0
230	0
232	0
626	0
1010	0
52	0
912	0
0	0
113	0
339	0
17	0
0	0
5	0
164	0
27	0
13	0
13	0
2	0
972	0
229	0
490	0
547	0
434	0
1	0
6	0
596	0
12628	4
0	0
73	0
621	0
0	7147
87	0
448	0
49	0
1	0
0	0
1	0
128	0
2450	0
0	0
218	0
472	1
220	0
71	0
0	0
278	0
2	0
135	0
0	0
0	0
0	0
0	0
95	0
0	0
25	0
270	0
0	0
376	1
661	0
371	0
125	0
5398	5
447	2
33	0
6272	2
138	0
5649	3
354	0
992	0
37642	13
630	0
2126	2
10	0
147	0
18	0
2	0
802	0
12	0
149	0
200	0
110	0
633	0
0	0
12592	2
76	2
196	0
0	0
1487	1
90	0
72	0
279	0
1086	0
287	0
78	0
59	0
2243	0
85	0
846	2
2157	1
67	0
290	0
116	0
167	0
6	0
244	0
877	1
87	0
3963	2
0	0
14	0
2	0
9	0
2271	0
79	0
583	0
0	119
261	0
0	0
77	0
242	0
18	0
270	0
16	0
28	0
0	0
0	0
362	0
697	0
0	0
404	0
269	0
13	0
0	0
136	0
3335	2
134	0
84	0
108	0
369	0
302	0
0	0
547	0
0	0
815	0
0	0
508	0
402	0
19	0
968	0
95	0
14	0
1211	0
0	0
447	0
1245	0
16	0
8	0
114	0
413	0
283	0
2	0
191	0
7	0
27	0
0	0
1184	0
4	0
0	0
12891	3
0	0
15	0
403	1
0	0
219	0
193	0
579	0
25	0
423	0
235	0
76	0
122	0
3045	0
68	0
95	0
111	0
7	0
0	0
262	0
1161	0
35	0
324	0
90	0
283	0
4	0
187	0
54	0
72	0
1572	0
69	0
6	0
101	0
168	0
483	1
0	0
1	0
1	0
301	0
380	0
5485	3
159	0
199	0
46	0
183	0
37	1
656	0
132	0
163	0
270	0
168	0
1313	0
0	0
0	0
1274	1
285	0
888	0
56	0
1	0
176	0
229	0
7	0
222	0
56	0
120	0
29	0
2264	0
136	0
42	0
0	0
47	0
5	0
134	0
129	0
965	1
1887	0
23	0
0	0
2427	5
72	0
623	1
151	0
1	0
11	0
208	0
14	0
261	0
2	0
41	0
93	0
467	0
696	0
787	0
16	0
0	0
813	0
659	0
72	0
232	0
38	0
9	0
140	0
6146	2
1670	1
0	0
449	0
4	0
6	0
38	0
47	0
1645	0
5	0
1949	0
46	0
1342	0
103	0
473	0
12	0
15	0
457	0
0	0
189	0
0	0
1414	1
3	0
6	0
73	0
217	0
122	0
121	0
867	0
0	0
8	0
1419	0
699	2
496	0
25	0
12	0
159	0
58	0
391	0
268	0
49	0
99	0
26	0
368	0
1428	0
1	0
133	0
28271	19
63	0
467	0
465	0
183	0
709	0
236	0
1	0
79	0
1822	0
424	0
162	0
16	0
238	0
418	0
1785	0
5	0
71	0
955	1
4763	2
829	0
2648	2
5	0
92	0
213	0
0	0
122	0
249	0
494	0
1458	0
0	0
0	0
18	0
149	0
3477	0
726	0
420	0
114	0
20	0
24	0
520	0
47	0
11	0
0	0
254	0
14	0
19	0
259	0
0	0
250	0
0	0
113	0
4653	0
27	0
2592	1
44	0
54	0
21	0
621	0
431	0
129	0
382	0
49	0
10	0
2	0
1315	4
0	0
434	0
262	0
3	0
184	0
68	0
71	0
87	0
118	0
45	0
41	0
144	0
214	0
0	0
218	0
56	0
609	0
86	0
144	0
0	0
0	0
171	0
0	0
165	0
553	0
0	0
1	0
104	0
62	0
2	0
715	0
21	0
8	0
127	0
71	0
66	0
0	0
351	0
3964	3
1	0
0	0
168	0
34	0
2433	2
41	0
16	0
621	0
450	0
23	0
5105	3
59	0
72	0
67	0
566	0
312	0
141	0
16	0
187	0
2	0
0	0
22	0
291	0
674	0
287	0
90	0
971	0
385	0
172	0
602	0
135	0
0	0
603	0
97	0
2277	1
1	0
361	0
84	0
261	0
0	0
288	0
636	0
266	0
259	0
500	0
1	0
71	0
348	0
6	0
222	1
100	0
235	0
232	0
0	0
168	0
965	0
172	0
93	0
424	0
587	0
1567	1
212	0
10	0
2959	1
98	0
0	0
65	0
27	0
10	0
18	0
11	0
187	0
2412	0
121	0
56	0
631	0
11	0
5	0
10	0
80	0
102	0
1542	1
9	0
254	0
0	0
33	0
0	0
0	0
8	0
129	1
79	0
1154	0
371	0
0	0
72	0
155	0
547	0
1359	0
3161	4
40	0
544	0
0	0
0	0
0	0
2078	0
2990	0
649	0
41	0
2	0
248	0
66	0
95	0
24	0
63	0
223	0
198	0
7	0
121	0
3	0
248	0
535	0
0	0
25	0
185	0
59	0
444	0
154	0
26	0
22804	7
178	0
537	0
47	0
91	0
1091	0
51	0
222	0
1	0
30	0
25	0
69	0
37	1
13	0
37	0
47769	10
490	0
34	0
1100	0
76	0
247	0
218	0
807	0
58	3
0	0
66	0
1502	0
163	0
73	0
1137	0
125	0
25	0
74	0
164	0
161	0
147	0
41	0
65	0
195	0
24	0
310	0
52	0
86	0
1	0
140	0
0	0
88	0
24	0
708	2
9	0
282	2
566	0
10	0
210	0
993	1
34	0
0	0
428	0
0	0
0	0
1	0
282	0
157	0
16	0
4	0
202	1
12	0
0	0
714	0
634	0
0	0
8	0
802	0
358	0
7	0
51	0
6875	2
724	0
595	0
8467	2
4	0
324	0
88	0
0	0
252	0
3	0
0	0
132	0
2299	0
601	0
463	0
6	0
445	0
326	0
93	0
299	0
27	0
52	0
860	0
224	0
150	0
85	0
410	1
121	0
0	0
9	0
120	0
0	0
14	0
67	0
429	0
115	0
804	1
289	0
1039	0
0	0
317	0
659	2
29	0
1410	0
501	1
36	0
12	0
61	0
320	0
0	0
105	0
37	0
28292	8
360	0
687	0
789	0
2485	2
189	0
1301	0
43	0
1	0
596	0
412	0
1320	0
26	0
721	0
8	0
685	0
325	0
436	0
79	0
480	0
1626	3
8	0
148	0
1858	0
700	0
5277	3
34	0
298	0
336	0
18	0
170	0
31	0
81	0
7	0
88	0
233	0
88	0
151	0
240	0
1153	0
29	0
347	0
20	0
13	0
10484	3
1018	0
12666	3
1	0
691	0
57	0
324	0
0	0
898	0
151	0
45	0
256	0
325	0
2970	1
796	0
327	2
4	0
148	0
471	0
0	0
6478	0
31	0
4	0
273	0
0	0
1	0
892	1
401	0
164	0
12203	4
458	0
0	0
497	0
415	0
1	0
137	0
304	0
14	0
28	0
12	0
84	0
4528	3
0	0
959	0
177	0
21	0
303	0
122	1
1200	0
0	0
0	0
173	0
7457	3
7	0
134	0
0	0
55	0
596	0
0	0
468	0
39	0
623	0
41	0
38	0
15	0
119	0
10	0
0	0
14	0
0	0
2	0
1074	0
2	0
0	0
133	0
9	0
2	0
34	0
78	0
0	0
21	0
730	0
6	0
182	0
20	0
0	0
555	0
859	0
15	0
1448	0
262	0
22	0
605	0
311	0
102	0
128	1
513	0
43	0
723	0
2827	0
0	0
519	0
0	0
26	0
148	0
91	0
42	0
8	0
45	0
243	0
334	0
3355	1
891	0
578	0
2	0
0	0
953	0
351	0
98	0
100	0
451	0
527	0
4	0
606	0
590	0
57	0
19	0
1842	0
550	0
102	0
36	0
48	0
356	3
22	0
0	0
199	0
0	0
322	0
13043	7
44	0
3	0
4	0
5898	3
378	0
530	0
3645	3
629	0
9	0
1	0
66	0
876	0
38	0
106	0
67	0
0	0
94	0
2757	0
12	0
3906	0
576	0
3	0
1708	0
4	0
830	1
60	0
0	0
51	0
4	2
567	0
338	0
93	0
241	0
2074	0
758	1
104	0
2022	1
11	0
767	0
5	0
21	0
57	0
45	0
171	0
109	0
51	0
1192	0
17	0
269	0
356	0
66	0
46	0
60	0
60	0
893	0
4097	3
75	0
20	0
263	0
178	0
2	0
430	0
0	0
2	0
0	0
8	0
159	0
36	0
8	7147
260	0
726	0
718	0
6	0
716	0
101	0
27097	4
223	0
1	0
4	0
3	0
1210	0
138	0
0	0
423	0
123	0
41	0
2246	1
398	0
0	0
174	0
434	0
3	0
426	0
9	0
353	0
155	0
125	0
672	0
84	0
3103	0
20	0
7846	1
696	0
860	0
103	0
1	0
66	0
324	0
1388	0
3310	0
480	0
252	0
0	0
24	0
119	0
205	0
186	0
36	0
59	0
24	0
228	0
77	0
0	0
34	0
54	0
39	0
313	0
1	0
109	0
189	0
78	0
14	0
284	0
1245	0
175	0
12	0
232	0
13	0
640	1
389	0
576	0
216	0
189	0
14	0
14	0
16	0
234	0
0	0
3	0
288	1
355	0
286	0
11	0
590	0
3029	0
2257	1
11	0
4	0
242	0
35	0
182	0
331	0
2	0
7	0
493	0
597	0
3	0
298	0
235	0
3058	0
946	0
71	0
92	0
396	0
2	0
22	0
311	0
42	0
8037	2
2704	0
5304	3
166	0
405	0
44	0
0	0
0	0
729	0
167	0
141	0
425	0
97	0
2098	0
0	0
13	0
1050	0
789	0
430	0
716	0
239	0
3439	2
142	0
26	0
0	0
2218	0
26	0
0	0
0	0
12	0
5	0
1607	1
162	0
126	0
74	0
1	0
54	0
266	0
1	0
91	0
59	0
94	0
405	0
413	0
17	0
892	0
65	0
185	0
33	0
115	0
144	0
2268	0
32553	11
30	0
1193	0
54	0
361	0
58	0
261	0
1478	3
619	0
426	0
256	0
289	0
0	0
7	0
0	0
0	0
3	0
366	0
36	0
40	0
120	0
6	0
176	0
525	3
158	0
306	0
3805	1
55	0
12	0
377	0
418	0
3215	0
101	0
105	0
3391	2
541	0
19386	10
514	0
47	0
102	0
500	0
472	0
2805	0
1228	1
95	0
760	0
0	0
0	0
884	0
296	0
304	0
144	0
34637	7
281	0
5988	2
135	0
458	0
88	0
255	0
250	0
126	0
59	0
1	0
9	0
375	0
65	1
370	0
477	0
1	0
24	0
391	0
3806	1
514	0
40	0
115	0
164	0
7252	4
7	0
10	0
276	0
13	0
665	0
961	1
6	0
1377	0
1	0
30	0
651	0
1196	1
1844	0
290	0
313	0
470	1
59	0
402	0
270	0
255	0
0	0
71	0
21	0
87	0
38624	18
158	0
26	0
76	0
469	0
87	0
13	0
63	0
11	0
20	0
224	0
252	0
2094	0
519	0
60	0
0	0
265	0
287	0
34	0
7	0
38213	11
24	0
366	0
187	0
4	0
475	0
7	0
215	0
82	0
1615	1
151	0
1	0
2	0
648	0
4	0
457	0
26	0
0	0
2019	0
305	0
59	0
0	0
236	0
275	0
309	0
399	0
302	0
307	0
11	0
489	0
1189	1
725	0
79	0
0	0
86	0
69	0
863	1
102	0
228	0
0	0
158	0
79	0
764	0
19	0
16	0
0	0
337	0
161	0
263	0
102	0
190	0
11	0
1186	0
740	0
22	0
817	0
0	0
1886	0
83	0
328	0
127	0
429	0
0	0
2	0
3989	0
52	0
42	0
734	1
1929	3
118	0
2924	1
22	0
11	0
262	0
3594	1
0	0
969	0
50	0
184	0
311	0
75	0
4	0
60	0
202	0
1	0
0	0
259	0
4	0
6	0
0	0
222	0
0	0
8	0
28	0
1018	0
165	0
0	0
2	0
1969	1
0	0
301	0
368	0
1087	0
0	0
61	0
60	0
1269	0
113	0
153	0
0	0
30	0
168	1
233	0
181	0
230	0
7	0
0	0
1923	0
364	0
6076	0
27405	11
0	0
123	0
361	0
465	0
92	0
1	0
2254	1
54	0
0	0
354	2
7	0
331	0
577	0
968	0
24	0
189	0
3	0
291	0
176	0
207	0
53	0
3	0
0	0
50	0
346	1
334	2
249	1
332	0
229	0
59	0
91	0
583	0
51	0
333	0
310	0
57	0
306	0
0	0
24	0
206	0
154	0
22	0
45	0
2	0
865	0
63	0
3	0
699	0
192	0
120	0
71	0
31905	9
228	0
168	0
6	0
0	0
1514	0
18660	4
745	0
44	0
26	0
339	0
69	0
17	0
673	1
0	0
1227	0
178	0
4356	0
532	0
15	0
694	1
141	1
0	0
15	0
0	0
366	0
138	0
872	1
12	0
390	0
130	0
109	0
348	0
395	0
806	0
214	0
344	0
18	0
0	0
577	0
2	0
195	0
63	0
2118	0
1532	0
984	0
28	0
1447	0
17141	2
34	0
435	0
123	0
0	0
5609	5
74	0
149	0
727	0
5	0
0	0
777	0
1022	0
5	0
220	0
166	0
111	0
21	0
248	0
4	0
702	0
57	0
459	0
0	0
1708	0
1588	1
65	0
384	0
6	0
841	0
0	0
154	0
773	0
482	0
2414	2
648	1
0	0
161	0
533	0
346	0
28	0
378	0
88	0
3765	1
329	0
13	0
406	0
5	0
754	0
117	1
502	0
29	3
379	0
3	0
962	0
1	0
199	0
195	0
755	0
116	0
1	0
8480	6
0	0
23	0
0	0
8	0
2	0
212	0
463	0
355	0
1	0
48	0
55	0
26	0
409	0
1	0
869	1
33	0
1855	0
11	0
1	0
28879	13
5	0
9	0
47	0
5	0
357	0
36812	8
136	0
27	0
3	0
443	0
14	0
80	0
565	0
89	0
47	0
0	0
3	0
101	0
14	0
10	0
348	0
519	0
9	0
112	0
13	0
569	0
0	0
604	1
1287	2
61	0
200	0
61	0
345	0
1	0
416	0
12	0
147	0
25	0
226	0
552	0
526	0
55	0
189	0
0	0
63	0
0	0
175	0
74	0
158	0
363	0
6431	0
36152	17
229	0
67	0
616	0
323	0
283	0
22	0
583	0
2062	1
41	0
13	0
361	0
0	0
16	0
0	0
275	0
444	2
42269	12
1147	0
214	1
0	0
366	0
874	1
1003	0
491	0
3226	0
1091	0
157	0
40	0
355	0
0	0
277	0
1846	1
4	0
33	0
1992	3
1	0
528	0
179	0
11	0
68	1
410	0
0	0
549	0
83	0
566	0
44	0
136	0
31	0
8666	4
0	0
564	0
18	0
16	0
167	0
268	0
80	0
0	0
1002	0
0	0
2	0
11	0
1	0
144	0
517	0
8	0
150	0
37	0
0	0
0	0
95	0
78	0
438	5
83	0
58	0
419	1
1558	0
152	0
237	0
243	0
290	0
602	0
331	0
153	0
54	0
117	0
71	0
9	0
55	0
0	0
81	0
713	0
159	0
263	0
0	0
70	0
367	0
3	0
1197	0
99	0
18	0
273	0
1616	2
4	0
277	0
19	0
137	0
296	0
257	0
12	0
574	0
0	0
0	0
50	0
3	0
41	0
1111	0
140	0
26	0
215	0
0	0
950	0
8	0
26825	4
1	0
178	0
526	0
158	0
34	0
467	0
110	0
260	0
465	3
301	0
4	0
220	0
39	0
0	0
422	0
1	0
176	0
1	0
12	0
5	0
0	0
129	0
5767	1
11	0
2527	2
213	0
450	0
261	0
417	0
742	0
2	0
247	0
123	0
618	0
3	0
185	0
142	2
2	0
507	0
2572	1
309	0
20	0
0	0
0	0
887	0
53	0
169	0
42	0
7	0
7	0
10	0
38	0
374	0
389	0
23	0
371	0
473	0
26	0
2	0
826	0
1	0
398	0
15143	1638
19	0
113	0
564	0
347	0
36	0
94	0
149	0
239	0
2137	1
111	0
5018	4
367	0
12	0
618	0
561	0
1998	4
186	0
23	0
32	0
13	0
140	0
187	0
3	0
2	0
234	0
3	0
112	0
161	0
763	0
0	0
0	0
18	0
99	0
44	1
0	0
18	0
294	0
27	0
1132	0
5374	9
0	0
599	0
82	0
1145	0
26	0
5	0
9	0
25	0
584	0
396	0
3	0
2	0
167	0
265	0
1811	3
565	0
425	0
469	0
521	0
1201	0
1281	0
353	0
249	0
45	0
0	0
44	0
285	0
2	0
4688	0
317	0
258	0
1	0
122	0
422	0
38	0
4	0
6	0
298	0
586	4
1299	0
1	0
445	0
1230	0
41	0
53	0
1716	1
72	0
144	0
43	0
21	0
6	0
4	0
11	0
39	0
0	0
385	1
21	0
1537	2
79	0
3	0
20	0
91	1
1233	0
35	0
122	0
114	0
1	0
5	0
308	0
18	0
16	0
257	0
148	0
435	0
453	0
27	0
14	0
81	0
171	2
94	0
665	0
320	0
286	0
1000	0
1129	0
250	0
17737	6
60	0
5	0
0	0
371	0
365	0
81	0
915	2
897	0
184	0
0	0
334	0
553	0
1545	0
126	0
67	0
92	0
272	0
2	0
26	0
225	0
178	2
28	0
0	0
0	0
976	0
7	0
571	0
39	0
4	0
72	0
0	0
23	6
306	0
133	0
19192	6
0	0
453	0
8288	2
508	0
142	0
184	0
3	0
42	0
785	0
161	0
2171	2
0	0
317	0
1	0
221	0
44	0
0	0
44	0
369	0
26	0
614	0
974	0
506	0
64	0
1	0
1254	0
829	1
622	0
75	0
1070	0
550	0
130	0
0	0
152	0
437	0
120	0
2	0
4	0
66	0
160	0
37	0
24	0
14	0
269	0
497	0
768	1
2457	0
0	0
55	0
101	0
4	0
591	0
48	0
3	0
113	0
209	0
76	0
38	0
967	1
142	0
149	0
62	0
4	0
2226	1
234	0
263	0
199	0
569	0
14	0
0	0
13409	6
19	0
153	0
0	0
76	0
19	0
263	0
399	0
207	0
4	0
241	0
1393	0
203	0
343	0
51	0
0	0
0	0
49	0
4	0
202	0
273	0
502	0
163	0
157	0
30	0
31	0
0	0
86	0
177	0
180	0
1261	0
388	0
144	0
1	0
512	0
933	0
107	0
409	0
0	0
290	0
8	0
357	0
413	0
0	0
27	0
230	0
43	0
949	0
2	0
415	0
2727	0
49	0
229	0
17	0
5205	0
2	0
232	0
31	0
24	0
158	0
768	0
133	0
0	0
3	0
0	0
67	0
141	0
1442	0
244	0
298	0
255	0
86	0
31027	7
274	0
235	0
117	0
188	0
9	0
2302	0
305	0
1	0
252	0
567	0
3447	2
1771	0
4144	3
130	0
940	0
1	0
720	0
763	0
89	0
203	0
0	0
0	0
221	0
457	0
2	0
302	0
186	0
908	0
301	6
903	0
939	0
0	0
1063	0
32	0
340	0
1021	0
235	0
6	0
271	1
2642	0
516	0
7517	3
450	1
200	0
1095	0
964	0
0	0
10	0
5	0
174	0
466	0
9	0
104	0
554	0
389	0
31	0
195	0
26	0
52	0
16	0
1	0
1162	0
13	0
1262	1
1567	3
329	1
3162	0
390	0
0	0
5764	0
16	0
372	0
16	0
583	0
102	0
41	0
18	0
94	0
236	0
2052	0
263	0
192	1
1	0
33	0
7765	0
225	0
1	0
17	0
124	0
136	0
103	0
57	0
308	0
28	0
62	0
230	0
5	0
11	0
32	0
77	0
681	0
24	0
245	0
281	0
4	0
608	0
0	0
0	0
97	0
51	0
409	0
0	0
1	0
78	0
5764	1
225	0
226	0
10	0
234	0
259	0
1	0
8	0
924	0
0	0
117	0
20	0
253	0
107	0
88	0
240	0
371	0
484	0
127	0
402	0
113	0
1186	1
474	0
73	0
110	0
0	0
310	0
350	0
31	0
19	0
121	0
3491	0
287	0
23	0
1	0
242	0
193	0
171	0
141	0
4	0
0	0
42	0
15	0
37	0
12902	8
25	0
66	0
122	0
658	0
915	0
16	0
160	0
3	0
210	0
1394	1
180	0
9	0
414	2
85	0
166	0
774	0
447	0
201	0
7	0
48	0
250	0
1569	1
56	0
134	0
207	0
