curve_id,study,strain,medium_class,medium_detail,defined,temp_C,rate_per_h
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,20.3,0.564552
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,21.2,0.967752
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,21.3,0.62424
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,22.1,0.967752
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,23.0,0.967752
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,23.1,1.126152
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,24.1,1.126152
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,25.5,1.368072
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,25.8,1.176012
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,26.5,1.332072
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,26.9,1.35
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,27.8,1.497852
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,28.1,1.422972
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,28.4,1.87974
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,28.8,1.594152
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,30.1,1.837512
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,31.0,1.944
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,32.0,2.166012
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,33.0,2.400012
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,34.4,2.472552
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,34.5,2.0757600000000003
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,35.0,2.400012
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,35.6,2.57094
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,36.2,2.620872
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,36.8,2.773512
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,36.8,3.0375
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,38.3,3.398652
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,38.5,3.932172
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,39.1,3.4272720000000003
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,39.7,2.851452
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,39.8,3.313512
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,40.8,2.620872
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,42.2,3.11904
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,42.5,2.2815
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,43.2,2.620872
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,44.2,2.21184
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,44.4,1.75446
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,45.4,1.077372
E_coli_M23,Ratkowsky 2005,E. coli,rich_broth,,False,45.8,0.983052
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,7.61,0.016524
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,10.31,0.0522
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,12.01,0.10728
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,13.21,0.15264
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,14.51,0.20772
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,16.01,0.28944
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,17.41,0.3707999999999999
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,18.51,0.447984
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,20.21,0.59994
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,21.51,0.682056
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,22.71,0.844128
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,24.11,0.997992
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,25.41,1.152288
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,26.71,1.23534
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,27.91,1.545192
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,29.31,1.491444
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,30.61,1.732608
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,32.11,1.87794
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,33.61,2.013408
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,35.01,2.128428
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,36.71,2.351088
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,38.01,2.390436
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,40.11,2.600784
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,41.91,2.583972
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,43.61,2.604168
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,45.61,2.19618
E_coli_NT_R31,Ratkowsky 2005,E. coli,rich_broth,,False,47.41,0.752256
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,7.71,0.012132
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,9.41,0.032544
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,11.21,0.07056
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,13.11,0.12024
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,14.31,0.1742399999999999
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,15.71,0.22104
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,17.11,0.28548
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,18.21,0.35316
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,19.51,0.421704
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,20.71,0.513468
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,22.01,0.645084
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,23.31,0.758232
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,24.41,0.8244
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,25.61,1.03788
E_coli_O111_H-,Ratkowsky 2005,E. coli,rich_broth,,False,27.01,1.194732
