Unnamed: 0,ID,Ts,r
0,0,20.153299075508016,0.27036
1,0,23.00151111308503,0.58194
2,0,26.331896319367047,0.636804
3,0,28.251819864188008,0.78318
4,0,29.99421176442104,0.956088
5,0,31.62212188446705,1.092348
6,0,33.61728633658504,1.185624
7,0,36.55299482796005,1.31616
8,0,38.54155004207803,1.439028
9,0,40.20094365636703,1.318572
10,0,42.23876395989504,1.389636
11,0,44.453491097574044,1.38096
12,0,45.28989924561603,1.007028
13,0,46.64533098816804,0.922572
14,0,48.47717620988101,0.16272
15,1,10.112600000000045,0.05112
16,1,15.441900000000032,0.15912
17,1,18.083200000000037,0.27
18,1,21.444800000000043,0.4104
19,1,23.60590000000002,0.5004
20,1,25.47950000000003,0.6408
21,1,27.54430000000002,0.7056
22,1,29.65870000000001,0.9144
23,1,33.59640000000002,1.0548
24,1,37.2484,1.4004
25,1,39.5539,1.5228
26,1,40.80170000000004,1.5084
27,2,8.096330000000023,0.028476
28,2,12.08080000000001,0.07092
29,2,14.097300000000018,0.1098
30,2,15.921400000000006,0.12276
31,2,18.081800000000044,0.15552
32,2,20.050900000000013,0.24696
33,2,22.02100000000001,0.4284
34,2,24.08570000000003,0.4824
35,2,26.008800000000008,0.7524
36,2,27.978700000000003,0.9072
37,2,29.998800000000017,1.2564
38,2,32.06420000000003,1.3824
39,2,34.08140000000003,1.4796
40,2,36.15120000000002,1.98
41,2,38.1182,1.8936
42,2,40.03920000000005,1.9764
43,2,42.103200000000015,1.98
44,2,44.0702,1.89
45,3,8.048220000000015,0.018648
46,3,14.961400000000026,0.11988
47,3,20.098400000000023,0.20124
48,3,25.0444,0.3744
49,3,35.08240000000001,0.8892
50,3,40.02860000000004,1.0692
51,3,45.98320000000001,1.2996
52,4,9.205600000000004,0.03924
53,4,10.953000000000031,0.06516
54,4,12.414300000000026,0.10116
55,4,13.48380000000003,0.12276
56,4,14.873800000000015,0.1584
57,4,15.905700000000024,0.2142
58,4,17.012100000000032,0.21456
59,4,18.117400000000032,0.23436
60,4,19.256100000000004,0.29592
61,4,20.217100000000016,0.34488
62,4,21.14330000000001,0.377676
63,4,22.353400000000025,0.439236
64,4,24.41900000000004,0.519444
