temp_C,rate_per_h,r0_lower,r0_upper
15,0.0368758887946687,0.0324325548100158,0.0403652183117142
18,0.0460221219248238,0.0398139719668142,0.0532659322993142
21,0.0522811542244703,0.0460083754573282,0.0590199768005424
24,0.0628786503924659,0.0568639827803662,0.0696090224467893
26,0.0501313605128722,0.0435137771406147,0.0569284451721151
27,0.0391642222744127,0.0355993524841288,0.0442898659407942
28,0.039601428755438,0.0354923244557586,0.0453522445666359
