kegg_id,name,NES,FDR
map00051,Fructose and mannose metabolism,-2.3370096652634347,0.0
map00980,Metabolism of xenobiotics by cytochrome P450,-2.3162983164320536,0.0
map00071,Fatty acid degradation,-2.2693863518859754,0.0
map00982,Drug metabolism - cytochrome P450,-2.1367022535198976,0.000822542360931588
map00680,Methane metabolism,-2.033226216853317,0.0023031186106084464
map00625,Chloroalkane and chloroalkene degradation,-1.8869964910641217,0.019466835875380915
map04146,Peroxisome,-1.8451304497959118,0.025381307137317573
map00040,Pentose and glucuronate interconversions,-1.8313155630196396,0.02447063523771474
map00830,Retinol metabolism,-1.7717000627884474,0.04094433085526127
map00280,"Valine, leucine and isoleucine degradation",-1.768730370014219,0.03767244013066673
map00480,Glutathione metabolism,-1.737805271886631,0.04531460642950385
map00626,Naphthalene degradation,-1.717435693922534,0.05113471677124705
map00380,Tryptophan metabolism,-1.7068020861625108,0.049858721570314714
map00740,Riboflavin metabolism,-1.6577793834615868,0.0650983525651571
map00710,Carbon fixation by Calvin cycle,-1.635721854198289,0.07326110628030677
map00561,Glycerolipid metabolism,-1.6123827760443967,0.08060915137129562
map00330,Arginine and proline metabolism,-1.5522494915436236,0.11399469425616596
map00650,Butanoate metabolism,-1.5301148085415053,0.12566619403121485
map00630,Glyoxylate and dicarboxylate metabolism,-1.527348595031476,0.12147651919863346
map00760,Nicotinate and nicotinamide metabolism,-1.5246531609152376,0.11721228643275129
map00010,Glycolysis / Gluconeogenesis,-1.5068507928249362,0.1247130893907703
map00350,Tyrosine metabolism,-1.49165300384435,0.12921392724452582
map00410,beta-Alanine metabolism,-1.48188412003496,0.13167830317174378
map00627,Aminobenzoate degradation,-1.4691168967479205,0.1359251251439449
map00730,Thiamine metabolism,-1.4306984977767416,0.1640478484641959
map00310,Lysine degradation,-1.3715088664988526,0.22214970994083116
map00520,Amino sugar and nucleotide sugar metabolism,-1.3486275543506665,0.24359439696329546
map00220,Arginine biosynthesis,-1.340193271756318,0.24705647340838052
