kegg_id,name,NES,FDR
map00643,Styrene degradation,-1.3273248471712793,0.2538535907013004
map00600,Sphingolipid metabolism,-1.3144292473439108,0.2603072391561499
map00362,Benzoate degradation,-1.3133078604772155,0.2534491816651138
map00513,Various types of N-glycan biosynthesis,-1.2903637790930642,0.2768369133510376
map00510,N-Glycan biosynthesis,-1.2650597227081986,0.3058860561621954
map00562,Inositol phosphate metabolism,-1.2516839868607608,0.317646505853875
map00930,Caprolactam degradation,-1.2472852779986214,0.3171723343752203
map00521,Streptomycin biosynthesis,-1.2322511774157325,0.3307534226901575
map00360,Phenylalanine metabolism,-1.2194973438354644,0.3399100729363238
map04122,Sulfur relay system,-1.2083805110173553,0.34927746147347644
map04138,Autophagy - yeast,-1.1824101852339495,0.3832203768750501
map00640,Propanoate metabolism,-1.1721030685796485,0.39099551126883036
map00053,Ascorbate and aldarate metabolism,-1.167152272321139,0.3894035908702957
map00592,alpha-Linolenic acid metabolism,-1.1546499483016646,0.40104815397993
map00061,Fatty acid biosynthesis,-1.1509645614952526,0.39814876047511794
map00100,Steroid biosynthesis,-1.1341681098320064,0.4188236148707113
map00130,Ubiquinone and other terpenoid-quinone biosynthesis,-1.1231214352787795,0.4297692442271888
map00780,Biotin metabolism,-1.1011522019534836,0.4610171119464826
map00290,"Valine, leucine and isoleucine biosynthesis",-1.0986438716850715,0.4559334805742496
map00250,"Alanine, aspartate and glutamate metabolism",-1.0880645460590928,0.46573033927913954
map00260,"Glycine, serine and threonine metabolism",-1.0642761070629738,0.501247242804433
map00340,Histidine metabolism,-1.0542326711144827,0.5107988061385161
map00511,Other glycan degradation,-1.0210353677933086,0.5667155584002772
map00920,Sulfur metabolism,-1.0044623767679215,0.5928315885191164
map00720,Other carbon fixation pathways,-0.9707335225660926,0.6555507419952883
map00965,Betalain biosynthesis,-0.9615466273008945,0.6638830788674505
map04120,Ubiquitin mediated proteolysis,-0.9610660748423965,0.6529191707918414
map00072,,-0.9568543755798649,0.6496615825715024
map00270,Cysteine and methionine metabolism,-0.9519576452278798,0.6485674363106892
map00052,Galactose metabolism,-0.9402081583630632,0.6609269687733745
map02010,ABC transporters,-0.9364500548130095,0.6578108264101025
map00910,Nitrogen metabolism,-0.9046160430852447,0.713308735399873
map00983,Drug metabolism - other enzymes,-0.8960418081593042,0.719549269902154
map00900,Terpenoid backbone biosynthesis,-0.8698392958844077,0.7600026078762412
map00950,Isoquinoline alkaloid biosynthesis,-0.846400075317871,0.7941320089095699
map00770,Pantothenate and CoA biosynthesis,-0.8288834279482403,0.8127746703955254
map00062,Fatty acid elongation,-0.8162504515843682,0.8222639619786573
map00790,Folate biosynthesis,-0.8102804009118175,0.819650999905283
map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",-0.7946290161936326,0.83229010174621
map00460,Cyanoamino acid metabolism,-0.753453435052875,0.8775801218468634
map00564,Glycerophospholipid metabolism,-0.7344313056766835,0.8882980661909885
map00030,Pentose phosphate pathway,-0.6749303320574693,0.930929942892059
map04130,SNARE interactions in vesicular transport,0.5320895067706962,0.9895434674694551
map00590,Arachidonic acid metabolism,0.6622457731888182,0.9627832782138461
map03460,Fanconi anemia pathway,0.7471007379928114,0.9045781357587792
map03450,Non-homologous end-joining,0.7751946258101341,0.891477445595606
map00670,One carbon pool by folate,0.8167906080023709,0.8496713963755715
map00565,Ether lipid metabolism,0.8259262280383186,0.8609371914148612
map04141,Protein processing in endoplasmic reticulum,0.830335489169222,0.8827589519944826
map00500,Starch and sucrose metabolism,0.8347140211616191,0.9063996220916267
map03410,Base excision repair,0.8889622725178866,0.8239760681753348
map00860,Porphyrin metabolism,0.8903093763809036,0.85256338402906
map00300,Lysine biosynthesis,0.9383975714469696,0.7784079809124246
map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.9416591209132678,0.8026916630637266
map04139,Mitophagy - yeast,0.9615504221862261,0.7887827771809623
map00620,Pyruvate metabolism,0.9941498728040905,0.7431664238018223
map03440,Homologous recombination,1.0559526314260563,0.6287530624989992
map03060,Protein export,1.1346786579438206,0.48501977613732805
map03050,Proteasome,1.291135028085124,0.2396987520764312
map00940,Phenylpropanoid biosynthesis,1.3711215267638157,0.15549577344001594
map00970,Aminoacyl-tRNA biosynthesis,1.5084493478882746,0.06695816727626214
map03022,Basal transcription factors,1.532433956850657,0.05909322006757514
map03420,Nucleotide excision repair,1.5363410373588535,0.061687670472438845
map00450,Selenocompound metabolism,1.578328368725951,0.04739867732069369
map03430,Mismatch repair,1.7086896813104526,0.01595147794446422
map00230,Purine metabolism,1.840781667627965,0.0036896774434605306
map03030,DNA replication,1.926326619038378,0.0012228159996739158
map03015,mRNA surveillance pathway,2.0387786799397993,5.6045733318387814e-05
map00020,Citrate cycle (TCA cycle),2.076310624494994,6.22730370204309e-05
map00190,Oxidative phosphorylation,2.0972280877489298,7.005716664798477e-05
map03018,RNA degradation,2.122564526486459,0.0
map00240,Pyrimidine metabolism,2.1429569444309298,0.0
map03020,RNA polymerase,2.375678953424931,0.0
map03008,Ribosome biogenesis in eukaryotes,2.5720508119006396,0.0
map03013,Nucleocytoplasmic transport,2.721761652857887,0.0
map03040,Spliceosome,2.724172059128737,0.0
map03010,Ribosome,3.4381101288904516,0.0
