kegg_id,kegg_name,n_genes,NES,FDR_q
map03010,Ribosome,117,-3.3161753771639932,0.0
map00230,Purine metabolism,110,-2.4480604676234377,0.0
map03040,Spliceosome,94,-2.3507794975690044,0.0
map00240,Pyrimidine metabolism,71,-2.256300098809206,0.0
map00190,Oxidative phosphorylation,84,-2.13871885625885,0.000503275283591628
map00020,Citrate cycle (TCA cycle),33,-2.06741790699659,0.00125818820897907
map03008,Ribosome biogenesis in eukaryotes,72,-1.959850278034693,0.0033027440485700593
map03018,RNA degradation,52,-1.9638387826319512,0.0037745646269372107
map03013,Nucleocytoplasmic transport,88,-1.9106901848803302,0.006710337114555041
map00030,Pentose phosphate pathway,28,-1.8645426501324895,0.009184773925547212
map00270,Cysteine and methionine metabolism,45,-1.8549797770457381,0.009607982686749264
map00010,Glycolysis / Gluconeogenesis,53,-1.8076859789089075,0.014888560472918998
map00670,One carbon pool by folate,16,-1.7729558909431662,0.019232305480108645
map03030,DNA replication,32,-1.7788889446119873,0.01955030909336709
map00983,Drug metabolism - other enzymes,34,-1.7349734752536075,0.022961934813868032
map03020,RNA polymerase,27,-1.7386518866750702,0.023737817542738456
map03430,Mismatch repair,23,-1.7133399303781982,0.026940029886375384
map00300,Lysine biosynthesis,12,-1.6971410861116807,0.02998681898066784
map03015,mRNA surveillance pathway,48,-1.6689839477399355,0.03635501719628998
map00710,Carbon fixation by Calvin cycle,19,-1.6595176371320925,0.03705364275443362
map02010,ABC transporters,14,1.9072334797433925,0.0372533748701973
map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",21,-1.6341382173578476,0.044216328486978755
map00480,Glutathione metabolism,37,-1.5381015607268385,0.08950293395692023
map00970,Aminoacyl-tRNA biosynthesis,38,-1.5298890693785427,0.08987840118924402
map00290,"Valine, leucine and isoleucine biosynthesis",22,-1.517302274459268,0.09415441763860043
map00260,"Glycine, serine and threonine metabolism",54,-1.5081337683704246,0.09723278478990253
map03410,Base excision repair,24,-1.4326269673045555,0.1520472058697015
map00062,Fatty acid elongation,11,-1.424370996619636,0.1540115566916973
map03420,Nucleotide excision repair,40,-1.4092319521941674,0.15688305391959717
map00770,Pantothenate and CoA biosynthesis,25,-1.4099242381486645,0.16194679661287747
