"gene_id","gene_name","description","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction","comparison","stat","KEGG","PFAM","EC"
"Mycgr3G81692",NA,NA,572.52260218261,-8.06229008018489,0.949181605438596,3.2674758890219e-20,3.00901854620027e-16,TRUE,"down","interaction_LRT_any",89.7353681448423,NA,NA,NA
"Mycgr3G45613","","Clock-controlled protein 6",668.367851236689,-4.7106673719208,0.530613649382959,1.4426094554609e-18,6.64249523766972e-15,TRUE,"down","interaction_LRT_any",82.160156156738,"","",""
"Mycgr3G53676","DPS1","Uncharacterised conserved protein (DUF2156)",313.099020207116,0.990404855550467,0.233898363452048,4.20844260346008e-17,1.29185159784213e-13,FALSE,"ns","interaction_LRT_any",75.4137078591278,"map00970","DUF2156;tRNA-synt_2;tRNA_anti-codon","6.1.1.12"
"Mycgr3G16590","","AMP-binding enzyme",133.911246806999,-2.46891825434209,0.432337129902025,1.57857778767072e-16,3.63428071166492e-13,TRUE,"down","interaction_LRT_any",72.7696743612314,"","AMP-binding;Condensation;PP-binding",""
"Mycgr3G108147","","",91.9322737501306,-3.93755048890786,0.529846755817473,2.0217674850296e-16,3.72369135392753e-13,TRUE,"down","interaction_LRT_any",72.2747787329711,"","",""
"Mycgr3G66868","","Major Facilitator Superfamily",795.805171189651,-0.449812749225136,0.365959326141616,4.60085137320766e-16,7.06154004931156e-13,FALSE,"ns","interaction_LRT_any",70.630240240806,"","MFS_1",""
"Mycgr3G43288","","Secretory lipase",291.539737015719,-1.14281391331837,0.422609380543909,2.85308015346737e-15,3.75343073332586e-12,TRUE,"down","interaction_LRT_any",66.9807544572469,"","LIP",""
"Mycgr3G10173","","Domain present in phytochromes and cGMP-specific phosphodiesterases.",396.097765391021,-1.15922713425128,0.237819963395675,3.56446733966304e-15,4.10314746636962e-12,TRUE,"down","interaction_LRT_any",66.5355235320941,"","HATPase_c;HisKA;Response_reg",""
"Mycgr3G11389","","Ring finger protein",270.948608804888,-1.51182289160517,0.214676986714305,3.87218788382353e-14,3.96210869134787e-11,TRUE,"down","interaction_LRT_any",61.7647432199296,"","IBR",""
"Mycgr3G109644","","Serine-threonine rich protein",59.9627320946019,-2.05041435743475,0.635933067080804,7.52292967728983e-14,6.77270619245102e-11,TRUE,"down","interaction_LRT_any",60.4364713101547,"","",""
"Mycgr3G71784","NEW1","Chromo (CHRromatin Organisation MOdifier) domain",699.835048806609,1.55166582428412,0.222422290341895,8.08988686252158e-14,6.77270619245102e-11,TRUE,"up","interaction_LRT_any",60.2911531115984,"","ABC_tran;Chromo",""
"Mycgr3G35181","","Belongs to the cytochrome P450 family",104.465058663037,-1.74208169319046,0.590333592683148,9.45806383061262e-14,7.2582758180093e-11,TRUE,"down","interaction_LRT_any",59.9786472177377,"","p450",""
"Mycgr3G66524","","Haloacid dehalogenase-like hydrolase",886.100833377645,0.208208447042666,0.197825563667442,1.12606325700972e-13,7.72280629523444e-11,FALSE,"ns","interaction_LRT_any",59.6297570045328,"","Hydrolase_6;Hydrolase_like",""
"Mycgr3G95227","","Prion-inhibition and propagation",669.481369833587,-2.20097810357971,0.328412459690742,1.17406111557479e-13,7.72280629523444e-11,TRUE,"down","interaction_LRT_any",59.5462748626244,"","HeLo",""
"Mycgr3G106332","","Domain of unknown function (DUF3328)",1728.13167327794,-3.00634789212562,0.43412705540374,2.40498842635465e-13,1.47650256122e-10,TRUE,"down","interaction_LRT_any",58.112122235406,"","DUF3328",""
"Mycgr3G106329",NA,NA,28168.3830540061,-3.53930046072381,0.655360693850794,4.51159680043417e-13,2.4439585255999e-10,TRUE,"down","interaction_LRT_any",56.8539101206514,NA,NA,NA
"Mycgr3G75505","PRP43","Helicase associated domain (HA2)  Add an annotation",293.863966135972,1.97025917447381,0.259463500597707,4.36212399481922e-13,2.4439585255999e-10,TRUE,"up","interaction_LRT_any",56.9212942308159,"map03040","DEAD;HA2;Helicase_C;OB_NTP_bind","3.6.4.13"
"Mycgr3G63336","SSE1","Belongs to the heat shock protein 70 family",1029.33360056788,1.50401649864286,0.20084131754361,6.61991997267182e-13,3.38682461268527e-10,TRUE,"up","interaction_LRT_any",56.087045855534,"map04141;map04530;map04612","HSP70",""
"Mycgr3G104409","","Bacteriorhodopsin-like protein",18618.7890836765,-1.20308300837778,0.163599582277414,9.08058560117267e-13,4.401216463221e-10,TRUE,"down","interaction_LRT_any",55.4549350497356,"","Bac_rhodopsin",""
"Mycgr3G68234","","Belongs to the group II decarboxylase family",313.440723967386,-2.07608427888995,0.288861185218216,2.48360631888127e-12,1.14357652952888e-09,TRUE,"down","interaction_LRT_any",53.4426189023609,"map00250;map00410;map00430;map00650;map01100;map01110;map01120;map02024;map04727;map04940","Pyridoxal_deC","4.1.1.15"
"Mycgr3G102491","NSR1","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",1679.82665109979,2.24042638131215,0.308645212632829,4.23568682156187e-12,1.85744952094111e-09,TRUE,"up","interaction_LRT_any",52.3749512470189,"map05130","RRM_1",""
"Mycgr3G103601","","Putative cyclase",307.314979125493,-1.35306618743871,0.283936640875512,4.63823194805907e-12,1.94152172771254e-09,TRUE,"down","interaction_LRT_any",52.1933757359673,"","Cyclase",""
"Mycgr3G111248","CHO1","Belongs to the CDP-alcohol phosphatidyltransferase class-I family",803.006234796121,0.196142570370311,0.218227141871962,7.09925707491886e-12,2.72663865141068e-09,FALSE,"ns","interaction_LRT_any",51.342061949383,"map00260;map00564;map01100;map01110","CDP-OH_P_transf","2.7.8.8"
"Mycgr3G77678","SSZ1","Belongs to the heat shock protein 70 family",575.957813997532,2.01415291218502,0.282151374290375,7.10601885480033e-12,2.72663865141068e-09,TRUE,"up","interaction_LRT_any",51.3401579299397,"","HSP70",""
"Mycgr3G63851","CCT7","assists the folding of proteins upon ATP hydrolysis",544.001000459937,1.34620573629236,0.205157476085281,1.74498364093576e-11,6.42782173975095e-09,TRUE,"up","interaction_LRT_any",49.5433816842919,"","Cpn60_TCP1",""
"Mycgr3G106055","ACO1","Belongs to the aconitase IPM isomerase family",2720.00007203097,2.09933782325501,0.29956613969342,2.27512652923799e-11,8.05832315682794e-09,TRUE,"up","interaction_LRT_any",49.0128007096614,"map00020;map00630;map00720;map01100;map01110;map01120;map01130;map01200;map01210;map01230","Aconitase;Aconitase_C","4.2.1.3"
"Mycgr3G46937","","Major Facilitator Superfamily",922.595703429772,0.923052147297362,0.491232311926399,2.71967837382413e-11,9.2761178313135e-09,FALSE,"ns","interaction_LRT_any",48.6558447890714,"","MFS_1",""
"Mycgr3G106469",NA,NA,1500.86469297441,-1.23970549419392,0.349256331057275,3.10381684817826e-11,1.02082319124549e-08,TRUE,"down","interaction_LRT_any",48.3916068549032,NA,NA,NA
"Mycgr3G111193","","",107.843820149391,-1.46690267481688,0.676439147061006,4.6864650614873e-11,1.44123006644877e-08,TRUE,"down","interaction_LRT_any",47.5675148857954,"","",""
"Mycgr3G78344","","Oxidoreductase, short chain dehydrogenase reductase family",623.115604770841,-2.88203921432572,0.564121042063519,4.6950702566471e-11,1.44123006644877e-08,TRUE,"down","interaction_LRT_any",47.5638458924883,"","adh_short;adh_short_C2",""
"Mycgr3G106893","NOP58","NOSIC (NUC001) domain",650.047883623774,1.63181438812287,0.237790540018582,7.04984112875132e-11,2.09425764369906e-08,TRUE,"up","interaction_LRT_any",46.7508618825863,"map03008","NOP5NT;Nop",""
"Mycgr3G23163","","Region of unknown function (DUF2417)",1090.71310184754,-1.18589466061971,0.18042520654932,7.40894905977857e-11,2.1321566216094e-08,TRUE,"down","interaction_LRT_any",46.6514948419506,"","Abhydrolase_1;Abhydrolase_6;DUF2417",""
