module,kegg_id,temp,n_genes,mean_log2FC,gsea_NES,gsea_FDR,comp_p,comp_FDR,self_p,self_FDR
Translation (ribosome),map03010,15,117,-1.2273578821725553,-3.3126617344675124,0.0,2.3440802360495242e-48,2.812896283259429e-47,1.7613453919357442e-20,4.227228940645786e-19
Ribosome biogenesis,map03008,15,70,-1.0455527117504466,-2.539472554090977,0.0,5.791903668985596e-18,3.475142201391358e-17,1.8757730834002494e-11,1.1254638500401497e-10
Respiration: OXPHOS,map00190,15,84,-0.5512647314373428,-2.4726780733057825,0.0,4.045751730357312e-09,1.3871148789796499e-08,1.4313163241101508e-09,5.725265296440603e-09
TCA cycle,map00020,15,33,-0.5880961462815362,-2.326829555097921,0.0,5.6959120333527886e-05,0.00012427444436406086,5.630846135318279e-05,0.0001351403072476387
Glycolysis,map00010,15,52,0.14814524165461912,-0.9955814354340956,0.743720264732206,0.04649381744769094,0.07970368705318447,0.15807599508294534,0.25292159213271254
Fatty-acid synthesis,map00061,15,14,0.28533965634669506,1.225256341010659,0.4272826573733534,0.11960955490555593,0.1688605481019613,0.1937255859375,0.29058837890625
Glutathione / antioxidant,map00480,15,37,0.27863855497840834,1.1841717746478502,0.4744885253606541,0.008699541258070506,0.016060691553360935,0.0145323305769125,0.02491256670327857
Ergosterol biosynthesis,map00100,15,24,0.04270826699251037,1.0791867917736861,0.6168024233869747,0.3630280145596423,0.4585617026016534,0.5838061571121216,0.6672070366995675
Translation (ribosome),map03010,21,117,-1.1866382344786932,-3.650909755369916,0.0,2.288338913997594e-52,5.492013393594227e-51,1.5006122274573428e-19,1.2004897819658742e-18
Ribosome biogenesis,map03008,21,70,-0.6721860645991927,-2.4196369108769296,0.0,1.5498581553442227e-15,7.439319145652268e-15,3.0075228261145796e-09,1.0311506832392844e-08
Respiration: OXPHOS,map00190,21,84,-0.4830977469480431,-2.8088466749324503,0.0,1.5009747016418643e-14,6.003898806567457e-14,1.0840549115257174e-09,5.203463575323444e-09
TCA cycle,map00020,21,33,-0.4248929957599566,-2.4160353440127005,0.0,5.3520800225234386e-05,0.00012427444436406086,0.002915517892688513,0.0063611299476840286
Glycolysis,map00010,21,52,0.17583343531197937,-1.187543289636248,0.4385514742797958,0.8873733668284381,0.8873733668284381,0.24007783915285485,0.33893341998050097
Fatty-acid synthesis,map00061,21,14,0.34960580833971017,0.7254496190245656,1.0,0.7245607118845401,0.7594509140568826,0.463134765625,0.55576171875
Glutathione / antioxidant,map00480,21,37,0.4694239070349962,1.1119329117140018,0.7828975911314175,0.06682079455562241,0.10023119183343362,0.007205815854831599,0.014411631709663197
Ergosterol biosynthesis,map00100,21,24,-0.08410762366204783,-1.1335589386089981,0.49361320464166303,0.05908920674013271,0.09454273078421234,0.27681541442871094,0.36908721923828125
Translation (ribosome),map03010,27,117,-0.37079682138939785,-3.3161753771639932,0.0,5.140485213265497e-43,4.112388170612398e-42,1.0321522366139185e-19,1.2004897819658742e-18
Ribosome biogenesis,map03008,27,69,-0.17922946985193908,-1.959850278034693,0.0037909477965240045,3.209945399211627e-08,8.559854397897672e-08,2.7256034273370997e-06,7.268275806232266e-06
Respiration: OXPHOS,map00190,27,81,-0.1026854422461598,-2.13871885625885,0.0002637181075842786,6.028842243303973e-09,1.808652672991192e-08,2.4475959271053945e-08,7.342787781316184e-08
TCA cycle,map00020,27,32,-0.15186265055945192,-2.06741790699659,0.0008391030695863409,0.0031195721640014076,0.006239144328002815,0.010509172920137644,0.019401550006407958
Glycolysis,map00010,27,51,-0.04812118571668581,-1.8076859789089075,0.021701802603289595,0.2045750209189776,0.27276669455863684,0.37320855038196865,0.4714213267982762
Fatty-acid synthesis,map00061,27,13,0.06454682861933558,0.9762290682452209,0.8229601029342084,0.7278071259711791,0.7594509140568826,0.7353515625,0.8022017045454546
Glutathione / antioxidant,map00480,27,35,-0.04093810332566972,-1.5381015607268385,0.13230930421972223,0.6876966250305587,0.7594509140568826,0.9162867379491217,0.9162867379491217
Ergosterol biosynthesis,map00100,27,24,0.016566350372565333,0.8958618218383887,0.9363274526285849,0.6563873312496622,0.7594509140568826,0.8774070739746094,0.9155552076256793
