gene_id,label,lfc_15,padj_15,lfc_21,padj_21,lfc_27,padj_27
Mycgr3G44760,CYP-16,7.11461593636682,1.14751822787331e-14,7.63707679076201,5.18753494984473e-16,0.673321354435031,0.035552600180453
Mycgr3G97077,Mycgr3G97077,6.94849206500146,4.74987311897051e-35,7.15443316230794,7.93593994232213e-35,5.94683082590937,2.86423972285916e-22
Mycgr3G90212,Mycgr3G90212,5.70691302887739,1.04083262415558e-12,5.01726086724802,9.20955831879333e-10,1.4769088953948,0.0064026789040293
Mycgr3G96438,Mycgr3G96438,5.60973929412768,1.24609384295474e-29,5.81311063930895,4.86421111541062e-26,0.816984268187136,0.01407834233626
Mycgr3G95573,NAD(P) transhydrogenase beta,5.43618536708874,1.97995099896017e-17,4.53007505205691,1.63284873048365e-12,0.69929597935418,0.0292387502814875
Mycgr3G106329,Mycgr3G106329,5.29526100766716,1.02080862602989e-31,6.95831814165648,4.24710917748288e-50,1.32257138910234,0.00131396160368433
Mycgr3G77793,GP1,4.96374174923248,5.09604316239378e-18,4.58157801794039,6.14339238577003e-15,2.35970175905916,0.000143421065042017
Mycgr3G104082,Mycgr3G104082,4.92787226229672,6.03951577866683e-25,5.14659224649987,2.46156616772166e-25,1.07733066017124,0.00472178944528444
Mycgr3G32934,Zinc-binding dehydrogenase,4.5936301181073,4.81195133292453e-12,4.70126711360435,1.6517450648619e-11,3.3504572063255,4.47897149166015e-05
Mycgr3G108147,Mycgr3G108147,4.52795303582191,2.5654434630287e-30,4.57211649059674,1.78704809889483e-31,0.352421913811709,0.170627948094351
Mycgr3G66678,Mycgr3G66678,4.50368257309675,9.89630268414231e-19,4.8268179698357,5.15190495570872e-19,1.15352611314035,0.00486001821656833
Mycgr3G18811,Mycgr3G18811,4.35357383720998,3.93544755718714e-14,6.12336312803768,4.3127199241365e-24,0.810146406911537,0.018469536616926
Mycgr3G45389,KR domain,4.29695414268485,1.94563932229123e-20,2.44148124590299,1.11038637976702e-07,2.76050054572407,3.52613122027056e-07
Mycgr3G106332,Domain of unknown function (,4.19726985087889,5.39802808366628e-43,4.15819158282846,3.62640184728666e-40,0.892059213567093,0.00137484361832083
Mycgr3G29100,Mycgr3G29100,4.0297396446866,1.84157124364113e-18,4.68122607382162,8.93277955037184e-22,0.353781545535164,0.174495357370896
Mycgr3G50464,CDR1,4.00691236432522,5.65637639107366e-21,1.6325114140362,5.8911282286193e-05,4.54418044634761,2.81898886268819e-21
Mycgr3G99182,Mycgr3G99182,-4.01005555707204,1.31903014531944e-06,-2.41937245455627,0.00105367981203908,-0.336253754709104,0.139202963917317
Mycgr3G68483,Catalyzes the hydrolysis of ,-4.14466299699054,3.8477362171121e-23,-4.80756375774076,1.45183449329201e-28,-2.70149054163147,1.07541561402668e-08
Mycgr3G94648,Mycgr3G94648,-4.36606797502689,2.78815510451977e-07,-0.0277675766884244,0.957332173345251,,
Mycgr3G48129,Fungal hydrophobin,-4.40647080876197,1.56954637618519e-22,-3.55328351235865,1.30757939283473e-14,-3.94472675547198,3.83342957435954e-15
Mycgr3G67799,Mycgr3G67799,-4.53408131241951,4.25562588399629e-08,-3.98297336895197,1.27934723260972e-06,-0.131783484728006,0.550573156916907
Mycgr3G92048,Mycgr3G92048,-4.55157639724574,3.19843627503958e-10,-4.72310396282051,2.41936595040458e-11,-2.27761268669868,0.000656253632913716
Mycgr3G67250,katG,-4.61999031208986,4.67276889728436e-18,-2.87926429664895,5.74400475259984e-08,-0.37428602531052,0.147882473180821
Mycgr3G108482,Mycgr3G108482,-4.63516329916468,8.98335627754446e-32,-2.52533878883068,1.65750032788296e-10,-0.554834947433532,0.0425752515391963
Mycgr3G103091,Mycgr3G103091,-4.98384707719971,1.29309497845003e-13,-4.20603506765806,3.61307149226251e-10,-0.227006660273216,0.338279285644263
Mycgr3G105787,Mycgr3G105787,-5.02158744959523,9.85430026223217e-09,-2.0741053924079,0.000654982469440335,,
Mycgr3G93625,Mycgr3G93625,-5.09117991306798,1.74992911576676e-08,-4.6372268202206,3.18834896564847e-08,-1.8038862754413,0.00375365737879763
Mycgr3G104710,Mycgr3G104710,-5.31562862951712,3.14405911518326e-09,-3.64252031977772,1.67107432377562e-05,-0.580675310581902,0.0471091637135528
Mycgr3G91327,copper resistance protein cr,-5.46175966757971,4.35258919276808e-17,-2.08138097992672,0.00021899732069357,0.0389317015183272,0.906786702442797
Mycgr3G102617,Mycgr3G102617,-6.12108957077626,8.34923731582511e-22,-8.01623209353272,1.22187325073685e-33,-5.37726565130097,3.09891100869057e-14
