kegg_id,kegg_name,n_genes,NES,FDR_q
map03010,Ribosome,117,-3.650909755369916,0.0
map03040,Spliceosome,94,-3.1766832613471174,0.0
map00190,Oxidative phosphorylation,84,-2.8088466749324503,0.0
map03013,Nucleocytoplasmic transport,88,-2.5120212390062635,0.0
map03018,RNA degradation,52,-2.4771355663349386,0.0
map03008,Ribosome biogenesis in eukaryotes,72,-2.4196369108769296,0.0
map00020,Citrate cycle (TCA cycle),33,-2.4160353440127005,0.0
map00230,Purine metabolism,110,-2.3453776196942804,0.0
map00240,Pyrimidine metabolism,71,-2.252246497787423,0.0
map03015,mRNA surveillance pathway,48,-2.162581165456975,0.0
map03020,RNA polymerase,27,-2.1614899604930966,0.0
map03060,Protein export,22,-2.1097951744703693,0.00037926957142538434
map00980,Metabolism of xenobiotics by cytochrome P450,36,2.0602302013667737,0.0017947056184256444
map04141,Protein processing in endoplasmic reticulum,88,-1.822738512163258,0.008419784485643532
map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,23,-1.8252936161044968,0.008858653561150046
map00030,Pentose phosphate pathway,28,-1.8283508227418133,0.009277517208713247
map00982,Drug metabolism - cytochrome P450,30,1.9315466585241126,0.009422204496734633
map00565,Ether lipid metabolism,15,-1.6822792817080439,0.029938591794391275
map00970,Aminoacyl-tRNA biosynthesis,38,-1.6572131374569643,0.034803560671976444
map00910,Nitrogen metabolism,21,1.768619396312441,0.04726058128520864
map00380,Tryptophan metabolism,53,1.6856940317543514,0.06945510743307244
map00620,Pyruvate metabolism,52,-1.5527225314479713,0.07370472004699968
map00625,Chloroalkane and chloroalkene degradation,22,1.658993480650976,0.07717234159230271
map00071,Fatty acid degradation,36,1.690506876528099,0.08300513485218605
map00643,Styrene degradation,23,1.6226964241885897,0.09204275957354376
map02010,ABC transporters,14,1.5459831070638328,0.09401496354983568
map00626,Naphthalene degradation,17,1.577089693410598,0.09646542699037838
map00930,Caprolactam degradation,18,1.5883333714742154,0.09781145620419762
map00561,Glycerolipid metabolism,41,1.6004635701653944,0.09814796350765242
map00680,Methane metabolism,30,1.547250488619045,0.10042873523106835
map00627,Aminobenzoate degradation,28,1.5547789496797841,0.10392977081246686
map00670,One carbon pool by folate,16,-1.480699865184455,0.11282271672085643
map04146,Peroxisome,76,1.5006752738094178,0.12909061126818744
map00564,Glycerophospholipid metabolism,49,-1.44252826017497,0.13591125092028647
map00562,Inositol phosphate metabolism,33,1.4810448130614833,0.13902986190737326
map00830,Retinol metabolism,11,1.471409158123405,0.13903360087741165
map00280,"Valine, leucine and isoleucine degradation",49,1.456796367883334,0.1453183696331117
map00510,N-Glycan biosynthesis,40,-1.4033887561608513,0.15681072825842252
map03022,Basal transcription factors,33,-1.394149454852055,0.1581059413402863
map00270,Cysteine and methionine metabolism,45,-1.3844299647568057,0.160004350445084
map00450,Selenocompound metabolism,11,-1.4076625275203367,0.1609728423864024
map04138,Autophagy - yeast,78,1.4222877095713706,0.1721421805673264
map00072,,11,-1.322440507698073,0.2149548223010508
map00650,Butanoate metabolism,35,1.3763119717985972,0.22079602016157596
map00130,Ubiquinone and other terpenoid-quinone biosynthesis,10,-1.2974267935658226,0.23609530821230174
map00513,Various types of N-glycan biosynthesis,33,-1.2891461962916193,0.23834985510910817
map00053,Ascorbate and aldarate metabolism,15,1.3527305739948638,0.24246472904930458
map00051,Fructose and mannose metabolism,37,1.3433060942897819,0.24395177084742864
map00511,Other glycan degradation,11,1.3231137909044766,0.2513368172586522
map00360,Phenylalanine metabolism,40,1.3268931400229582,0.2573771011878595
map00760,Nicotinate and nicotinamide metabolism,23,1.3051273462972566,0.2680093723515629
map00350,Tyrosine metabolism,45,1.2757428421349761,0.3016541203449823
map00010,Glycolysis / Gluconeogenesis,53,-1.187543289636248,0.37795567326723206
map00100,Steroid biosynthesis,24,-1.1335589386089981,0.4484104142962318
map00062,Fatty acid elongation,11,-1.1399931183607428,0.4513961813016255
map00300,Lysine biosynthesis,12,-1.110683121856187,0.4792743932586453
map00500,Starch and sucrose metabolism,64,-1.0303720821399636,0.5261344193142601
map00362,Benzoate degradation,14,-1.035173501580039,0.5305781688677218
