kegg_id,kegg_name,n_genes,NES,FDR_q
map00500,Starch and sucrose metabolism,64,0.8458090343619507,0.8091838974494051
map00260,"Glycine, serine and threonine metabolism",54,-0.8245449420320187,0.8115649615498207
map00770,Pantothenate and CoA biosynthesis,25,-0.8324001247883603,0.8162207774729224
map00513,Various types of N-glycan biosynthesis,33,0.8496462481715993,0.818297554765354
map04139,Mitophagy - yeast,39,0.8500213046312827,0.8345771690299545
map00564,Glycerophospholipid metabolism,49,0.8048494523211683,0.8486460201197459
map00510,N-Glycan biosynthesis,40,0.860230431194728,0.8496994752985684
map00511,Other glycan degradation,11,0.8505638484412684,0.850974161531758
map04141,Protein processing in endoplasmic reticulum,88,0.8088588142148234,0.8587544943786373
map00130,Ubiquinone and other terpenoid-quinone biosynthesis,10,-0.7711968250760125,0.8804055250057418
map00565,Ether lipid metabolism,15,-0.7351562530826969,0.8915847941410675
map00790,Folate biosynthesis,27,-0.7499755345431518,0.8917879542153374
map00780,Biotin metabolism,14,0.7614857222598123,0.8976887848539743
map00965,Betalain biosynthesis,18,0.7150728919677014,0.9355823183471456
map00590,Arachidonic acid metabolism,12,0.6687765375621224,0.9573474771420247
map00460,Cyanoamino acid metabolism,23,-0.6020604073328611,0.9735540526900172
map00950,Isoquinoline alkaloid biosynthesis,24,0.48197305393163226,0.9966635936608279
