FileType	fastq	Read submission file type
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
12129_21_0_R3_S27	PRJEB123587	Illumina NovaSeq X	12129_21_0_R3_S27	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_0_R3_S27_R1_001.fastq.gz	51b6f007e84d3cdb2178e5366a26a8de	12129_21_0_R3_S27_R2_001.fastq.gz	20b0091f8eb57ee549122eff301c354c
12129_21_0_R4_S28	PRJEB123587	Illumina NovaSeq X	12129_21_0_R4_S28	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_0_R4_S28_R1_001.fastq.gz	597488bf0ac6bcf05853f70969b93da6	12129_21_0_R4_S28_R2_001.fastq.gz	9470ba04301ab94e696c5c3f55fd82a0
12129_21_0_R5_S29	PRJEB123587	Illumina NovaSeq X	12129_21_0_R5_S29	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_0_R5_S29_R1_001.fastq.gz	db3a826b3f8ee567caed5b921981e371	12129_21_0_R5_S29_R2_001.fastq.gz	0822436b17ac66df9e792bf43b11c4f3
12129_21_0_R6_S30	PRJEB123587	Illumina NovaSeq X	12129_21_0_R6_S30	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_0_R6_S30_R1_001.fastq.gz	8859d4b537d4c64c417745257de33717	12129_21_0_R6_S30_R2_001.fastq.gz	a2483c84f8fad382b8ccb09cda1a8a71
12129_21_0_R7_S31	PRJEB123587	Illumina NovaSeq X	12129_21_0_R7_S31	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_0_R7_S31_R1_001.fastq.gz	be243d26f254cfcebde0ba24dc5244c2	12129_21_0_R7_S31_R2_001.fastq.gz	047e0c0533595885ff706ee32c9b7f5e
12129_21_0_R8_S32	PRJEB123587	Illumina NovaSeq X	12129_21_0_R8_S32	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_0_R8_S32_R1_001.fastq.gz	32d4d2a322c2144b3ccac5bf2c8cd8f3	12129_21_0_R8_S32_R2_001.fastq.gz	2eed138cb5339b28eba946e647524156
12129_21_2_R1_S33	PRJEB123587	Illumina NovaSeq X	12129_21_2_R1_S33	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_2_R1_S33_R1_001.fastq.gz	045b26ad96d7d992530e81d5b2bda18f	12129_21_2_R1_S33_R2_001.fastq.gz	0cd4790c2df93af46f0002bb7ac954a7
12129_21_2_R3_S34	PRJEB123587	Illumina NovaSeq X	12129_21_2_R3_S34	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_2_R3_S34_R1_001.fastq.gz	60e68a5ab069a8a18045b7a73557b27c	12129_21_2_R3_S34_R2_001.fastq.gz	d790e5401842f6e73e1f4968c449d8eb
12129_21_2_R4_S35	PRJEB123587	Illumina NovaSeq X	12129_21_2_R4_S35	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_2_R4_S35_R1_001.fastq.gz	518df269a3cc38b763e35c38edc042b8	12129_21_2_R4_S35_R2_001.fastq.gz	4ea6be587b2f51c38a31e3c847713ad6
12129_21_2_R5_S36	PRJEB123587	Illumina NovaSeq X	12129_21_2_R5_S36	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_2_R5_S36_R1_001.fastq.gz	a638c5a897788ac81db4965c1bd5adfd	12129_21_2_R5_S36_R2_001.fastq.gz	24424654129207cfaf7e9b2900295e93
12129_21_2_R6_S37	PRJEB123587	Illumina NovaSeq X	12129_21_2_R6_S37	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_2_R6_S37_R1_001.fastq.gz	813182a4eab438f9278b4419e3bf06e3	12129_21_2_R6_S37_R2_001.fastq.gz	cd0ec3c7398d64ee7381afcddf874090
12129_21_2_R7_S38	PRJEB123587	Illumina NovaSeq X	12129_21_2_R7_S38	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_2_R7_S38_R1_001.fastq.gz	780f3dcc5e9a22ed91a43202f1ea2b08	12129_21_2_R7_S38_R2_001.fastq.gz	1d4aa296d835867751967db77028676c
12129_21_2_R8_S39	PRJEB123587	Illumina NovaSeq X	12129_21_2_R8_S39	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_21_2_R8_S39_R1_001.fastq.gz	dc715109aa5b1507467f46aad8007c87	12129_21_2_R8_S39_R2_001.fastq.gz	801323b55888d96fdb6224bb755aa8b0
12129_27_0_R1_S40	PRJEB123587	Illumina NovaSeq X	12129_27_0_R1_S40	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_0_R1_S40_R1_001.fastq.gz	20df67e34330e3edb377bed06c945ac7	12129_27_0_R1_S40_R2_001.fastq.gz	03aaa6ddec3c143bda5292cc881fefca
12129_27_0_R2_S41	PRJEB123587	Illumina NovaSeq X	12129_27_0_R2_S41	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_0_R2_S41_R1_001.fastq.gz	5f7e9b215268721db44d30e2f2081935	12129_27_0_R2_S41_R2_001.fastq.gz	7a5929a39c393644d2af80bf54005ad5
12129_27_0_R4_S42	PRJEB123587	Illumina NovaSeq X	12129_27_0_R4_S42	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_0_R4_S42_R1_001.fastq.gz	f3f3c7c9340b4ef480a1192b3b989c77	12129_27_0_R4_S42_R2_001.fastq.gz	c3236caab3fdd34cb00264f281c98a11
12129_27_0_R5_S43	PRJEB123587	Illumina NovaSeq X	12129_27_0_R5_S43	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_0_R5_S43_R1_001.fastq.gz	2e417812e5fe8684a782b39dadc4be39	12129_27_0_R5_S43_R2_001.fastq.gz	31b234ebc057b22c0a8c9c6bb2d3845d
12129_27_0_R6_S44	PRJEB123587	Illumina NovaSeq X	12129_27_0_R6_S44	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_0_R6_S44_R1_001.fastq.gz	f695857fbb570043ef69a180341f9dcb	12129_27_0_R6_S44_R2_001.fastq.gz	23ddecd8700c1da4de0556b227636936
12129_27_0_R7_S45	PRJEB123587	Illumina NovaSeq X	12129_27_0_R7_S45	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_0_R7_S45_R1_001.fastq.gz	8fc6b64865c9adc2c27730c9b2e1529e	12129_27_0_R7_S45_R2_001.fastq.gz	c3a346621931a2c2a2c5eb2636fa880e
12129_27_0_R8_S46	PRJEB123587	Illumina NovaSeq X	12129_27_0_R8_S46	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_0_R8_S46_R1_001.fastq.gz	1ae651428dadbd51c24dc47ba6bfab20	12129_27_0_R8_S46_R2_001.fastq.gz	5ef189cef7bb032b3ecbc665644315dd
12129_27_2_R1_S47	PRJEB123587	Illumina NovaSeq X	12129_27_2_R1_S47	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_2_R1_S47_R1_001.fastq.gz	504ee0f47fed43c922033382efdd16cf	12129_27_2_R1_S47_R2_001.fastq.gz	b80d6d6bc2ffb37910b8d5885b9ac3a6
12129_27_2_R2_S48	PRJEB123587	Illumina NovaSeq X	12129_27_2_R2_S48	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_2_R2_S48_R1_001.fastq.gz	221ceafca32207d8a823a4bc3712aebf	12129_27_2_R2_S48_R2_001.fastq.gz	47ef8b3a284fd3c50554535c7adf3e78
12129_27_2_R3_S49	PRJEB123587	Illumina NovaSeq X	12129_27_2_R3_S49	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_2_R3_S49_R1_001.fastq.gz	3047c94353ac8bfcf254cb02d88ab43e	12129_27_2_R3_S49_R2_001.fastq.gz	269e7d4ba3afe86b9dacd7d6aba1c829
12129_27_2_R4_S50	PRJEB123587	Illumina NovaSeq X	12129_27_2_R4_S50	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_2_R4_S50_R1_001.fastq.gz	ae4e7258f803ac2929798bdbe22bdc85	12129_27_2_R4_S50_R2_001.fastq.gz	28dd9504466ad9dc28a935f3562b3ea5
12129_27_2_R6_S51	PRJEB123587	Illumina NovaSeq X	12129_27_2_R6_S51	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_2_R6_S51_R1_001.fastq.gz	0bc7d05ac29984ec43a41aad0f043103	12129_27_2_R6_S51_R2_001.fastq.gz	82c61aa614fed607044e92a0b39e9955
12129_27_2_R7_S52	PRJEB123587	Illumina NovaSeq X	12129_27_2_R7_S52	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_2_R7_S52_R1_001.fastq.gz	49347cfc78c70aeea235ae69ca6072c1	12129_27_2_R7_S52_R2_001.fastq.gz	1970272925aecb47c5f1575f7c96f869
12129_27_2_R8_S53	PRJEB123587	Illumina NovaSeq X	12129_27_2_R8_S53	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_27_2_R8_S53_R1_001.fastq.gz	e992859cd16f46fdc72381448d0f892b	12129_27_2_R8_S53_R2_001.fastq.gz	4c7dfa329c78a6598dda15dc972ad6ee
12129_BLANK_S54	PRJEB123587	Illumina NovaSeq X	12129_BLANK_S54	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_BLANK_S54_R1_001.fastq.gz	e583de61a5ff9366e85484737c29084e	12129_BLANK_S54_R2_001.fastq.gz	6e3ae826a987e886f9368cf4da6aae28
12129_Nc_S55	PRJEB123587	Illumina NovaSeq X	12129_Nc_S55	TRANSCRIPTOMIC	PolyA	RNA-Seq	PAIRED	12129_Nc_S55_R1_001.fastq.gz	18e1384868e7c94b07ae19c0fc735116	12129_Nc_S55_R2_001.fastq.gz	c86216153d1b29d26f90c3e192afa51b
