Checklist	ERC000011:1.5	ENA default sample checklist
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
#units						
1047171	Zymoseptoria tritici	12129_15_0_R1_S9	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 1	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_0_R2_S10	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 2	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_0_R3_S11	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 3	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_0_R4_S12	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 4	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_0_R5_S13	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 5	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_0_R6_S14	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 6	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_0_R7_S15	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 7	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_0_R8_S16	Zymoseptoria tritici IPO323, 15 C, prothioconazole 0 mg/L, replicate 8	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 0 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_2_R1_S17	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 1	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_2_R2_S18	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 2	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_2_R3_S19	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 3	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_2_R4_S20	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 4	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 2 mg/L	2026-06	United Kingdom
1047171	Zymoseptoria tritici	12129_15_2_R5_S21	Zymoseptoria tritici IPO323, 15 C, prothioconazole 2 mg/L, replicate 5	Zymoseptoria tritici isolate IPO323; YMS medium, sealed PreSens vial, 15 C; prothioconazole 2 mg/L	2026-06	United Kingdom
