T,Dose,Replicate,fit_start,fit_end,smooth_h
15,V,R1A1,835.7,3807.1,0
15,V,R1A2,1186.9,3867.2,0
15,V,R1A3,1200.5,3807.1,0
15,V,R1A4,55.2,3837.1,0
15,V,R1A5,428.3,3837.1,0
15,P2,R1B1,537.2,3879.2,0
15,P2,R1B2,447.2,3879.2,0
15,P2,R1B3,447.2,3879.2,0
15,P4,R1B4,390.4,3879.2,0
15,P4,R1B5,523,3879.2,0
15,P4,R1B6,712.5,3813.1,0
15,S,R1C1,556.2,3662.7,0
15,S,R1C2,584.6,3879.2,0
15,S,R1C3,584.6,3879.2,0
15,S,R1C4,613,3879.2,0
15,S,R1C5,669.9,3879.2,0
15,P2S,R1D1,532.5,3882.3,0
15,P2S,R1D2,504.1,3879.2,0
15,P2S,R1D3,579.9,3879.2,0
15,P4S,R1D4,594.1,3879.2,0
15,P4S,R1D5,641.5,3879.2,0
15,P4S,R1D6,603.6,3879.2,0
15,V,R2A1,25.1,3879.2,0
15,V,R2A2,25.1,3710.8,0
15,V,R2A3,25.1,3783,0
15,V,R2A4,25.1,3734.9,0
15,V,R2A5,40.1,3683.8,0
15,P2,R2B1,253,3882.3,0
15,P2,R2B2,579.9,3876.2,0
15,P2,R2B3,25.1,3879.2,0
15,P4,R2B4,55.2,3656.7,0
15,P4,R2B5,40.1,3515.2,0
15,P4,R2B6,376.2,3879.2,0
15,S,R2C1,10.1,3882.3,0
15,S,R2C2,55.2,3584.4,0
15,S,R2C3,25.1,3879.2,0
15,S,R2C4,55.2,3879.2,0
15,S,R2C5,722.9,3879.2,0
15,P2S,R2D1,570.4,3882.3,0
15,P2S,R2D2,598.8,3879.2,0
15,P2S,R2D3,480.4,3828.1,0
15,P4S,R2D4,755.2,3879.2,0
15,P4S,R2D5,608.3,3882.3,0
15,P4S,R2D6,560.9,3882.3,0
15,V,R3A1,25.1,3879.2,0
15,V,R3A2,25.1,3843.1,0
15,V,R3A3,25.1,3879.2,0
15,V,R3A4,40.1,3858.2,0
15,V,R3A5,25.1,3879.2,0
15,P2,R3B1,489.9,3882.3,0
15,P2,R3B2,570.4,3882.3,0
15,P2,R3B3,674.6,3879.2,0
15,P4,R3B4,584.6,3879.2,0
15,P4,R3B5,646.2,3882.3,0
15,P4,R3B6,731.5,3882.3,0
15,S,R3C1,475.7,3879.2,0
15,S,R3C2,679.4,3879.2,0
15,S,R3C3,674.6,3882.3,0
15,S,R3C4,550.7,3882.3,0
15,S,R3C5,722.9,3882.3,0
15,P2S,R3D1,447.2,3882.3,0
15,P2S,R3D2,617.8,3882.3,0
15,P2S,R3D3,407.2,3879.2,0
15,P4S,R3D4,508.8,3879.2,0
15,P4S,R3D5,579.9,3879.2,0
15,P4S,R3D6,579.9,3772.8,0
27,V,R1A1,393.4,2489.7,12
27,V,R1A2,399.4,2520.3,12
27,V,R1A3,399.4,2544.4,12
27,V,R1A4,399.4,2544.4,12
27,V,R1A5,399.4,2544.4,12
27,P2,R1B1,429.5,3356.8,12
27,P2,R1B2,399.4,2881.4,12
27,P2,R1B3,399.4,2718.9,12
27,P4,R1B4,399.4,2610.6,12
27,P4,R1B5,399.4,2899.5,12
27,P4,R1B6,444.6,3462.1,12
27,S,R1C1,399.4,3356.8,12
27,S,R1C2,399.4,2520.3,12
27,S,R1C3,399.4,2501.7,12
27,S,R1C4,399.4,2513.7,12
27,S,R1C5,399.4,2574.5,12
27,P2S,R1D1,399.4,3519.2,12
27,P2S,R1D2,399.4,2598.6,12
27,P2S,R1D3,399.4,2562.5,12
27,P4S,R1D4,399.4,2520.3,12
27,P4S,R1D5,399.4,2580.5,12
27,P4S,R1D6,399.4,3519.2,12
27,V,R2A1,444.6,2294.2,12
27,V,R2A2,382.4,2605.6,12
27,V,R2A3,399.4,2556.4,12
27,V,R2A4,399.4,2501.7,12
27,V,R2A5,399.4,2489.7,12
27,P2,R2B1,381.4,2941.6,12
27,P2,R2B2,399.4,2375.3,12
27,P2,R2B3,399.4,2453.6,12
27,P4,R2B4,399.4,2471.6,12
27,P4,R2B5,399.4,2471.6,12
27,P4,R2B6,429.5,2989.8,12
27,S,R2C1,399.4,3435,12
27,S,R2C2,444.6,3125.2,12
27,S,R2C3,399.4,2700.9,12
27,S,R2C4,399.4,2730.9,12
27,S,R2C5,399.4,2544.4,12
27,P2S,R2D1,399.4,3519.2,12
27,P2S,R2D2,399.4,3519.2,12
27,P2S,R2D3,399.4,3519.2,12
27,P4S,R2D4,399.4,3519.2,12
27,P4S,R2D5,399.4,3519.2,12
27,P4S,R2D6,399.4,3519.2,12
27,V,R3A1,399.4,2267.1,12
27,V,R3A2,399.4,2273.1,12
27,V,R3A3,394.4,2280.1,12
27,V,R3A4,399.4,2261,12
27,V,R3A5,392.4,2272.1,12
27,P2,R3B1,399.4,2375.3,12
27,P2,R3B2,399.4,2351.3,12
27,P2,R3B3,389.4,2461.6,12
27,P4,R3B4,399.4,2393.4,12
27,P4,R3B5,391.4,2433.5,12
27,P4,R3B6,399.4,2453.6,12
27,S,R3C1,399.4,3350.8,12
27,S,R3C2,399.4,2538.4,12
27,S,R3C3,399.4,2700.9,12
27,S,R3C4,399.4,2622.6,12
27,S,R3C5,399.4,2495.7,12
27,P2S,R3D1,399.4,3519.2,12
27,P2S,R3D2,399.4,3519.2,12
27,P2S,R3D3,399.4,3519.2,12
27,P4S,R3D4,399.4,3519.2,12
27,P4S,R3D5,399.4,3519.2,12
27,P4S,R3D6,444.6,3522.3,12
