rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,5.0,278.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,9.0,282.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,13.0,286.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,17.0,290.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,21.0,294.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,25.0,298.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,29.0,302.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,33.0,306.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,37.0,310.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,41.0,314.15
r_0001_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,45.0,318.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,5.0,278.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,9.0,282.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,13.0,286.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,17.0,290.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,21.0,294.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,25.0,298.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,29.0,302.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,33.0,306.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,37.0,310.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,41.0,314.15
r_0001_No2,Mycgr3G74344,ferricytochrome c,ficytc,MNXM5749,45.0,318.15
r_0002_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,5.0,278.15
r_0002_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,9.0,282.15
r_0002_No1,Mycgr3G100120,ferricytochrome c,ficytc,MNXM5749,13.0,286.15
