rxn_id,Topt_C,dCp,kcat_T0,r2,n,ok,dH,dS,Topt_sd,dCp_sd
r_0001_No1,80.0,0.2810651450960567,109.2955308647538,0.9975940521565636,11,False,12.751904931963267,-0.1639689604236747,30.408310535269383,6.181743129357963
r_0001_No2,80.0,-0.0688087128253644,3.056523948933473,0.9995024241266308,11,False,5.461114971232908,-0.2177580478222461,30.88499764594201,6.181743129357963
r_0002_No1,80.0,0.2810642456589718,109.29554963502214,0.9975940485006336,11,False,12.751898941589046,-0.1639689787561896,30.408310535269383,6.181743129357963
r_0003_No1,80.0,0.5689880442150786,34.40669554292879,0.9996890728962096,11,False,28.29053161499221,-0.1223216308038694,28.84013787647997,6.181743129357963
r_0003_No1_REV,80.0,0.1864297680786932,21.980632696598505,0.9993550696113892,11,False,40.12423749467531,-0.0870114435246016,25.532844394447984,6.181743129357963
r_0004_No1,0.0,0.1454196612173943,30.948424404098414,0.9877829586887614,11,False,-3.7733630336943818,-0.2289714478465867,32.3554713241729,6.181743129357963
r_0005_No1,80.0,1.6531167576922987,0.0587437588258131,0.9982892546191016,11,False,29.07022087290651,-0.1727362587056871,27.622365824635654,6.181743129357963
r_0006_No1,80.0,1.097736009542668,11.721101505048445,0.9827265597950008,11,False,-2.0984042818496,-0.2315190386205707,33.66797545140031,6.181743129357963
r_0007_No1,80.0,0.4455890403725887,1234.696392427171,0.994761554444471,11,False,25.14102777195585,-0.1029423764397998,29.03547816189435,6.181743129357963
r_0012_No1,80.0,0.7039213556746878,12.837560098542951,0.9790474856628972,11,False,-0.43492401815994,-0.2252752340838553,32.75327855130499,6.181743129357963
r_0013_No1,80.0,-0.0302309221289619,0.0326834005429706,0.998714698986776,11,False,8.120659035548277,-0.2467174315172368,30.649740273101727,6.181743129357963
r_0014_No1,80.0,0.2822239582420864,0.0017601889718919,0.9997368613849046,11,False,29.52012884041513,-0.2004173191332877,28.391690733987208,6.181743129357963
